rc,alt-labels
1-2-Nitrophenoxyoctane,1-(2-nitrophenoxy)octane||1-nitro-2-(octyloxy)benzene||1-nitro-2-octoxy-benzene||2-(octyloxy)nitrobenzene||2-nitrophenyl octyl ether||Octyl o-nitrophenyl ether||2-nitrophenyloctyl ether||NPOE||Nitrophenoxyoctane||Nitrophenyl octyl ether
1-Amino-2-propanol,1-amino-2-propanol||Isopropanolamine||Monoisopropanolamine||Threamine||Diisopropanolamine||1-aminopropan-2-ol
1-Amino-2-propanone,Alpha-aminoacetone||Aminoacetone||3-aminoacetone
112-Trichloro-122-trifluoroethane,"Chlorofluorocarbon-113||Genetron 113||Halocarbon 113||Refrigerant 113||Freon 113||Frigen 113 TR||1,1,2-trichloro-1,2,2-trifluoroethane||1,1,2-Trichlorotrifluoroethane||CFC-113||Cfc 113"
12-Dichlorotetrafluoroethane,"1,2-dichloro-1,1,2,2-tetrafluoromethane||cryofluorane||Dichlorotetrafluoroethane||Freon 114||Genetron 114||Halon 242||R-114||Refrigerant 114||CFC-114"
12-Dimethoxybenzene,"O-dimethoxybenzene||Pyrocatechol dimethyl ether||1,2-dimethoxybenzene||Veratrol||Veratrole"
12-O-Tetradecanoylphorbol-13-acetate,Tetraphorbal acetate||12-O-tetradecanoylphorbol-13-acetate||Phorbol myristate acetate||Tetradecanoylphorbol acetate||C36H56O8||Phorbol-12-myristate-13-acetate||Tetradecanoyl phorbol acetate||Phorbol 12-myristate 13-acetate
124-Trioxane,"1,2,4-trioxane"
14-Dimethoxybenzene,"1,4-dimethoxybenzene||2-benzimidazolinone||Dimethyl ether hydroquinone||Dimethylhydroquinone ether||Hydroquinone dimethyl ether||P-methoxyanisole||Quinol dimethyl ether||USAF AN-9||1,4 dimethoxybenzene||P-dimethoxybenzene||Para-Dimethoxybenzene"
14-Dioxane,"1,4 dioxane||1,4-dioxane||Dioxan||Diethylene dioxide||Diethylene ether||P-dioxane||Dioxanes||Dioxane"
17-Hydroxypregnenolone,17a-Hydroxypregnenolone||17-hydroxypregnenolone||17α-Hydroxypregnenolone||17α-hydroxypregnenolone||17OH-pregnenolone||17-OH-pregnenolone||17-alpha-hydroxypregnenolone||17-hydroxy-pregnenolone||17-hydroxy pregnenolone
17-Ketosteroid,17-ketosteroid||Ketosteroids||17-ketosteroids||17-Cetosteroid
1999UEFAChampionsLeagueFinal,Manchester United vs Bayern Munchen (1998 1999)||1999 champions league final||UEFA Champions League Final 1998-99
1p36DeletionSyndrome,"1p36 Deletion Syndrome||Chromosome 1, 1p36 deletion syndrome||Monosomy 1p36||Monosomy 1p36 syndrome"
2-Chloro-1112-tetrafluoroethane,"2-chloro-1,1,1,2-tetrafluoroethane"
2009FluPandemic,2009 influenza pandemic
2011CricketWorldCup,ICC Cricket World Cup 2011||2011 ICC Cricket World Cup||2011 Cricket world cup||ICC World Cup 2011||The Mother of All Matches||Cricket World Cup 2011||CWC 2011||Cricket WC 2011||ICC CWC 2011||ICC WC 2011||Stumpy (mascot)||2011 ICC World Cup
2011IIHFWorldChampionship,2011 IIHF||2011 IIHF Men's World Championship||2011 IIHF WC||2011 Hockey World Championship||2011 ice hockey world chamionship||2011 ice hockey world championship
2011SoutheastAsianGames,2011 SEA Games||Cricket at the 2011 Southeast Asian Games||East Timor at the 2011 Southeast Asian Games||Roller skating at the 2011 Southeast Asian Games||Indonesia 2011||26th SEA Games||SEA Games 26
2011WorldAquaticsChampionships,2001 FINA World Aquatics Championships||2011 FINA World Aquatics Championships||2011 FINA World Championships||14th FINA World Aquatic Championships
2011WorldChampionshipsInAthletics,2011 Athletics World Championships||2011 IAAF World Athletics Championships||2011 IAAF World Championships||2011 daegu||13th IAAF World Championships in Athletics||2011 IAAF World Championships in Athletics||2011 World Athletics Championships
2012IAAFWorldIndoorChampionships,2012 IAAF||Instanbul 2012
2012WorldFigureSkatingChampionships,World Figure Skating Championships 2012
