child-id,parent-id
Acronym,Abbreviation
Spleen,Abdomen
Abnormal-Unusual,AbnormalSystemCondition
MidlifeCrisis,AbnormalSystemCondition
EmeryBoard,Abrasive
TrackAndField,AbsoluteSportsEvent
NumericString,AbstractInformationStructure
RelationalStructure,AbstractInformationStructure
AnimalAbuse,Abuse
ChildAbuse,Abuse
HumanRightsAbuse,Abuse
IncestualAbuse,Abuse
PsychologicalAbuse,Abuse
SatanicRitualAbuse,Abuse
SexualAbuse,Abuse
UniversitySemester,AcademicSemester
AcademicQuarter,AcademicTerm
AcademicSemester,AcademicTerm
AcademicTrimester,AcademicTerm
AcademicYear,AcademicTerm
UniversitySemester,AcademicTerm
AcademicYear-American,AcademicYear
RoyalGalicianAcademy,Academy
MotionPictureAwardCategory,AcademyAward
DownloadingAFile,AccessingAFile
SavingAFile,AccessingAFile
TarotReading,AccessingAnIBT
Audio-Accessory,Accessory-Artifact
Desk-Accessory,Accessory-Artifact
IndoorGrill-Accessory,Accessory-Artifact
Motorcycle-Accessory,Accessory-Artifact
Wedding-Accessory,Accessory-Artifact
Wireless-Accessory,Accessory-Artifact
AslyumBuilding,AccommodationBuildingStructure
DayCareCenter,AccommodationBuildingStructure
HotelRoom,AccommodationBuildingStructure
HotelRoomUnit,AccommodationBuildingStructure
OfficeFurniture,AccommodationFurniture
OutdoorFurnitureMarketCategory,AccommodationFurniture
AccountSystemTypeByImplementationMeans,Account-LegalAgreement
HomeEquityLoan,AccountBasedCreditProduct
UnsecuredLoan,AccountBasedCreditProduct
AccountingProgram,AccountingEnterpriseResourcePlanningSoftware
TaxSoftware,AccountingEnterpriseResourcePlanningSoftware
AuditTrail,AccountingReport
BankAccount,AccountType
CreditAccount,AccountType
RetirementAccount,AccountType
TaxDeferredAccount,AccountType
AccountActive,AccountTypeByStatus
AccountInactive,AccountTypeByStatus
AccountPending,AccountTypeByStatus
CaesiumAcetate,Acetate
CelluloseAcetate,Acetate
GeranylAcetate,Acetate
HeptylAcetate,Acetate
OsmiumAcetylene,Acetate
AbdominalPain,Ache-AilmentCondition
BlackColor,AchromaticColor
GrayColor,AchromaticColor
PureWhiteColor,AchromaticColor
AceticAnhydride,AcidAnhydride
Vinegar,AcidicSolution-Liquid
ChoreographedCombat,Acting
EndangeringSomething,Action
PreventingSomething,Action
Convenience,ActionAttributeLevelQuantity
LevelOfChange,ActionAttributeLevelQuantity
LevelOfPhysicalActivity,ActionAttributeLevelQuantity
PerformanceLevelQuantity,ActionAttributeLevelQuantity
PlatformGameProgram,ActionGame
AffectingSomething,ActionOnObject
AttachmentEvent,ActionOnObject
CausingToBeInACertainCondition,ActionOnObject
ConvertingSomething,ActionOnObject
CracklingSomething,ActionOnObject
CrowdingSomething,ActionOnObject
ExpendingSomething,ActionOnObject
Filtering-Generic,ActionOnObject
FlocculatingSomething,ActionOnObject
LinkingTogether,ActionOnObject
ObstructionEvent,ActionOnObject
ObviatingSomething,ActionOnObject
Raking-SomethingDimensionallyCovering,ActionOnObject
RelaxingTheStrictnessOfSomething,ActionOnObject
Staining,ActionOnObject
Tempering,ActionOnObject
Anti-CorporationActivism,ActivismByType
ConsumerActivism,ActivismByType
EnvironmentalActivism,ActivismByType
HumanRightsActivism,ActivismByType
LaborActivism,ActivismByType
PoliticalActivism,ActivismByType
PoliticalActivist,Activist
ActionTypeByLegality,ActivityByType
AmateurActivity,ActivityByType
AnimateActivity,ActivityByType
CatalyticActivity,ActivityByType
ColdTemperatureActivity,ActivityByType
ComputerActivity,ActivityByType
ConsciousActivity,ActivityByType
HumanActivity,ActivityByType
IndoorActivity,ActivityByType
