kbpedia-id,pref-label,alt-label,definition
1-2-Nitrophenoxyoctane,,,"1-(2-Nitrophenoxy)octane, also known as nitrophenyl octyl ether and abbreviated NPOE, is a chemical compound that is used as a matrix in fast atom bombardment mass spectrometry, liquid secondary ion mass spectrometry, and as a highly lipophilic plasticizer in polymer membranes used in ion selective electrodes."
1-Amino-2-propanol,,,"1-Amino-2-propanol (isopropanolamine) is a chemical compound with the formula C3H9NO. It is an amino alcohol. The term \""isopropanolamine\"" may also refer more generally to the additional homologs diisopropanolamine (DIPA) and triisopropanolamine (TIPA). It can be prepared by the addition of aqueous ammonia to propylene oxide."
1-Amino-2-propanone,,,1-Amino-2-propanone is a secondary amino ketone.
112-Trichloro-122-trifluoroethane,,,"Trichlorotrifluoroethane, also called 1,1,2-Trichloro-1,2,2-trifluoroethane or CFC-113 is a chlorofluorocarbon. It has the formula Cl2FC-CClF2. This colorless gas is a versatile solvent. It has attracted much attention for its role in the depletion of stratospheric ozone. The amount of CFC-113 in the atmosphere has remained at about 80 parts per trillion, since the early 1990s. It is isomeric with 1,1,1-Trichloro-2,2,2-trifluoroethane, known as CFC-113a, which has the structural formula CF3-CCl3. The Montreal Protocol in 1987 called for the phase out of all CFC’s, including CFC-113 by 2010."
12-Dichlorotetrafluoroethane,,,"1,2-Dichlorotetrafluoroethane, or R-114, also known as cryofluorane (INN), is a chlorofluorocarbon (CFC) with the molecular formula ClF2CCF2Cl. Its primary use has been as a refrigerant. It is a non-flammable gas with a sweetish, chloroform-like odor with the critical point occurring at 145.6 °C and 3.26 MPa. When pressurized or cooled, it is a colorless liquid. It is listed on the Intergovernmental Panel on Climate Change's list of ozone depleting chemicals, and is classified as a Montreal Protocol Class I, group 1 ozone depleting substance."
12-Dimethoxybenzene,,,"1,2-Dimethoxybenzene, commonly known as veratrole, is an organic compound with the formula C6H4(OCH3)2. It is a colorless liquid, with a pleasant odor and slight solubility in water. It is the dimethyl ether derived from pyrocatechol."
12-O-Tetradecanoylphorbol-13-acetate,,,"12-O-Tetradecanoylphorbol-13-acetate (TPA), also commonly known as tetradecanoylphorbol acetate, tetradecanoyl phorbol acetate, and phorbol 12-myristate 13-acetate (PMA), is a diester of phorbol and a potent tumor promoter often employed in biomedical research to activate the signal transduction enzyme protein kinase C (PKC). The effects of TPA on PKC result from its similarity to one of the natural activators of classic PKC isoforms, diacylglycerol. TPA is a small molecule drug. TPA is also being studied as a drug in the treatment of hematologic cancer."
124-Trioxane,,,"1,2,4-Trioxane is one of the isomers of trioxane. It has the molecular formula C3H6O3 and consists of a six membered ring with three carbon atoms and three oxygen atoms. The two adjacent oxygen atoms form a peroxide functional group and the other forms an ether functional group. It is like a cyclic acetal but with one of the oxygen atoms in the acetal group being replaced by a peroxide group."
13-Dimethylpentylamine,,,"Methylhexanamine (trade names Forthane, Geranamine) or methylhexamine, commonly known as 1,3-dimethylamylamine (1,3-DMAA) or simply dimethylamylamine (DMAA), is an indirect sympathomimetic drug invented and developed by Eli Lilly and Company and marketed as an inhaled nasal decongestant from 1944 until it was voluntarily withdrawn from the market in 1983."
14-Dimethoxybenzene,,,"1,4-Dimethoxybenzene is an organic compound with the formula C6H4(OCH3)2. It is one of three isomers of dimethoxybenzene. It is a white solid with an intensely sweet floral odor. It is produced by several plant species."
