child-id,parent-id
Alternative,Abnormal-Unusual
FiringSquad,Abnormal-Unusual
Harem,Abnormal-Unusual
PhysiologicalCondition,Abnormal-Unusual
Title,AbnormalSystemCondition
Sentence,AbstractInformationStructure
WaitingList,AbstractInformationStructure
ObjectOrientedProgrammingLanguage,AbstractProgrammingLanguage
VisualProgrammingLanguage,AbstractProgrammingLanguage
EducationalSystem,AcademicOrganization
Kite-TheBird,AccipitrineFamily
AccessingAnIBT,Action
AmateurActivity,Action
AnimateActivity,Action
Ban,Action
BecomingAParticipantInSomething,Action
BiologicalDecompositionEvent,Action
BusinessIntimidation,Action
ChangingDeviceState,Action
CompletedStatus,Action
ComputerActivity,Action
CriminalAct,Action
DisruptingSomething,Action
Errand,Action
Forgiving,Action
FulfillingAnObligation,Action
GroupActivity,Action
HostileSocialAction,Action
IBTGeneration,Action
Indulgence,Action
IntelligenceActivity,Action
IntelligentAgentActivity,Action
MakingCounterfeitCurrency,Action
Mercy,Action
Military-Action,Action
OrganizationMerger,Action
Pedophilia-TheCondition,Action
Piracy-AtSea,Action
PlayActivity,Action
PoliticalAction,Action
PreventingFromHappening,Action
ProblemBehavior,Action
PromotionalEvent,Action
PurposefulAction,Action
RecreationalActivity,Action
RudeAction,Action
SecurityBreach,Action
Sexuality,Action
SingleDoerAction,Action
SlaveTrafficking,Action
SociabilityBasedAction,Action
SocialAction,Action
Spree,Action
StickballSwing,Action
SuperhumanAct,Action
ViolatingAnObligation,Action
AorticDissection,ActionOnObject
AttachmentEvent,ActionOnObject
ConnectingTogether,ActionOnObject
Hijacking,ActionOnObject
KillingByOrganism,ActionOnObject
LickingEvent,ActionOnObject
ObstructionEvent,ActionOnObject
Persecution,ActionOnObject
Piracy-AtSea,ActionOnObject
ProcessingEvent,ActionOnObject
StingingByAnimal,ActionOnObject
Attack-Verbal,ActionTypes
ContractorPreparation,ActionTypes
Emulation,ActionTypes
GangWar,ActionTypes
PhysicalEvent,ActionTypes
Simplifying,ActionTypes
UN-PeaceEnforcingOperation,ActionTypes
Anti-CorporationActivism,Activism
ConsumerActivism,Activism
EnvironmentalActivism,Activism
HumanRightsActivism,Activism
LaborActivism,Activism
PoliticalActivism,Activism
Researcher,AdultAnimal
Broker-Loan,Agent-Generic
ComputerUser,Agent-Generic
ComputerVandal,Agent-Generic
Contributor,Agent-Generic
FictionalCharacter,Agent-Generic
IndividualAgent,Agent-Generic
Intermediary,Agent-Generic
Proxy,Agent-Generic
Recruit,Agent-Generic
Respondent,Agent-Generic
SponsorOfTerroristOrganisations,Agent-Generic
Superhero,Agent-Generic
Volunteer,Agent-Generic
Watchdog,Agent-Generic
ActivityTypeFocusGroup,Agent-NonGeographical
AdvocacyOrganization,Agent-NonGeographical
AgriculturalOrganization,Agent-NonGeographical
AgricultureOrganization,Agent-NonGeographical
AircraftRepairOrganization,Agent-NonGeographical
AllFemaleSchool,Agent-NonGeographical
AllMaleSchool,Agent-NonGeographical
AnimalOrganization,Agent-NonGeographical
ArtisticMovement,Agent-NonGeographical
Association,Agent-NonGeographical
Beauty-CosmeticsOrganization,Agent-NonGeographical
BondExchange,Agent-NonGeographical
BoxingOrganization,Agent-NonGeographical
BuildingContractor-Organization,Agent-NonGeographical
Bureaucracy,Agent-NonGeographical
Carpool,Agent-NonGeographical
CarWashShop,Agent-NonGeographical
CommercialOrganization,Agent-NonGeographical
CommunicationsOrganization,Agent-NonGeographical
CommunityOrganization,Agent-NonGeographical
ComputerUser,Agent-NonGeographical
ConstructionRepairOrMaintenanceOrganization,Agent-NonGeographical
CooperativeOrganization,Agent-NonGeographical
CorporationSole,Agent-NonGeographical
Council-Organization,Agent-NonGeographical
CriminalOrganization,Agent-NonGeographical
DeminingOrganization,Agent-NonGeographical
Department,Agent-NonGeographical
Dissident,Agent-NonGeographical
DistributionOrganization,Agent-NonGeographical
DrugStoreChain,Agent-NonGeographical
DrugTestingOrganization,Agent-NonGeographical
EducationalInstitution,Agent-NonGeographical
EmbodiedAgent,Agent-NonGeographical
EmploymentOrganization,Agent-NonGeographical
EnergyOrganization,Agent-NonGeographical
EventOrganizer-Organization,Agent-NonGeographical
Family-Human,Agent-NonGeographical
FamilyPlanningOrganization,Agent-NonGeographical
FamousOrganization,Agent-NonGeographical
FieldOfStudyFocusGroup,Agent-NonGeographical
FinancialOrganization,Agent-NonGeographical
FiringSquad,Agent-NonGeographical
FoodAndBeverageOrganization,Agent-NonGeographical
GovernmentOwnedCompany,Agent-NonGeographical
GrainProcessingOrganization,Agent-NonGeographical
Harem,Agent-NonGeographical
HealthMaintenanceOrganization,Agent-NonGeographical
HomeBusiness,Agent-NonGeographical
HumanitarianOrganization,Agent-NonGeographical
HumanServicesOrganization,Agent-NonGeographical
InsuranceOrganization,Agent-NonGeographical
JudicialOrganization,Agent-NonGeographical
LawEnforcementOrganization,Agent-NonGeographical
LegalCorporation,Agent-NonGeographical
Libertarian,Agent-NonGeographical
LimitedPartner,Agent-NonGeographical
LoanUnderwriter,Agent-NonGeographical
MeatProcessingPlant,Agent-NonGeographical
MilitaryOrganization,Agent-NonGeographical
Minimalist,Agent-NonGeographical
MultipleListingsService,Agent-NonGeographical
MuslimBrotherhood,Agent-NonGeographical
NationalOrganization,Agent-NonGeographical
NetworkOrganization,Agent-NonGeographical
