Action,ActionTypes
Perceiving,ActionTypes
Quantity,AdjunctualAttributes
Agent-Generic,Agents
FormerAgent,Agents
GeographicalAgent,Agents
AnimalBLO,Animals
AnimalTypes,Animals
LiveAnimal,Animals
OrganSystem,Animals
CavityInterior-Generic,AreaRegion
FreeSpaceContent,AreaRegion
GeographicalArea-Intangible,AreaRegion
Region,AreaRegion
Artifact,Artifacts
Atom,AtomsElements
AtomicNucleus,AtomsElements
ElementStuff,AtomsElements
ElementStuffType,AtomsElements
SubAtomicParticle,AtomsElements
AudioConceptualWork,AudioInfo
Music,AudioInfo
RecordedIBO,AudioInfo
Sound,AudioInfo
AVMediaProduct,AVInfo
MovingImageWithSound,AVInfo
BiologicalCycle,BiologicalProcesses
BiologicalProcess,BiologicalProcesses
BioregulatorType,BiologicalProcesses
CellularProcessType,BiologicalProcesses
EcologicalCycle,BiologicalProcesses
ChemicalBond,Chemistry
ChemicalInteraction,Chemistry
ChemicallyBasicSubstance,Chemistry
ChemicallyNeutralSubstance,Chemistry
ChemicalSpeciesType,Chemistry
ChemicalSubstanceType,Chemistry
Chemistry-Topic,Chemistry
NuclearChemistry,Chemistry
Oxide,Chemistry
PureSubstance,Chemistry
Alternative,Concepts
ArrangementOfLikeObjects,Concepts
DangerousThing,Concepts
EnergyStuff,Concepts
EventOrRoleConcept,Concepts
IndustrialConcept,Concepts
Meme,Concepts
MilitaryOrganizationConcept,Concepts
Principles,Concepts
Resource,Concepts
StuffType,Concepts
SurfaceGeometryConcept,Concepts
TemporalThing,Concepts
TerrainConcept,Concepts
Topology,Concepts
UnitOfMeasureConcept,Concepts
IndividualIntelligence,ConceptualSystems
Mythology,ConceptualSystems
Plan,ConceptualSystems
Capability,Constituents
Field-LogicalOrPhysical,Constituents
TimeAttributes,ContextualAttributes
Label-IBO,Denotatives
Descendant,DirectRelations
BacterialBioAgentType,Diseases
BLOTypeByGenericHealthStatus,Diseases
DiseaseType,Diseases
Injured,Diseases
Neoplasm,Diseases
OrganismTypeByAilment,Diseases
PhysiologicalCondition,Diseases
DrugSubstance,Drugs
PharmaceuticalProduct,Drugs
PharmacyProductType,Drugs
Placebo,Drugs
EconomicAction,EconomicSystems
EconomicAgreement,EconomicSystems
Employment,EconomicSystems
FinancialCondition,EconomicSystems
Interest,EconomicSystems
Market,EconomicSystems
MonetaryRate,EconomicSystems
Tariff,EconomicSystems
Tax-COC,EconomicSystems
TenderObject,EconomicSystems
ArtificialIntelligence,EmergentKnowledge
Consciousness,EmergentKnowledge
Cosmogony,EmergentKnowledge
Emergence,EmergentKnowledge
Emergentism,EmergentKnowledge
Epistemics,EmergentKnowledge
Epistemology,EmergentKnowledge
Evolution,EmergentKnowledge
Holism,EmergentKnowledge
SelfOrganization,EmergentKnowledge
SystemsThinking,EmergentKnowledge
Eukaryota,Eukaryotes
Female,Eukaryotes
Male,Eukaryotes
DurativeEventType,EventTypes
Event,EventTypes
RepeatedEventType,EventTypes
ConstructionArtifact,Facilities
ExtraterrestrialFacility,Facilities
Workplace,Facilities
Cuisine,FoodDrink
Food,FoodDrink
FoodBeverageTobaccoProduct,FoodDrink
FoodGroup,FoodDrink
