s,p,o
http://kbpedia.org/kko/rc/1-2-Nitrophenoxyoctane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q7031552
http://kbpedia.org/kko/rc/1-Amino-2-propanol,kko:wikidata-q-id,http://www.wikidata.org/entity/Q161580
http://kbpedia.org/kko/rc/1-Amino-2-propanone,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4545767
http://kbpedia.org/kko/rc/100EuroNote,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2903520
http://kbpedia.org/kko/rc/10EuroNote,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2419695
http://kbpedia.org/kko/rc/10MeterAirPistol,kko:wikidata-q-id,http://www.wikidata.org/entity/Q79229
http://kbpedia.org/kko/rc/112-Trichloro-122-trifluoroethane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q161276
http://kbpedia.org/kko/rc/12-Dichlorotetrafluoroethane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q420380
http://kbpedia.org/kko/rc/12-Dimethoxybenzene,kko:wikidata-q-id,http://www.wikidata.org/entity/Q131994
http://kbpedia.org/kko/rc/12-O-Tetradecanoylphorbol-13-acetate,kko:wikidata-q-id,http://www.wikidata.org/entity/Q416716
http://kbpedia.org/kko/rc/124-Trioxane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2806555
http://kbpedia.org/kko/rc/13-Dimethylpentylamine,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2594649
http://kbpedia.org/kko/rc/14-Dimethoxybenzene,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4545697
http://kbpedia.org/kko/rc/14-Dioxane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q161532
http://kbpedia.org/kko/rc/17-Hydroxypregnenolone,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2064889
http://kbpedia.org/kko/rc/17-Ketosteroid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q929864
http://kbpedia.org/kko/rc/1948Arab-IsraeliWar,kko:wikidata-q-id,http://www.wikidata.org/entity/Q49092
http://kbpedia.org/kko/rc/1999UEFAChampionsLeagueFinal,kko:wikidata-q-id,http://www.wikidata.org/entity/Q833096
http://kbpedia.org/kko/rc/1p36DeletionSyndrome,kko:wikidata-q-id,http://www.wikidata.org/entity/Q3297103
http://kbpedia.org/kko/rc/2-Chloro-1112-tetrafluoroethane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q752098
http://kbpedia.org/kko/rc/2-MethoxybenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2018545
http://kbpedia.org/kko/rc/2009FluPandemic,kko:wikidata-q-id,http://www.wikidata.org/entity/Q101452
http://kbpedia.org/kko/rc/200EuroNote,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2903527
http://kbpedia.org/kko/rc/2011CricketWorldCup,kko:wikidata-q-id,http://www.wikidata.org/entity/Q911295
http://kbpedia.org/kko/rc/2011CricketWorldCup-Cricketers,kko:wikidata-q-id,http://www.wikidata.org/entity/Q8427158
http://kbpedia.org/kko/rc/2011IIHFWorldChampionship,kko:wikidata-q-id,http://www.wikidata.org/entity/Q838382
http://kbpedia.org/kko/rc/2011RugbyWorldCup,kko:wikidata-q-id,http://www.wikidata.org/entity/Q270736
http://kbpedia.org/kko/rc/2011SoutheastAsianGames,kko:wikidata-q-id,http://www.wikidata.org/entity/Q1144097
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionship-Diving,kko:wikidata-q-id,http://www.wikidata.org/entity/Q923140
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships,kko:wikidata-q-id,http://www.wikidata.org/entity/Q330343
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships-OpenWaterSwimming,kko:wikidata-q-id,http://www.wikidata.org/entity/Q1055892
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships-Swimming,kko:wikidata-q-id,http://www.wikidata.org/entity/Q1345853
http://kbpedia.org/kko/rc/2011WorldChampionshipsInAthletics,kko:wikidata-q-id,http://www.wikidata.org/entity/Q208675
http://kbpedia.org/kko/rc/2012IAAFWorldIndoorChampionships,kko:wikidata-q-id,http://www.wikidata.org/entity/Q746504
http://kbpedia.org/kko/rc/2012WorldFigureSkatingChampionships,kko:wikidata-q-id,http://www.wikidata.org/entity/Q916374
http://kbpedia.org/kko/rc/2012WorldJuniorIceHockeyChampionships,kko:wikidata-q-id,http://www.wikidata.org/entity/Q327084
http://kbpedia.org/kko/rc/20EuroNote,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2741966
http://kbpedia.org/kko/rc/22-Bipyridine,kko:wikidata-q-id,http://www.wikidata.org/entity/Q209143
http://kbpedia.org/kko/rc/22-Dimethoxypropane,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4596749
http://kbpedia.org/kko/rc/24-Dimethyl-6-tert-butylphenol,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4272672
http://kbpedia.org/kko/rc/250t-classTorpedoBoat,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2375633
http://kbpedia.org/kko/rc/26-Di-tert-butylphenol,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2218184
http://kbpedia.org/kko/rc/26-Lutidine,kko:wikidata-q-id,http://www.wikidata.org/entity/Q209284
http://kbpedia.org/kko/rc/3-Amino-5-nitrosalicylicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2823211
http://kbpedia.org/kko/rc/3-NitrobenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4634183
http://kbpedia.org/kko/rc/3-PhosphoglycerateMolecule,kko:wikidata-q-id,http://www.wikidata.org/entity/Q27104828
http://kbpedia.org/kko/rc/33-DiaminobenzidineTetrahydrochloride,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4030650
http://kbpedia.org/kko/rc/35-DinitrobenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q223027
http://kbpedia.org/kko/rc/3DFilm,kko:wikidata-q-id,http://www.wikidata.org/entity/Q229390
http://kbpedia.org/kko/rc/3DGraphicsSoftware,kko:wikidata-q-id,http://www.wikidata.org/entity/Q229371
http://kbpedia.org/kko/rc/4-AminobenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q284959
http://kbpedia.org/kko/rc/4-Aminopyridine,kko:wikidata-q-id,http://www.wikidata.org/entity/Q372539
http://kbpedia.org/kko/rc/4-Chlorodehydromethyltestosterone,kko:wikidata-q-id,http://www.wikidata.org/entity/Q909987
http://kbpedia.org/kko/rc/4-Dimethylaminopyridine,kko:wikidata-q-id,http://www.wikidata.org/entity/Q229897
http://kbpedia.org/kko/rc/4-HydroxybenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q229970
http://kbpedia.org/kko/rc/4-Hydroxytestosterone,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4637157
http://kbpedia.org/kko/rc/4-MethoxybenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q4566032
http://kbpedia.org/kko/rc/4-MethylbenzoicAcid,kko:wikidata-q-id,http://www.wikidata.org/entity/Q1607905
http://kbpedia.org/kko/rc/4-tert-Butylcatechol,kko:wikidata-q-id,http://www.wikidata.org/entity/Q840843
http://kbpedia.org/kko/rc/5013COrganization,kko:wikidata-q-id,http://www.wikidata.org/entity/Q18325436
http://kbpedia.org/kko/rc/50EuroNote,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2903535
http://kbpedia.org/kko/rc/5EuroNote,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2406691
http://kbpedia.org/kko/rc/6-Hydroxydopamine,kko:wikidata-q-id,http://www.wikidata.org/entity/Q780181
http://kbpedia.org/kko/rc/A-10Thunderbolt,kko:wikidata-q-id,http://www.wikidata.org/entity/Q192443
http://kbpedia.org/kko/rc/AAAI,kko:wikidata-q-id,http://www.wikidata.org/entity/Q2739680
http://kbpedia.org/kko/rc/AaptosKanuux,kko:wikidata-q-id,http://www.wikidata.org/entity/Q1901299
http://kbpedia.org/kko/rc/Aardwolf,kko:wikidata-q-id,http://www.wikidata.org/entity/Q185295
http://kbpedia.org/kko/rc/Aargau,kko:wikidata-q-id,http://www.wikidata.org/entity/Q11972
http://kbpedia.org/kko/rc/Aaron,kko:wikidata-q-id,http://www.wikidata.org/entity/Q51676
http://kbpedia.org/kko/rc/AaronCopland-Composer,kko:wikidata-q-id,http://www.wikidata.org/entity/Q192185
