s,p,o
http://kbpedia.org/kko/rc/Abdicating,kko:isRelatedTo,http://www.wikidata.org/entity/Q207549
http://kbpedia.org/kko/rc/Absorbency,kko:isRelatedTo,http://www.wikidata.org/entity/Q332828
http://kbpedia.org/kko/rc/AcidType,kko:isRelatedTo,http://www.wikidata.org/entity/Q11158
http://kbpedia.org/kko/rc/AfghanPeople,kko:isRelatedTo,http://www.wikidata.org/entity/Q16007968
http://kbpedia.org/kko/rc/Agnostic,kko:isRelatedTo,http://www.wikidata.org/entity/Q288928
http://kbpedia.org/kko/rc/AirPollutionProcess,kko:isRelatedTo,http://www.wikidata.org/entity/Q131123
http://kbpedia.org/kko/rc/AlbinoAnimal,kko:isRelatedTo,http://www.wikidata.org/entity/Q81867
http://kbpedia.org/kko/rc/AnimalBodyPart,kko:isRelatedTo,http://www.wikidata.org/entity/Q4936952
http://kbpedia.org/kko/rc/AudioEngineering,kko:isRelatedTo,http://www.wikidata.org/entity/Q128124
http://kbpedia.org/kko/rc/AureolinColor,kko:isRelatedTo,http://www.wikidata.org/entity/Q410217
http://kbpedia.org/kko/rc/AustrianPerson,kko:isRelatedTo,http://www.wikidata.org/entity/Q237534
http://kbpedia.org/kko/rc/BangladeshPerson,kko:isRelatedTo,http://www.wikidata.org/entity/Q4855428
http://kbpedia.org/kko/rc/BBQCuisine,kko:isRelatedTo,http://www.wikidata.org/entity/Q461696
http://kbpedia.org/kko/rc/Birdwatcher,kko:isRelatedTo,http://www.wikidata.org/entity/Q685629
http://kbpedia.org/kko/rc/BlackHairedHuman,kko:isRelatedTo,http://www.wikidata.org/entity/Q1922956
http://kbpedia.org/kko/rc/Boilermaking,kko:isRelatedTo,http://www.wikidata.org/entity/Q520895
http://kbpedia.org/kko/rc/BrilliantBlue_Color,kko:isRelatedTo,http://www.wikidata.org/entity/Q418516
http://kbpedia.org/kko/rc/BroadwayShow,kko:isRelatedTo,http://www.wikidata.org/entity/Q235065
http://kbpedia.org/kko/rc/BronchialTube,kko:isRelatedTo,http://www.wikidata.org/entity/Q181602
http://kbpedia.org/kko/rc/BronchialTubeSegment,kko:isRelatedTo,http://www.wikidata.org/entity/Q181602
http://kbpedia.org/kko/rc/BrownHairedHuman,kko:isRelatedTo,http://www.wikidata.org/entity/Q2367101
http://kbpedia.org/kko/rc/CabernetSauvignon_Wine,kko:isRelatedTo,http://www.wikidata.org/entity/Q207310
http://kbpedia.org/kko/rc/Calamine,kko:isRelatedTo,http://www.wikidata.org/entity/Q909139
http://kbpedia.org/kko/rc/CarmineColor,kko:isRelatedTo,http://www.wikidata.org/entity/Q320617
http://kbpedia.org/kko/rc/CastingAVoteByWriteIn,kko:isRelatedTo,http://www.wikidata.org/entity/Q2479497
http://kbpedia.org/kko/rc/ChamoisColor,kko:isRelatedTo,http://www.wikidata.org/entity/Q131340
http://kbpedia.org/kko/rc/Chardonnay_Wine,kko:isRelatedTo,http://www.wikidata.org/entity/Q213332
http://kbpedia.org/kko/rc/ChemicalProcessing,kko:isRelatedTo,http://www.wikidata.org/entity/Q2281940
http://kbpedia.org/kko/rc/CheninBlanc_Wine,kko:isRelatedTo,http://www.wikidata.org/entity/Q1070101
http://kbpedia.org/kko/rc/ChinesePerson,kko:isRelatedTo,http://www.wikidata.org/entity/Q6501380
http://kbpedia.org/kko/rc/ChristianScientist,kko:isRelatedTo,http://www.wikidata.org/entity/Q624477
http://kbpedia.org/kko/rc/CitronColor,kko:isRelatedTo,http://www.wikidata.org/entity/Q150064
http://kbpedia.org/kko/rc/Clowning,kko:isRelatedTo,http://www.wikidata.org/entity/Q7358
http://kbpedia.org/kko/rc/ComputerAsSystem,kko:isRelatedTo,http://www.wikidata.org/entity/Q68
