id,subClassOf,parent
http://kbpedia.org/kko/rc/BatteryCell,rdfs:subClassOf,http://kbpedia.org/kko/rc/BatteryGenerator
http://kbpedia.org/kko/rc/BatteryCell,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument,rdfs:subClassOf,http://kbpedia.org/kko/rc/MeasuringTestingInstrument
http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessLawService
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,http://kbpedia.org/kko/rc/TravelReservation
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExternallyPoweredDevice,rdfs:subClassOf,http://kbpedia.org/kko/rc/PoweredDevice
http://kbpedia.org/kko/rc/ExternallyPoweredDevice,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biofuel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fuel
http://kbpedia.org/kko/rc/Biofuel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RadiotherapyTeletherapyXRayMachine,rdfs:subClassOf,http://kbpedia.org/kko/rc/RadiotherapyTeletherapyProduct
http://kbpedia.org/kko/rc/RadiotherapyTeletherapyXRayMachine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ethics-PhilosophySubField
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyBeliefs
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArmsTrafficking,rdfs:subClassOf,http://kbpedia.org/kko/rc/Smuggling
http://kbpedia.org/kko/rc/ArmsTrafficking,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AircraftArrestingGear,rdfs:subClassOf,http://kbpedia.org/kko/rc/AircraftComponent
http://kbpedia.org/kko/rc/AircraftArrestingGear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/Can
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralAutoMarketCategory
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-UserControlled
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/DistanceMeasuringDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/MechanicalDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/VehiclePart
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
