id,subClassOf,parent
http://kbpedia.org/kko/rc/BatteryCell,rdfs:subClassOf,http://kbpedia.org/kko/rc/BatteryGenerator
http://kbpedia.org/kko/rc/BatteryCell,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument,rdfs:subClassOf,http://kbpedia.org/kko/rc/MeasuringTestingInstrument
http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessLawService
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,http://kbpedia.org/kko/rc/TravelReservation
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExternallyPoweredDevice,rdfs:subClassOf,http://kbpedia.org/kko/rc/PoweredDevice
http://kbpedia.org/kko/rc/ExternallyPoweredDevice,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RitualLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sociolinguistics
http://kbpedia.org/kko/rc/RitualLanguage,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/PermittingEntrance
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralizedTransfer
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Biofuel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Fuel
http://kbpedia.org/kko/rc/Biofuel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Inconsistency,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonNumericScalarQuantity
http://kbpedia.org/kko/rc/Inconsistency,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Chloropicrin,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChokingAgentStuff
http://kbpedia.org/kko/rc/Chloropicrin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RadiotherapyTeletherapyXRayMachine,rdfs:subClassOf,http://kbpedia.org/kko/rc/RadiotherapyTeletherapyProduct
http://kbpedia.org/kko/rc/RadiotherapyTeletherapyXRayMachine,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BusinessFailure,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessEvent
http://kbpedia.org/kko/rc/BusinessFailure,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ethics-PhilosophySubField
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyBeliefs
http://kbpedia.org/kko/rc/Utilitarianism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paleontology
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,owl:Thing
