id,subClassOf,parent
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/LeadIIAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeBySocialClass
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChinesePeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByNationality
http://kbpedia.org/kko/rc/ChinesePeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,http://kbpedia.org/kko/rc/PitViper
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Xinjiang-ProvinceChina
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Urophora,rdfs:subClassOf,http://kbpedia.org/kko/rc/Tephritinae
http://kbpedia.org/kko/rc/Urophora,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UranylAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/UranylAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralBioAgent
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,http://kbpedia.org/kko/rc/LivingBiologicalAgent
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,http://kbpedia.org/kko/rc/State-Mexico
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,http://kbpedia.org/kko/rc/EdibleFruit
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,http://kbpedia.org/kko/rc/FreshVegetable
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CroatianPeople,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeByNationality
http://kbpedia.org/kko/rc/CroatianPeople,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Acanthocercus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Agamidae
http://kbpedia.org/kko/rc/Acanthocercus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Rojava,rdfs:subClassOf,http://kbpedia.org/kko/rc/Kurdistan-ProvinceIran
http://kbpedia.org/kko/rc/Rojava,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HierodulaPatellifera,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hierodula
http://kbpedia.org/kko/rc/HierodulaPatellifera,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UranylZincAcetate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Acetate
http://kbpedia.org/kko/rc/UranylZincAcetate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,http://kbpedia.org/kko/rc/BacterialBioAgent
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,http://kbpedia.org/kko/rc/Bacterium-Immotile
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,http://kbpedia.org/kko/rc/Yersinia
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnaerobicBacterium-Facultative
http://kbpedia.org/kko/rc/Plague-Bacterium,rdfs:subClassOf,owl:Thing
