id,subClassOf,parent
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,http://kbpedia.org/kko/rc/BusinessLawService
http://kbpedia.org/kko/rc/BankruptcyLawService,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,http://kbpedia.org/kko/rc/TravelReservation
http://kbpedia.org/kko/rc/AirlineReservation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/PermittingEntrance
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralizedTransfer
http://kbpedia.org/kko/rc/CommittingSomeoneToAnInstitution,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Paleontology
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Subfield
http://kbpedia.org/kko/rc/SubfieldOfPaleontology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeBySocialClass
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Fear,rdfs:subClassOf,http://kbpedia.org/kko/rc/Displeasure
http://kbpedia.org/kko/rc/Fear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArmsTrafficking,rdfs:subClassOf,http://kbpedia.org/kko/rc/Smuggling
http://kbpedia.org/kko/rc/ArmsTrafficking,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-UserControlled
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/DistanceMeasuringDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/MechanicalDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/VehiclePart
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GuiltyVerdict,rdfs:subClassOf,http://kbpedia.org/kko/rc/Trial
http://kbpedia.org/kko/rc/GuiltyVerdict,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Xinjiang-ProvinceChina
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialProposal
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Solicitation
http://kbpedia.org/kko/rc/CommercialSolicitation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,http://kbpedia.org/kko/rc/State-Mexico
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EquivalenceRelation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Equivalences
http://kbpedia.org/kko/rc/EquivalenceRelation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/PurposefulPhysicalAction
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntelligentAgentActivity
http://kbpedia.org/kko/rc/UsingAnObject,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,http://kbpedia.org/kko/rc/EdibleFruit
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,http://kbpedia.org/kko/rc/FreshVegetable
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/West-Directly,rdfs:subClassOf,http://kbpedia.org/kko/rc/CompassPoint
http://kbpedia.org/kko/rc/West-Directly,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/West-Directly,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeographicalDirection
http://kbpedia.org/kko/rc/West-Directly,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WalkInFreezer,rdfs:subClassOf,http://kbpedia.org/kko/rc/IndustrialFreezer
http://kbpedia.org/kko/rc/WalkInFreezer,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutoPart
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralAutoMarketCategory
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,http://kbpedia.org/kko/rc/LeadAcidBattery
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,http://kbpedia.org/kko/rc/BatteryCell
http://kbpedia.org/kko/rc/AutomobileBattery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/WitchTrial,rdfs:subClassOf,http://kbpedia.org/kko/rc/Trial
http://kbpedia.org/kko/rc/WitchTrial,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AdministrationOrder,rdfs:subClassOf,http://kbpedia.org/kko/rc/Writ
http://kbpedia.org/kko/rc/AdministrationOrder,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Rojava,rdfs:subClassOf,http://kbpedia.org/kko/rc/Kurdistan-ProvinceIran
http://kbpedia.org/kko/rc/Rojava,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChineseProvince,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/ChineseProvince,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryConflictEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConflictEvent
http://kbpedia.org/kko/rc/MilitaryConflictEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MilitaryConflictEvent,rdfs:subClassOf,http://kbpedia.org/kko/rc/MilitaryEvent
http://kbpedia.org/kko/rc/MilitaryConflictEvent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CitrusFruit,rdfs:subClassOf,http://kbpedia.org/kko/rc/EdibleFruit
http://kbpedia.org/kko/rc/CitrusFruit,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CitrusFruit,rdfs:subClassOf,http://kbpedia.org/kko/rc/RoundObject
http://kbpedia.org/kko/rc/CitrusFruit,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeographicalDirection-General,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeographicalDirection
http://kbpedia.org/kko/rc/GeographicalDirection-General,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AircraftMarking,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarkingForIdentification
http://kbpedia.org/kko/rc/AircraftMarking,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Mesa,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hill
http://kbpedia.org/kko/rc/Mesa,rdfs:subClassOf,owl:Thing
