id,subClassOf,parent
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,http://kbpedia.org/kko/rc/DacLac-ProvinceVietnam
http://kbpedia.org/kko/rc/BuonMaThuot,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,http://kbpedia.org/kko/rc/Muscidae
http://kbpedia.org/kko/rc/Muscinae,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,http://kbpedia.org/kko/rc/Province
http://kbpedia.org/kko/rc/Province-Iraq,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,http://kbpedia.org/kko/rc/PersonTypeBySocialClass
http://kbpedia.org/kko/rc/Brahmin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,http://kbpedia.org/kko/rc/PitViper
http://kbpedia.org/kko/rc/Sistrurus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GulfCoastOfTheUnitedStates,rdfs:subClassOf,http://kbpedia.org/kko/rc/South-USRegion
http://kbpedia.org/kko/rc/GulfCoastOfTheUnitedStates,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AircraftArrestingGear,rdfs:subClassOf,http://kbpedia.org/kko/rc/AircraftComponent
http://kbpedia.org/kko/rc/AircraftArrestingGear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/Can
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,http://kbpedia.org/kko/rc/GeneralAutoMarketCategory
http://kbpedia.org/kko/rc/GasCan,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/Device-UserControlled
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/DistanceMeasuringDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/MechanicalDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationDevice
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/NavigationalEquipmentInstrument
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,http://kbpedia.org/kko/rc/VehiclePart
http://kbpedia.org/kko/rc/Sextant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,http://kbpedia.org/kko/rc/Xinjiang-ProvinceChina
http://kbpedia.org/kko/rc/DzungarKhanate,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Urophora,rdfs:subClassOf,http://kbpedia.org/kko/rc/Tephritinae
http://kbpedia.org/kko/rc/Urophora,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,http://kbpedia.org/kko/rc/ViralBioAgent
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,http://kbpedia.org/kko/rc/LivingBiologicalAgent
http://kbpedia.org/kko/rc/EbolaVirus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BoysFootwear,rdfs:subClassOf,http://kbpedia.org/kko/rc/BoysApparel
http://kbpedia.org/kko/rc/BoysFootwear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/BoysFootwear,rdfs:subClassOf,http://kbpedia.org/kko/rc/Shoe
http://kbpedia.org/kko/rc/BoysFootwear,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,http://kbpedia.org/kko/rc/State-Mexico
http://kbpedia.org/kko/rc/VeracruzLlave-StateMexico,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,http://kbpedia.org/kko/rc/EdibleFruit
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,http://kbpedia.org/kko/rc/FreshVegetable
http://kbpedia.org/kko/rc/Avocado,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CentralTexas,rdfs:subClassOf,http://kbpedia.org/kko/rc/Southwest-USRegion
http://kbpedia.org/kko/rc/CentralTexas,rdfs:subClassOf,owl:Thing
