s,p,o
http://kbpedia.org/kko/rc/Amendment_PCW,kko:superClassOf,http://purl.org/vocab/frbr/core#revision
http://kbpedia.org/kko/rc/ArrangementOfLikeObjects,kko:superClassOf,http://purl.org/vocab/frbr/core#arrangement
http://kbpedia.org/kko/rc/CommercialOrganization,kko:superClassOf,http://purl.org/vocab/frbr/core#CorporateBody
http://kbpedia.org/kko/rc/Concept,owl:equivalentClass,http://purl.org/vocab/frbr/core#Concept
http://kbpedia.org/kko/rc/ConvertingSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#adaption
http://kbpedia.org/kko/rc/CreatingAnArtifact,kko:superClassOf,http://purl.org/vocab/frbr/core#Endeavour
http://kbpedia.org/kko/rc/Creator_Person,kko:superClassOf,http://purl.org/vocab/frbr/core#creator
http://kbpedia.org/kko/rc/DecreaseEvent,kko:superClassOf,http://purl.org/vocab/frbr/core#abridgement
http://kbpedia.org/kko/rc/Embodiment,kko:superClassOf,http://purl.org/vocab/frbr/core#embodiment
http://kbpedia.org/kko/rc/Event,owl:equivalentClass,http://purl.org/vocab/frbr/core#Event
http://kbpedia.org/kko/rc/IBTTranslating,kko:superClassOf,http://purl.org/vocab/frbr/core#translation
http://kbpedia.org/kko/rc/ImitationOfIndividual,kko:superClassOf,http://purl.org/vocab/frbr/core#imitation
http://kbpedia.org/kko/rc/Object,rdfs:subClassOf,http://purl.org/vocab/frbr/core#Object
http://kbpedia.org/kko/rc/ObjectTypes,rdfs:subClassOf,http://purl.org/vocab/frbr/core#Object
http://kbpedia.org/kko/rc/OwningSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#owner
http://kbpedia.org/kko/rc/Person,owl:equivalentClass,http://purl.org/vocab/frbr/core#Person
http://kbpedia.org/kko/rc/PhysicalPartOfObject,kko:superClassOf,http://purl.org/vocab/frbr/core#part
http://kbpedia.org/kko/rc/PrintReproduction,kko:superClassOf,http://purl.org/vocab/frbr/core#reproduction
http://kbpedia.org/kko/rc/Producer,owl:equivalentClass,http://purl.org/vocab/frbr/core#producer
http://kbpedia.org/kko/rc/PropositionalConceptualWork,owl:equivalentClass,http://purl.org/vocab/frbr/core#Work
http://kbpedia.org/kko/rc/Relation,kko:superClassOf,http://purl.org/vocab/frbr/core#relatedEndeavour
http://kbpedia.org/kko/rc/Summary,kko:superClassOf,http://purl.org/vocab/frbr/core#summarization
http://kbpedia.org/kko/rc/TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#Expression
http://kbpedia.org/kko/rc/TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#supplement
http://kbpedia.org/kko/rc/Transformation,kko:superClassOf,http://purl.org/vocab/frbr/core#transformation
