s,p,o
http://kbpedia.org/kko/rc/CalendarHour,owl:sameAs,http://www.w3.org/2006/time#unitHour
http://kbpedia.org/kko/rc/CalendarMinute,owl:sameAs,http://www.w3.org/2006/time#unitMinute
http://kbpedia.org/kko/rc/CalendarMonth,owl:sameAs,http://www.w3.org/2006/time#unitMonth
http://kbpedia.org/kko/rc/CalendarSecond,owl:sameAs,http://www.w3.org/2006/time#unitSecond
http://kbpedia.org/kko/rc/CalendarWeek,owl:sameAs,http://www.w3.org/2006/time#unitWeek
http://kbpedia.org/kko/rc/CalendarYear,owl:sameAs,http://www.w3.org/2006/time#unitYear
http://kbpedia.org/kko/rc/DayOfWeekType,owl:sameAs,http://www.w3.org/2006/time#unitDay
http://kbpedia.org/kko/rc/Friday,owl:sameAs,http://www.w3.org/2006/time#Friday
http://kbpedia.org/kko/rc/January,rdfs:subClassOf,http://www.w3.org/2006/time#January
http://kbpedia.org/kko/rc/Monday,owl:sameAs,http://www.w3.org/2006/time#Monday
http://kbpedia.org/kko/rc/Saturday,owl:sameAs,http://www.w3.org/2006/time#Saturday
http://kbpedia.org/kko/rc/Sunday,owl:sameAs,http://www.w3.org/2006/time#Sunday
http://kbpedia.org/kko/rc/Thursday,owl:sameAs,http://www.w3.org/2006/time#Thursday
http://kbpedia.org/kko/rc/TimeAttributes,rdfs:subClassOf,http://www.w3.org/2006/time#TemporalEntity
http://kbpedia.org/kko/rc/TimeInterval,rdfs:subClassOf,http://www.w3.org/2006/time#Interval
http://kbpedia.org/kko/rc/TimeParameter,rdfs:subClassOf,http://www.w3.org/2006/time#TemporalUnit
http://kbpedia.org/kko/rc/TimeZone,rdfs:subClassOf,http://www.w3.org/2006/timezone#TimeZone
http://kbpedia.org/kko/rc/Time_Quantity,rdfs:subClassOf,http://www.w3.org/2006/time#DurationDescription
http://kbpedia.org/kko/rc/Tuesday,owl:sameAs,http://www.w3.org/2006/time#Tuesday
http://kbpedia.org/kko/rc/Wednesday,owl:sameAs,http://www.w3.org/2006/time#Wednesday
