id,object,relatesTo
AbominableSnowman,Mammal,relatesToAnimals
AcademyAward,AwardAttribute,relatesToAdjunctualAttributes
AccountType,TemporalStuffType,relatesToConcepts
Action,Actions,relatesToCopulativeRelations
Acupressure,Alternative,relatesToConcepts
Acupuncture,Alternative,relatesToConcepts
Adaptation,BiologicalAttribute,relatesToAdjunctualAttributes
AdministrativeDistrict,AdministrativeDivision,relatesToGeopolitical
AdultConsumer,ExtrinsicAspect,relatesToContextualAttributes
AilmentCondition,ChronicCondition,relatesToDiseases
AirplaneTrip,TemporallyContinuousThing,relatesToConcepts
Algae,AquaticOrganism,relatesToLivingThings
AlternativeRockMusic,Alternative,relatesToConcepts
AlternativeScience,Alternative,relatesToConcepts
AmericanWaterLandmark,Water,relatesToNaturalSubstances
AncientCity,Ancient,relatesToConcepts
AncientCounty_China,Ancient,relatesToConcepts
AncientCurrency,Ancient,relatesToConcepts
AncientInternationalRelations,Ancient,relatesToConcepts
AncientMonument,Ancient,relatesToConcepts
AncientNavalShip,Ancient,relatesToConcepts
AncientRoadway,Ancient,relatesToConcepts
AnimalBLO,BiologicalLivingObject,relatesToLivingThings
AnimalBLO,KingdomAnimalia,relatesToLivingThings
AnimalBLO,PerceptualAgent_Embodied,relatesToManifestations
AnimalBLO,SolidTangibleThing,relatesToShapes
Animalia,Heterotroph,relatesToLivingThings
Animalia,MulticellularOrganism,relatesToLivingThings
AnucleatedCell,ProkaryoticCell,relatesToLivingThings
AquaticAnimal,AquaticOrganism,relatesToLivingThings
AquaticPlant,AquaticOrganism,relatesToLivingThings
Aquifer,Layer,relatesToForms
ArchaeaBLO,KingdomArchaea,relatesToLivingThings
ArchaeologicalArtifact,Ancient,relatesToConcepts
ArchaeologicalSite,HistoricTemporalThing,relatesToConcepts
Archive,HistoricalCollection,relatesToConcepts
Art,ArtsCraftsEquipment,relatesToSecondarySectorProducts
ArtSupplies,Supplies,relatesToCopulativeRelations
ArtifactType,TemporalStuffType,relatesToConcepts
Ascomycota,MulticellularOrganism,relatesToLivingThings
AsexualBLO,BiologicalLivingObject,relatesToLivingThings
Assets_Possession,Possession,relatesToConcepts
AstronomicalObject,FiniteSpatialThing,relatesToShapes
AtmosphericBoundaryLayer,Layer,relatesToForms
AtmosphericLayer,Layer,relatesToForms
AtomicNucleus,MicroscopicScaleObject,relatesToShapes
AttackOnTangible,DangerousSituation,relatesToConcepts
AutoPart,NewAutoDealerPartsMarketCategory,relatesToSecondarySectorProducts
AutoPart,PhysicalParts,relatesToDirectRelations
Autotroph_Bacterium,Autotroph,relatesToLivingThings
AwarenessQuantity,AwarenessAttribute,relatesToIntrinsicAttributes
BacteriaBLO,KingdomBacteria,relatesToLivingThings
BacterialBioAgent,LivingBiologicalAgent,relatesToLivingThings
Ball,RoundObject,relatesToShapes
Basidiomycota,MulticellularOrganism,relatesToLivingThings
Beam_Construction,RectangularParallelepiped,relatesToShapes
Bear_Animal,DangerousThing,relatesToConcepts
Bigfoot,Mammal,relatesToAnimals
Bill_Currency,CoinCollecting,relatesToEventTypes
BiochemicallyHarmfulSubstance,BiologicalAgentType,relatesToLivingThings
BiochemicallyHarmfulSubstance,DangerousThing,relatesToConcepts
BiochemicallyHarmfulSubstance,DiseaseAgent,relatesToDiseases
BiologicalChemistry,OrganicChemistryFOS,relatesToKnowledgeDomains
BiologicalLivingObject,BiologicalMatter,relatesToManifestations
BiologicalLivingObject,FiniteSpatialThing,relatesToShapes
BiologicalLivingObject,NaturalTangibleStuff,relatesToManifestations
BiologicalLivingObject,OrganicMaterial,relatesToOrganicMatter
BiologicalLivingObject,TemporallyContinuousThing,relatesToConcepts
BiologicalProcesses,TemporallyContinuousThing,relatesToConcepts
BiologicalProductionEvent,BiologicalAttribute,relatesToAdjunctualAttributes
Blackout,DangerousEvent,relatesToConcepts
BlindShade,Collapsible,relatesToForms
Blitz,DangerousEvent,relatesToConcepts
BloodPressure,Blood,relatesToLivingThings
Board_PieceOfWood,LinearObject_Tangible,relatesToShapes
BodyOfWater_Area,Water,relatesToNaturalMatter
BodyOfWater_Area,WaterResources,relatesToConcepts
BodyOfWater_Intermittent,Water,relatesToNaturalMatter
Bottle,Bottle_Generic,relatesToShapes
BranchOfMilitaryService,MilitaryOrganizationConcept,relatesToConcepts
Broadcasting,SubscriberService,relatesToTertiarySectorServices
BushFlying,DangerousActivity,relatesToConcepts
BusinessRelatedThing,TemporalThing,relatesToConcepts
Buttermilk,Lumpy,relatesToForms
Can,CapsuleContainer,relatesToShapes
Carnivore,OrganismTypeByNutrition,relatesToLivingThings
Carnivory,Meat,relatesToFoodDrink
