id,subclassof,parent
http://kbpedia.org/kko/rc/SymmetricKeyCryptography,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cryptography
http://kbpedia.org/kko/rc/SymmetricKeyCryptography,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChristianEducation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ReligionEducation
http://kbpedia.org/kko/rc/ChristianEducation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TreatmentOfBipolarDisorder,rdfs:subClassOf,http://kbpedia.org/kko/rc/PsychologicalTherapy
http://kbpedia.org/kko/rc/TreatmentOfBipolarDisorder,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FlashMemory,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntegratedCircuit
http://kbpedia.org/kko/rc/FlashMemory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cyc,rdfs:subClassOf,http://kbpedia.org/kko/rc/KnowledgeBase
http://kbpedia.org/kko/rc/Cyc,rdfs:subClassOf,http://kbpedia.org/kko/rc/OntologyInformationScience
http://kbpedia.org/kko/rc/Cyc,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InflatableBoat,rdfs:subClassOf,http://kbpedia.org/kko/rc/Boat
http://kbpedia.org/kko/rc/InflatableBoat,rdfs:subClassOf,http://kbpedia.org/kko/rc/Watercraft_Small
http://kbpedia.org/kko/rc/InflatableBoat,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/LatinLiterature,rdfs:subClassOf,http://kbpedia.org/kko/rc/ClassicalLiterature
http://kbpedia.org/kko/rc/LatinLiterature,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/Models
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,http://kbpedia.org/kko/rc/RegressionAnalysis
http://kbpedia.org/kko/rc/GeneralizedLinearModel,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SevenWondersOfTheAncientWorld,rdfs:subClassOf,http://kbpedia.org/kko/rc/HistoricalSite
http://kbpedia.org/kko/rc/SevenWondersOfTheAncientWorld,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MachuPicchu,rdfs:subClassOf,http://kbpedia.org/kko/rc/UNESCOWorldHertitageSite
http://kbpedia.org/kko/rc/MachuPicchu,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CeleronProcessor,rdfs:subClassOf,http://kbpedia.org/kko/rc/Microprocessor
http://kbpedia.org/kko/rc/CeleronProcessor,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IgneousPetrology,rdfs:subClassOf,http://kbpedia.org/kko/rc/ScientificFieldOfStudy
http://kbpedia.org/kko/rc/IgneousPetrology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/EconomicEngineering,rdfs:subClassOf,http://kbpedia.org/kko/rc/Microeconomics
http://kbpedia.org/kko/rc/EconomicEngineering,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Tiara,rdfs:subClassOf,http://kbpedia.org/kko/rc/FineJewelry
http://kbpedia.org/kko/rc/Tiara,rdfs:subClassOf,http://kbpedia.org/kko/rc/TypeOfJewelry
http://kbpedia.org/kko/rc/Tiara,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ColdWarConflict,rdfs:subClassOf,http://kbpedia.org/kko/rc/WagingAColdWar
http://kbpedia.org/kko/rc/ColdWarConflict,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AntiRevisionism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Communism
http://kbpedia.org/kko/rc/AntiRevisionism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SumerianLiterature,rdfs:subClassOf,http://kbpedia.org/kko/rc/BronzeAgeLiterature
http://kbpedia.org/kko/rc/SumerianLiterature,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RevealingInformation,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#InquiryMethods
http://kbpedia.org/kko/rc/RevealingInformation,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/GarmentBag,rdfs:subClassOf,http://kbpedia.org/kko/rc/Luggage
http://kbpedia.org/kko/rc/GarmentBag,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ArtGlass,rdfs:subClassOf,http://kbpedia.org/kko/rc/Decoration
http://kbpedia.org/kko/rc/ArtGlass,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Rehabilitation_Medical,rdfs:subClassOf,http://kbpedia.org/kko/rc/MedicalTreatmentEvent
http://kbpedia.org/kko/rc/Rehabilitation_Medical,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExtraterrestrialLife,rdfs:subClassOf,http://kbpedia.org/kko/rc/Exobiology
http://kbpedia.org/kko/rc/ExtraterrestrialLife,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StaticRandomAccessMemory,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntegratedCircuit
http://kbpedia.org/kko/rc/StaticRandomAccessMemory,rdfs:subClassOf,owl:Thing
