id,subClassOf,parent,notes
Gymnophiona,subClassOf,Amphibian,Adds formal order for caecilians; complements existing Caecilian
Ichthyophis,subClassOf,Gymnophiona,Adds common caecilian genus; expands Gymnophiona coverage
Hylidae,subClassOf,Anura,Adds family for tree frogs; groups existing TreeFrog
TreeFrog,subClassOf,Hylidae,Correction: Moves TreeFrog from Frog to Hylidae
Ranidae,subClassOf,Anura,Adds family for true frogs; groups Bullfrog and PickerelFrog
Bullfrog,subClassOf,Ranidae,Correction: Moves Bullfrog from Frog to Ranidae
PickerelFrog,subClassOf,Ranidae,Correction: Moves PickerelFrog from Frog to Ranidae
Cryptobranchidae,subClassOf,Salamander,Adds family for hellbenders; complements Hellbender
Coqui,subClassOf,Eleutherodactylus,Adds broader coqui category; complements GoldenCoqui
GoldenCoqui,subClassOf,Coqui,Correction: Moves GoldenCoqui from Frog to new Coqui category
GlassFrog,subClassOf,Anura,Adds centrolenid frog family; expands frog diversity
Pseudacris,subClassOf,ChorusFrog,Adds chorus frog genus; complements existing ChorusFrog species
Axolotl,subClassOf,Ambystomatidae,Adds iconic salamander species; complements MoleSalamander
SpottedSalamander,subClassOf,Ambystomatidae,Adds common salamander; balances Ambystomatidae
Red-backedSalamander,subClassOf,LunglessSalamander,Adds common plethodontid; expands LunglessSalamander
Pipa,subClassOf,Anura,Adds Surinam toad genus; balances toad diversity
Rhinophrynus,subClassOf,Anura,Adds Mexican burrowing toad; expands unique frogs
Discoglossidae,subClassOf,Anura,Adds disc-tongued frog family; complements Archaeobatrachia
Microhyla,subClassOf,Anura,Adds narrow-mouthed frog genus; expands frog diversity
Typhlonectes,subClassOf,Gymnophiona,Adds aquatic caecilian genus; balances Gymnophiona
