id,subClassOf,parent,notes
Myriapoda,subClassOf,Arthropod,Adds class for millipedes and centipedes; currently absent
Diplopoda,subClassOf,Myriapoda,Adds order for millipedes; expands Myriapoda
Millipede,subClassOf,Diplopoda,Adds common millipede category; balances Arthropod coverage
Chilopoda,subClassOf,Myriapoda,Adds order for centipedes; expands Myriapoda
Centipede,subClassOf,Chilopoda,Adds common centipede category; balances Arthropod coverage
Isopoda,subClassOf,Crustacean,Adds order for isopods; groups MadisonCaveIsopod
Woodlouse,subClassOf,Isopoda,Adds common isopod (pill bug); expands Crustacea
Trichoptera,subClassOf,Insect,Adds order for caddisflies; groups existing Caddisfly
Phthiraptera,subClassOf,Insect,Adds order for parasitic lice; groups existing Louse
Ladybug,subClassOf,Coccinellidae,Adds common beetle; complements CoccinellidaeOfNewZealand
CicadaGenus,subClassOf,Hemiptera,Adds broader cicada category; clarifies Cicada placeholder
Cicada,subClassOf,CicadaGenus,Correction: Moves Cicada to new CicadaGenus for clarity
Latrodectus,subClassOf,WidowSpider,Adds black widow genus; complements BlackWidowSpider
BlackWidowSpider,subClassOf,Latrodectus,Correction: Moves BlackWidowSpider to new Latrodectus category
JumpingSpider,subClassOf,Arachnid,Adds salticid family; expands spider diversity
Lobster,subClassOf,Crustacean,Adds broader lobster category; complements ClawedLobster
Nephrops,subClassOf,Lobster,Adds Norway lobster genus; balances Crustacea
Lacewing,subClassOf,Neuroptera,Adds common neuropteran; expands Insect coverage
StickInsect,subClassOf,Phasmatodea,Adds common phasmid; expands Insect coverage
Copepoda,subClassOf,Crustacean,Adds order for copepods; expands aquatic arthropods
DrosophilaMelanogaster,subClassOf,Drosophila,Correction: Replaces DrosophilaMelanogasterGene with correct fly species
DrosophilaMelanogasterGene,subClassOf,None,Correction: Flags non-arthropod entry under CommonFruitFly for removal
HouseFly,subClassOf,MuscaGenus,Correction: Moves HouseFly from BlackColor to correct taxonomic group
