id,subClassOf,parent,notes
Cnidaria,subClassOf,Animal,Adds phylum for jellyfish and corals; expands invertebrate diversity
Jellyfish,subClassOf,Cnidaria,Adds common cnidarian; complements phylum
Coral,subClassOf,Cnidaria,Adds common cnidarian; balances Cnidaria
Annelida,subClassOf,Animal,Adds phylum for segmented worms; expands invertebrate coverage
Earthworm,subClassOf,Annelida,Adds common annelid; complements phylum
Leech,subClassOf,Annelida,Adds parasitic annelid; balances Annelida
Mollusca,subClassOf,Animal,Adds phylum for mollusks; major invertebrate group
Octopus,subClassOf,Mollusca,Adds common cephalopod; expands Mollusca
Squid,subClassOf,Mollusca,Adds common cephalopod; balances Mollusca
Echinodermata,subClassOf,Deuterostome,Adds phylum for starfish; clarifies Deuterostome
Starfish,subClassOf,Echinodermata,Adds common echinoderm; complements phylum
Platyhelminthes,subClassOf,Animal,Adds phylum for flatworms; expands invertebrate diversity
Tapeworm,subClassOf,Platyhelminthes,Adds parasitic flatworm; complements phylum
Nematoda,subClassOf,Animal,Adds phylum for roundworms; major invertebrate group
Roundworm,subClassOf,Nematoda,Adds common nematode; complements phylum
SeaSponge,subClassOf,Porifera,Adds specific sponge; expands existing Porifera
Ctenophora,subClassOf,Radiata,Adds phylum for comb jellies; clarifies Radiata
Dinosaur,subClassOf,None,Correction: Flags vertebrate entry for removal from invertebrates
Coelomate,subClassOf,None,Correction: Flags trait as non-taxonomic; better as attribute elsewhere
Poikilotherm,subClassOf,None,Correction: Flags trait as non-taxonomic; better as attribute elsewhere
OviparousAnimal,subClassOf,None,Correction: Flags trait as non-taxonomic; better as attribute elsewhere
