check,severity,entity,iri,field,message
definitions,WARNING,10MeterAirPistol,http://kbpedia.org/kko/rc/10MeterAirPistol,definition,short definition (3 words; floor 6)
definitions,WARNING,2011RugbyWorldCup,http://kbpedia.org/kko/rc/2011RugbyWorldCup,definition,short definition (4 words; floor 6)
definitions,WARNING,3DGraphicsSoftware,http://kbpedia.org/kko/rc/3DGraphicsSoftware,definition,short definition (3 words; floor 6)
definitions,WARNING,AIDS,http://kbpedia.org/kko/rc/AIDS,definition,short definition (4 words; floor 6)
definitions,WARNING,A_10Thunderbolt,http://kbpedia.org/kko/rc/A_10Thunderbolt,definition,short definition (5 words; floor 6)
definitions,WARNING,AbadanRefinery,http://kbpedia.org/kko/rc/AbadanRefinery,definition,short definition (5 words; floor 6)
definitions,WARNING,AbnormalBehaviourInAnimals,http://kbpedia.org/kko/rc/AbnormalBehaviourInAnimals,definition,short definition (5 words; floor 6)
definitions,WARNING,AbolitionismByCountry,http://kbpedia.org/kko/rc/AbolitionismByCountry,definition,short definition (3 words; floor 6)
definitions,WARNING,AbolitionistMovement,http://kbpedia.org/kko/rc/AbolitionistMovement,definition,short definition (2 words; floor 6)
definitions,WARNING,AboriginesInTasmania,http://kbpedia.org/kko/rc/AboriginesInTasmania,definition,short definition (4 words; floor 6)
definitions,WARNING,AbqaiqOilField,http://kbpedia.org/kko/rc/AbqaiqOilField,definition,short definition (5 words; floor 6)
definitions,WARNING,AbstractInformationStructure,http://kbpedia.org/kko/rc/AbstractInformationStructure,definition,long definition (274 words; ceiling 180)
definitions,WARNING,AbstractVisualStructure,http://kbpedia.org/kko/rc/AbstractVisualStructure,definition,long definition (249 words; ceiling 180)
definitions,WARNING,AcademicDressByInstitution,http://kbpedia.org/kko/rc/AcademicDressByInstitution,definition,short definition (4 words; floor 6)
definitions,WARNING,AcademicGenealogies,http://kbpedia.org/kko/rc/AcademicGenealogies,definition,short definition (2 words; floor 6)
definitions,WARNING,AcademicStudiesOfShamanism,http://kbpedia.org/kko/rc/AcademicStudiesOfShamanism,definition,short definition (4 words; floor 6)
definitions,WARNING,AcademicStyleGuide,http://kbpedia.org/kko/rc/AcademicStyleGuide,definition,short definition (3 words; floor 6)
definitions,WARNING,AcademicsAndWritersOnBullying,http://kbpedia.org/kko/rc/AcademicsAndWritersOnBullying,definition,short definition (5 words; floor 6)
definitions,WARNING,AcademicsAndWritersOnNarcissism,http://kbpedia.org/kko/rc/AcademicsAndWritersOnNarcissism,definition,short definition (5 words; floor 6)
