signature,n_typologies,n_concepts,n_band_pairs,concepts
AttributeTypes;ContextualAttributes;Indexes,3,9,2,NationalSymbol;NationalSymbolOfAlgeria;NationalSymbolOfHerm;NationalSymbolOfNauru;NationalSymbolOfSark;NationalSymbolOfSomalia;NationalSymbolOfThePalestinianNationalAuthority;NationalSymbolOfTheRepublicOfChina;NationalSymbolOfVietnam
AudioInfo;Systems,2,9,1,AudioMixing;CyberpunkSubgenre;CyberpunkTheme;Cypherpunk;JazzRadio;MusicalComposition_Cyberpunk;OperaGenre;TragediesEnMusique;VideoArt
SpaceTypes;StructuredInfo,2,9,1,BoundedDirectedAcyclicGraph;ComputerDisplayActiveArea;ComputerDisplayMenuItem;ComputerDisplayScreenRegion;DropDownBox;NetworkFlowSystem_Bounded;VehicleRegistrationPlate;WebRing;XPath
EventTypes;TimeTypes;WrittenInfo,3,8,2,Command;EnglishSpelling;GeorgianCalligraphy;GrammarChecker;MetaphorsReferringToWarAndViolence;NonstandardSpelling;Spelling;SpellingCompetition
Associatives;AudioInfo,2,8,1,ConsonanceAndDissonance;MelodicMotion;MelodicSection;MelodyTypes;ModalFrame;Motif;Ornamentation;Tune
Concepts;SecondarySectorProducts,2,8,1,FreeAccountingSoftware;FreeApplicationSoftware;FreeDataRecoverySoftware;FreeSoftwareProgrammedInAda;Freeware;Freeware3DGraphicsSoftware;FreewareGame;WindowsOnlyFreeware
Associatives;Chemistry;NaturalMatter;RepresentationTypes,4,7,4,ChemicalBond;CovalentBond;HydrogenBond;IonicBond;MetallicBond;PhosphodiesterBond;PolarCovalentBond
ConceptualSystems;Eukaryotes;Plants,3,7,2,ArtificialChristmasTree;ChristmasTree;CutFlower;Marijuana;Mistletoe;NaturalChristmasTree;TrimmedChristmasTree
ConceptualSystems;IntrinsicAttributes;Systems,3,7,2,Beauty;Black_EyeColor;Blue_EyeColor;Brown_EyeColor;Gray_EyeColor;Green_EyeColor;Hazel_EyeColor
EconomicSystems;PrimarySectorProducts;SocialSystems,3,7,2,BankDraft;Check_TenderObject;LiftTicket;MoneyOrder;PersonalCheck;PostalOrder;TravellersCheck
