typology_a,typology_b,shared_members,size_a,size_b,jaccard,containment
Manifestations,Symbolic,34844,53166,34844,0.6554,1.0
Artifacts,Manifestations,26017,26017,53166,0.4894,1.0
Artifacts,Symbolic,26017,26017,34844,0.7467,1.0
Artifacts,Products,20165,26017,20165,0.7751,1.0
Manifestations,Products,20165,53166,20165,0.3793,1.0
Products,Symbolic,20165,20165,34844,0.5787,1.0
Artifacts,SecondarySectorProducts,16016,26017,16016,0.6156,1.0
Manifestations,SecondarySectorProducts,16016,53166,16016,0.3012,1.0
Products,SecondarySectorProducts,16016,20165,16016,0.7942,1.0
SecondarySectorProducts,Symbolic,16016,16016,34844,0.4596,1.0
Manifestations,Systems,12666,53166,12666,0.2382,1.0
Symbolic,Systems,12666,34844,12666,0.3635,1.0
LivingThings,Manifestations,11916,11916,53166,0.2241,1.0
Manifestations,OrganicMatter,11814,53166,11814,0.2222,1.0
Predications,RelationTypes,9723,10601,9723,0.9172,1.0
Eukaryotes,LivingThings,9662,9662,11916,0.8108,1.0
Eukaryotes,Manifestations,9662,9662,53166,0.1817,1.0
Constituents,SpaceTypes,9280,13244,9280,0.7007,1.0
Constituents,Manifestations,8897,13244,53166,0.1547,0.6718
Agents,Manifestations,8391,8391,53166,0.1578,1.0
Agents,OrganicMatter,8391,8391,11814,0.7103,1.0
Artifacts,Systems,7964,26017,12666,0.2593,0.6288
CopulativeRelations,Predications,7836,7836,10601,0.7392,1.0
CopulativeRelations,RelationTypes,7836,7836,9723,0.8059,1.0
Manifestations,Predications,7687,53166,10601,0.1371,0.7251
Predications,Symbolic,7325,10601,34844,0.1922,0.691
Animals,Eukaryotes,7050,7050,9662,0.7297,1.0
Animals,LivingThings,7050,7050,11916,0.5916,1.0
Animals,Manifestations,7050,7050,53166,0.1326,1.0
Manifestations,SpaceTypes,7006,53166,9280,0.1264,0.755
ActionTypes,CopulativeRelations,6885,6885,7836,0.8786,1.0
ActionTypes,Predications,6885,6885,10601,0.6495,1.0
ActionTypes,RelationTypes,6885,6885,9723,0.7081,1.0
Manifestations,RelationTypes,6872,53166,9723,0.1227,0.7068
RelationTypes,Symbolic,6558,9723,34844,0.1725,0.6745
Constituents,Places,6309,13244,6309,0.4764,1.0
Places,SpaceTypes,6309,6309,9280,0.6798,1.0
Constituents,Symbolic,6169,13244,34844,0.1472,0.4658
Information,Manifestations,6048,6048,53166,0.1138,1.0
Information,Symbolic,6048,6048,34844,0.1736,1.0
