rc,band_pairs,total_typologies,spanned_typologies
Comedy,10,25,AVInfo;AttributeTypes;ContextualAttributes;Denotatives;EventTypes;RepresentationTypes;SituationTypes;TimeTypes;VisualInfo
Parody,10,25,AVInfo;AttributeTypes;ContextualAttributes;Denotatives;EventTypes;RepresentationTypes;SituationTypes;TimeTypes;VisualInfo
RoastComedy,10,25,AVInfo;AttributeTypes;ContextualAttributes;Denotatives;EventTypes;RepresentationTypes;SituationTypes;TimeTypes;VisualInfo
SituationalComedy,10,25,AVInfo;AttributeTypes;ContextualAttributes;Denotatives;EventTypes;RepresentationTypes;SituationTypes;TimeTypes;VisualInfo
Ejaculation,10,11,Animals;ContextualAttributes;Eukaryotes;LivingThings;MediativeRelations;OrganicMatter;RelationTypes;SituationTypes
Dominatrix,9,17,ActionTypes;Animals;CopulativeRelations;Eukaryotes;IntrinsicAttributes;RelationTypes
Hungry,9,10,Animals;ContextualAttributes;Eukaryotes;LivingThings;MediativeRelations;RelationTypes;SituationTypes
AuthenticationEvent,8,14,ActionTypes;Associatives;CopulativeRelations;EventTypes;InquiryMethods;RelationTypes;RepresentationTypes;TimeTypes
EmailAuthentication,8,14,ActionTypes;Associatives;CopulativeRelations;EventTypes;InquiryMethods;RelationTypes;RepresentationTypes;TimeTypes
Pollination,8,14,ActionTypes;AttributeTypes;ContextualAttributes;CopulativeRelations;Eukaryotes;Plants;RelationTypes
PollinationManagement,8,14,ActionTypes;AttributeTypes;ContextualAttributes;CopulativeRelations;Eukaryotes;Plants;RelationTypes
PollinatorDecline,8,14,ActionTypes;AttributeTypes;ContextualAttributes;CopulativeRelations;Eukaryotes;Plants;RelationTypes
Crucifix_ChristianSymbol,7,19,ConceptualSystems;Denotatives;Indexes;KnowledgeDomains;RepresentationTypes;TopicsCategories
Rice,7,13,CopulativeRelations;Eukaryotes;FoodDrink;Plants;Predications;RelationTypes
RiceVariety,7,13,CopulativeRelations;Eukaryotes;FoodDrink;Plants;Predications;RelationTypes
NorthCelestialPole,7,12,AreaRegion;Concepts;ConceptualSystems;KnowledgeDomains;LocationPlace;Methodeutic;Places
SouthCelestialPole,7,12,AreaRegion;Concepts;ConceptualSystems;KnowledgeDomains;LocationPlace;Methodeutic;Places
Instinct,7,11,ActionTypes;AttributeTypes;Concepts;ConceptualSystems;CopulativeRelations;IntrinsicAttributes;RelationTypes;Systems
Equator_Celestial,6,20,AreaRegion;AttributeTypes;Concepts;ConceptualSystems;ContextualAttributes;Places
BloodDiamond,6,15,AtomsElements;ConceptualSystems;NaturalSubstances;PrimarySectorProducts;Shapes;Systems;TopicsCategories
DiamondSimulant,6,15,AtomsElements;ConceptualSystems;NaturalSubstances;PrimarySectorProducts;Shapes;Systems;TopicsCategories
Diamond_Gem,6,15,AtomsElements;ConceptualSystems;NaturalSubstances;PrimarySectorProducts;Shapes;Systems;TopicsCategories
IndividualDiamond,6,15,AtomsElements;ConceptualSystems;NaturalSubstances;PrimarySectorProducts;Shapes;Systems;TopicsCategories
SyntheticDiamond,6,15,AtomsElements;ConceptualSystems;NaturalSubstances;PrimarySectorProducts;Shapes;Systems;TopicsCategories
AmanitaRegalis,6,13,Drugs;FoodDrink;KnowledgeDomains;Methodeutic;ProtistsFungus;Systems
Backlit,6,13,AVInfo;AttributeTypes;ContextualAttributes;SituationTypes;VisualInfo
FlyAgaricMushroom,6,13,Drugs;FoodDrink;KnowledgeDomains;Methodeutic;ProtistsFungus;Systems
HallucinogenicMushroom,6,13,Drugs;FoodDrink;KnowledgeDomains;Methodeutic;ProtistsFungus;Systems
PsilocybinMushroom,6,13,Drugs;FoodDrink;KnowledgeDomains;Methodeutic;ProtistsFungus;Systems
Silhouetted,6,13,AVInfo;AttributeTypes;ContextualAttributes;SituationTypes;VisualInfo
