typology,evaluated,with_def,missing_def,missing_pct,median_words
Prokaryotes,372,371,1,0.3,19
AVInfo,1425,1424,1,0.1,22.0
BiologicalChemistry,1622,1621,1,0.1,30
Diseases,916,915,1,0.1,27
Drugs,1706,1705,1,0.1,33
ActionTypes,6885,6885,0,0.0,27
AdjunctualAttributes,43,43,0,0.0,29
Agents,8391,8391,0,0.0,18
Animals,7050,7050,0,0.0,33.0
AreaRegion,4076,4076,0,0.0,18.0
Artifacts,26017,26015,2,0.0,31
Associatives,141,141,0,0.0,24
AtomsElements,414,414,0,0.0,40.0
AttributeTypes,1804,1804,0,0.0,26.0
AudioInfo,443,443,0,0.0,17
BiologicalProcesses,307,307,0,0.0,31
Chemistry,1545,1545,0,0.0,24
Concepts,313,313,0,0.0,29
ConceptualSystems,1408,1408,0,0.0,26.0
Constituents,13244,13244,0,0.0,22.0
ContextualAttributes,1504,1504,0,0.0,25.5
CopulativeRelations,7836,7836,0,0.0,27.0
Denotatives,410,410,0,0.0,23.0
DirectRelations,37,37,0,0.0,20
EconomicSystems,1765,1765,0,0.0,29
EmergentKnowledge,202,202,0,0.0,41.0
Eukaryotes,9662,9662,0,0.0,32.0
EventTypes,3210,3210,0,0.0,24.0
Facilities,1919,1919,0,0.0,23
FoodDrink,1932,1932,0,0.0,25.0
Forms,1906,1906,0,0.0,20.0
Geopolitical,1705,1705,0,0.0,11
Indexes,137,137,0,0.0,29
Information,6048,6047,1,0.0,19
InquiryMethods,724,724,0,0.0,40.5
IntrinsicAttributes,256,256,0,0.0,25.0
KnowledgeDomains,4841,4841,0,0.0,31
LearningProcesses,329,329,0,0.0,43
LivingThings,11916,11914,2,0.0,30.0
LocationPlace,1058,1058,0,0.0,21.0
Manifestations,53166,53161,5,0.0,27
MediativeRelations,2378,2378,0,0.0,25.0
Methodeutic,5321,5321,0,0.0,32
NaturalMatter,2979,2979,0,0.0,24
NaturalPhenomena,638,638,0,0.0,28.0
NaturalSubstances,1209,1209,0,0.0,22
OrganicMatter,11814,11813,1,0.0,21
Organizations,4201,4201,0,0.0,21
Persons,3668,3668,0,0.0,16.0
Places,6309,6309,0,0.0,20
Plants,2330,2330,0,0.0,31.0
Predications,10601,10601,0,0.0,27
PrimarySectorProducts,1726,1726,0,0.0,31.0
Products,20165,20164,1,0.0,31.0
ProtistsFungus,281,281,0,0.0,20
RelationTypes,9723,9723,0,0.0,27
RepresentationTypes,638,638,0,0.0,27.0
SecondarySectorProducts,16016,16015,1,0.0,31
Shapes,260,260,0,0.0,31.0
SituationTypes,2311,2311,0,0.0,25
SocialSystems,4232,4232,0,0.0,27.0
Society,2619,2619,0,0.0,27
SpaceTypes,9280,9280,0,0.0,21.0
StructuredInfo,1695,1695,0,0.0,23
Symbolic,34844,34841,3,0.0,30
Systems,12666,12666,0,0.0,29.0
TertiarySectorServices,2560,2560,0,0.0,33.0
TimeTypes,3679,3679,0,0.0,24
Times,564,564,0,0.0,22.0
TopicsCategories,822,822,0,0.0,20.0
VisualInfo,990,990,0,0.0,23.0
WrittenInfo,1919,1919,0,0.0,10
