count,words,definition
34,4,A family of insects.
34,5,A CycVocabularyTopic and a KBDependentCollection.
24,8,One of the principal rivers of the world.
23,4,A genus of plants.
19,6,Bantu language of the Benue-Congo sub-group.
18,6,Amerindian language of the Algonquian group.
13,4,A specialization of Caspase.
13,11,Amerindian language of Central America or the west of North America.
11,4,A collection of dogs.
10,3,Non-Devanagari Indic writing.
9,4,A genus of insects.
9,8,Amerindian language of the southwest of North America.
9,11,"Semitic language, now dead, was originally spoken in the Near East."
9,6,Language spoken in the Indic area.
9,6,Amerindian language of the Salishan group.
9,3,The NationalHockeyLeague team.
8,3,A chemical compound.
8,4,A genus of amphibians.
8,10,One of the Cushitic languages of Ethiopia and adjoining regions.
8,6,African language of the Kwa sub-group.
8,4,Language indigenous to Indo-China.
8,11,The chemical compound which is used to treat peptic acid problems.
8,5,A weight class of FSWrestlingSportsEvent
8,5,A weight class of WeightliftingSportsEvent
7,4,A genus of birds.
7,6,One of the Principal World Rivers.
7,4,"Amerindian language, probably western."
7,10,A chemical compound which is used in injectable antibiotic products.
7,7,The chemical compound which is a steroid.
7,3,The WNBA team.
6,4,A subfamily of insects.
6,4,A specialization of CysteineProtease.
6,4,A kind of DicarboxylicAcid.
6,5,A genus of praying mantis.
6,11,"Amerindian language of, probably, the northern Great Plains of North America."
6,4,A class of YachtingSportsEvent
6,6,African language in the Koman group.
6,10,"Amerindian languages, spoken in Central America and western North America"
5,4,A ReligiousDenomination of Christianity.
5,4,A genus of viruses.
5,15,"One of the Chad languages spoken near Lake Chad, central Africa, and in West Africa."
5,1,#N/A
5,7,One of the islands&IslandGroups that comprise FrenchPolynesia.
5,7,The chemical compound which is an antibiotic.
5,5,Malayan language spoken in Indonesia.
5,6,Amerindian language of the Wakashan group.
5,5,Language indigenous to southeast Asia.
5,7,The chemical compound which is an anti-fungal.
5,5,Class of German light cruisers.
5,4,Language of southeastern Europe.
5,9,One of the bones forming the human rib cage.
5,2,Finno-Ugric language.
5,2,A InternationalAuxiliaryLanguage.
5,9,A language of the AustronesianLanguageFamily spoken in the Philippines.
5,11,African language in the Nilotic sub-sub-group of the Eastern Sudanic sub-group.
5,6,Language spoken in the Iranian area.
4,4,A type of ObjectTypeByIntrinsicState.
4,8,South American Amerindian language of the Jivaroan sub-group.
4,7,The chemical compound which is a bronchodilator.
4,4,A family of crustaceans.
4,4,A superfamily of insects.
4,7,One of the main islands of Greece.
4,7,"Amerindian languages, generally of western North America"
4,6,One of the Principla World Rivers.
4,15,This language was originally spoken in the Iranian area but is now a dead language.
4,7,One of the islands that comprise Guadeloupe.
4,5,Language spoken in the Philippines.
4,8,A language of the Niger_CongoLanguageFamily spoken in Kenya.
4,4,A species of plant.
4,7,A mammalian protein found in Homo sapiens.
4,8,Amerindian language of the eastern Great Lakes area.
4,6,Amerindian language of southeastern North America.
4,6,Amerindian language of the Shoshonean sub-group.
4,4,Class of pre-dreadnought battleships.
4,8,A NerveAgentType that is extremely lethal when inhaled.
4,5,A NERC (NorthAmericanElectricReliabilityCouncil) Regional Council.
4,3,A human disease.
4,15,This language was originally spoken in the Italian peninsula but is now a dead language.
4,6,The weapon used for hand-to-hand fighting.
4,4,A type of HumanActivity.
4,5,Amerindian language of the Southwest.
4,6,A tributary of the Missouri River.
4,6,African language of the Kordofanian group.
4,3,Western Turkic language.
4,10,Strumigenys is a genus of ants in the subfamily Myrmicinae.
4,4,A moon of PlanetUranus.
4,7,The chemical compound which is an anti-emetic.
4,6,Island-group nation of the South Pacific.
3,5,An OilField located in SaudiArabia.
3,20,The chemical compound which is a beta blocker. This drug is intended to be used for therapeutic treatment of hypertension.
