typology,branch,depth,members,exclusive_pct,foreign_reach,other_branches,facet_score,tier_root
Manifestations,Manifestations,0,53166,0.5,1.0,2,0.995,yes
Symbolic,Manifestations,1,34844,0.0,0.955,2,0.955,yes
Constituents,Constituents,0,13244,0.0,0.951,2,0.951,yes
RelationTypes,Predications,1,9723,0.0,0.938,2,0.938,yes
Systems,Manifestations,2,12666,0.0,0.931,2,0.931,
Predications,Predications,0,10601,0.0,0.93,2,0.93,yes
KnowledgeDomains,Manifestations,4,4841,0.0,0.925,2,0.925,
Methodeutic,Manifestations,3,5321,0.0,0.923,2,0.923,
CopulativeRelations,Predications,2,7836,0.0,0.912,2,0.912,
SpaceTypes,Constituents,1,9280,0.0,0.892,2,0.892,yes
Artifacts,Manifestations,2,26017,0.0,0.887,2,0.887,
ActionTypes,Predications,3,6885,0.0,0.882,2,0.882,
SecondarySectorProducts,Manifestations,4,16016,0.0,0.866,2,0.866,
Products,Manifestations,3,20165,0.0,0.862,2,0.862,
ConceptualSystems,Manifestations,3,1408,0.0,0.846,2,0.846,
Forms,Constituents,2,1906,0.0,0.841,2,0.841,
AttributeTypes,Predications,1,1804,0.0,0.791,2,0.791,yes
MediativeRelations,Predications,2,2378,0.0,0.779,2,0.779,
TopicsCategories,Manifestations,4,822,0.0,0.776,2,0.776,
SituationTypes,Predications,3,2311,0.0,0.765,2,0.765,
OrganicMatter,Manifestations,1,11814,0.0,0.719,2,0.719,yes
SocialSystems,Manifestations,3,4232,0.0,0.682,2,0.682,
ContextualAttributes,Predications,2,1504,0.0,0.667,2,0.667,
EventTypes,Constituents,2,3210,0.0,0.667,2,0.667,
TimeTypes,Constituents,1,3679,0.0,0.662,2,0.662,yes
Society,Manifestations,4,2619,0.0,0.627,2,0.627,
Information,Manifestations,2,6048,0.0,0.625,2,0.625,
Concepts,Manifestations,4,313,0.0,0.597,2,0.597,
NaturalPhenomena,Constituents,1,638,0.0,0.586,2,0.586,yes
RepresentationTypes,Predications,1,638,0.0,0.582,2,0.582,yes
EconomicSystems,Manifestations,4,1765,0.0,0.567,2,0.567,
NaturalMatter,Manifestations,1,2979,0.0,0.567,2,0.567,yes
TertiarySectorServices,Manifestations,4,2560,0.0,0.567,2,0.567,
LivingThings,Manifestations,1,11916,0.0,0.562,2,0.562,yes
PrimarySectorProducts,Manifestations,4,1726,0.0,0.552,2,0.552,
StructuredInfo,Manifestations,3,1695,0.0,0.544,2,0.544,
BiologicalChemistry,Manifestations,2,1622,0.0,0.529,2,0.529,
Denotatives,Predications,2,410,0.0,0.522,2,0.522,
Shapes,Constituents,2,260,0.0,0.522,2,0.522,
VisualInfo,Manifestations,4,990,0.0,0.522,2,0.522,
AVInfo,Manifestations,3,1425,0.0,0.515,2,0.515,
Chemistry,Manifestations,2,1545,0.0,0.493,2,0.493,
Indexes,Predications,2,137,0.0,0.493,2,0.493,
Places,Constituents,2,6309,0.0,0.493,2,0.493,
AreaRegion,Constituents,3,4076,0.0,0.471,2,0.471,
Eukaryotes,Manifestations,2,9662,0.0,0.47,2,0.47,
InquiryMethods,Manifestations,4,724,0.0,0.448,2,0.448,
Facilities,Manifestations,3,1919,0.0,0.441,2,0.441,
LearningProcesses,Manifestations,4,329,0.0,0.433,2,0.433,
Organizations,Manifestations,3,4201,0.0,0.426,2,0.426,
Agents,Manifestations,2,8391,0.0,0.424,2,0.424,
IntrinsicAttributes,Predications,2,256,0.0,0.42,2,0.42,
FoodDrink,Manifestations,3,1932,0.0,0.412,2,0.412,
WrittenInfo,Manifestations,3,1919,0.0,0.412,2,0.412,
EmergentKnowledge,Manifestations,4,202,0.0,0.403,2,0.403,
LocationPlace,Constituents,3,1058,0.0,0.397,2,0.397,
Associatives,Predications,2,141,0.0,0.391,2,0.391,
Animals,Manifestations,3,7050,0.0,0.382,2,0.382,
NaturalSubstances,Manifestations,2,1209,0.0,0.377,2,0.377,
AtomsElements,Manifestations,2,414,0.0,0.362,2,0.362,
Diseases,Manifestations,2,916,0.0,0.362,2,0.362,
Persons,Manifestations,3,3668,0.0,0.353,2,0.353,
Plants,Manifestations,3,2330,0.0,0.338,2,0.338,
BiologicalProcesses,Manifestations,3,307,0.0,0.324,2,0.324,
Drugs,Manifestations,3,1706,0.0,0.294,1,0.294,
AudioInfo,Manifestations,4,443,0.0,0.254,2,0.254,
ProtistsFungus,Manifestations,3,281,0.0,0.162,0,0.162,
Times,Constituents,2,564,0.0,0.145,2,0.145,
AdjunctualAttributes,Predications,2,43,0.0,0.13,1,0.13,
DirectRelations,Predications,2,37,0.0,0.101,1,0.101,
Geopolitical,Manifestations,3,1705,0.0,0.088,1,0.088,
Prokaryotes,Manifestations,2,372,0.0,0.058,1,0.058,
