typology_a,typology_b,shared_members,size_a,size_b,shared_rcs
ActionTypes,Animals,1,6885,7050,Dominatrix
Animals,CopulativeRelations,1,7050,7836,Dominatrix
AtomsElements,BiologicalProcesses,1,414,307,CalciumIon
AtomsElements,CopulativeRelations,1,414,7836,CalciumIon
AtomsElements,RelationTypes,1,414,9723,CalciumIon
BiologicalProcesses,TopicsCategories,1,307,822,ElectronTransportChain
Concepts,IntrinsicAttributes,1,313,256,Instinct
Concepts,Organizations,1,313,4201,DummyCompany
ConceptualSystems,Indexes,1,1408,137,Crucifix_ChristianSymbol
DirectRelations,Information,1,37,6048,EqualsSign_TheSymbol
DirectRelations,StructuredInfo,1,37,1695,EqualsSign_TheSymbol
EconomicSystems,EmergentKnowledge,1,1765,202,BusinessModel
Indexes,TopicsCategories,1,137,822,Crucifix_ChristianSymbol
ActionTypes,FoodDrink,2,6885,1932,FermentedFood;Naem
ActionTypes,IntrinsicAttributes,2,6885,256,Dominatrix;Instinct
Agents,ContextualAttributes,2,8391,1504,Cruelty;Machismo_Pride
Animals,MediativeRelations,2,7050,2378,Ejaculation;Hungry
Animals,SituationTypes,2,7050,2311,Ejaculation;Hungry
AreaRegion,CopulativeRelations,2,4076,7836,Rubble;Snowfield
Associatives,EmergentKnowledge,2,141,202,Thesaurus;ThesaurusProgram
Associatives,EventTypes,2,141,3210,AuthenticationEvent;EmailAuthentication
Associatives,TimeTypes,2,141,3679,AuthenticationEvent;EmailAuthentication
Concepts,ContextualAttributes,2,313,1504,Equator_Celestial;Fratire
ConceptualSystems,EconomicSystems,2,1408,1765,PreparingFinancialRecords;Write_off
ContextualAttributes,Persons,2,1504,3668,Cruelty;Machismo_Pride
CopulativeRelations,IntrinsicAttributes,2,7836,256,Dominatrix;Instinct
EconomicSystems,LearningProcesses,2,1765,329,PreparingFinancialRecords;Write_off
EmergentKnowledge,RepresentationTypes,2,202,638,Thesaurus;ThesaurusProgram
Eukaryotes,MediativeRelations,2,9662,2378,Ejaculation;Hungry
Eukaryotes,SituationTypes,2,9662,2311,Ejaculation;Hungry
