typology,member_count,top_level,leaf_count,internal_count,max_depth,mean_depth,mean_branching,multiparent,orphan_count
Manifestations,53166,1,38604,14562,17,7.72,4.73,11333,0
Symbolic,34844,1,25571,9273,18,7.35,4.89,7758,0
Artifacts,26017,1,18947,7070,15,6.69,4.8,5727,0
Products,20165,1,14667,5498,14,5.64,4.7,4164,0
SecondarySectorProducts,16016,1,11725,4291,13,5.04,4.63,2982,0
Constituents,13244,1,9901,3343,15,7.8,4.8,2266,0
Systems,12666,1,9623,3043,15,7.19,4.83,1761,0
LivingThings,11916,1,8226,3690,16,7.93,3.71,1392,0
OrganicMatter,11814,1,8881,2933,13,6.39,4.93,2155,0
Predications,10601,1,7435,3166,21,9.06,4.13,2001,0
RelationTypes,9723,1,6801,2922,20,8.64,4.13,1905,0
Eukaryotes,9662,1,6695,2967,15,7.73,3.6,800,0
SpaceTypes,9280,1,7067,2213,12,6.99,5.1,1578,0
Agents,8391,1,6426,1965,10,5.79,5.2,1469,0
CopulativeRelations,7836,1,5469,2367,19,7.49,4.14,1564,0
Animals,7050,1,4871,2179,14,6.9,3.53,536,0
ActionTypes,6885,1,4814,2071,18,7.08,4.13,1325,0
Places,6309,1,4974,1335,12,6.11,5.51,866,0
Information,6048,1,4497,1551,11,5.89,4.71,1022,0
Methodeutic,5321,1,4080,1241,17,6.64,4.87,636,0
KnowledgeDomains,4841,1,3732,1109,16,5.97,4.88,509,0
SocialSystems,4232,1,3208,1024,14,6.04,4.67,488,0
Organizations,4201,1,3253,948,10,5.63,5.21,549,0
AreaRegion,4076,1,3294,782,12,5.9,5.71,338,0
TimeTypes,3679,1,2634,1045,14,7.01,4.21,618,0
Persons,3668,1,2796,872,9,5.17,5.1,662,0
EventTypes,3210,1,2278,932,13,6.24,4.11,523,0
NaturalMatter,2979,1,2307,672,11,5.17,5.51,497,0
Society,2619,1,2032,587,12,5.32,4.88,232,0
TertiarySectorServices,2560,1,1839,721,9,4.28,3.78,159,0
MediativeRelations,2378,1,1694,684,17,8.61,4.0,326,0
Plants,2330,1,1662,668,11,6.36,4.04,250,0
SituationTypes,2311,1,1646,665,16,7.87,4.01,322,0
FoodDrink,1932,1,1506,426,8,4.47,5.76,435,0
Facilities,1919,1,1378,541,8,4.59,4.61,447,0
WrittenInfo,1919,1,1581,338,10,5.91,6.18,171,0
Forms,1906,1,1368,538,11,6.19,4.6,453,0
AttributeTypes,1804,1,1310,494,16,8.16,4.25,265,0
EconomicSystems,1765,1,1283,482,14,5.25,4.22,234,0
PrimarySectorProducts,1726,1,1338,388,11,4.67,5.05,204,0
Drugs,1706,1,1471,235,7,3.91,7.92,122,0
Geopolitical,1705,1,1427,278,8,4.97,6.5,99,0
StructuredInfo,1695,1,1218,477,11,5.67,4.05,203,0
BiologicalChemistry,1622,1,1183,439,8,3.93,4.45,272,0
Chemistry,1545,1,1201,344,10,5.0,5.93,305,0
ContextualAttributes,1504,1,1084,420,15,7.57,4.27,258,0
AVInfo,1425,1,1029,396,10,5.15,4.55,296,0
ConceptualSystems,1408,1,1029,379,11,5.68,3.94,85,0
NaturalSubstances,1209,1,934,275,7,3.32,4.74,92,0
LocationPlace,1058,1,852,206,8,4.44,5.53,78,0
VisualInfo,990,1,716,274,9,4.58,4.25,144,0
Diseases,916,1,657,259,8,4.22,4.31,157,0
TopicsCategories,822,1,594,228,10,4.78,3.85,54,0
InquiryMethods,724,1,568,156,9,4.37,5.03,57,0
NaturalPhenomena,638,1,446,192,8,4.4,3.71,68,0
RepresentationTypes,638,1,451,187,9,5.13,3.86,71,0
Times,564,1,429,135,8,5.13,5.08,120,0
AudioInfo,443,1,325,118,6,3.53,5.33,142,0
AtomsElements,414,1,263,151,5,3.45,3.16,64,0
Denotatives,410,1,299,111,8,4.6,4.05,37,0
Prokaryotes,372,1,159,213,8,5.2,2.12,60,0
LearningProcesses,329,1,262,67,9,5.11,5.09,12,0
Concepts,313,1,218,95,10,4.16,3.34,5,0
BiologicalProcesses,307,1,201,106,7,3.8,3.4,42,0
ProtistsFungus,281,1,162,119,10,5.54,2.48,14,0
Shapes,260,1,143,117,10,4.6,3.12,72,0
IntrinsicAttributes,256,1,198,58,9,5.43,4.52,7,0
EmergentKnowledge,202,1,156,46,10,3.48,4.76,18,0
Associatives,141,1,97,44,6,3.48,3.61,18,0
Indexes,137,1,91,46,7,3.45,3.39,13,0
AdjunctualAttributes,43,1,28,15,6,3.33,2.8,0,0
DirectRelations,37,1,30,7,5,2.84,5.14,0,0
