typology,members,exclusive,shared,exclusive_pct
AVInfo,1425,0,1425,0.0
ActionTypes,6885,0,6885,0.0
AdjunctualAttributes,43,0,43,0.0
Agents,8391,0,8391,0.0
Animals,7050,0,7050,0.0
AreaRegion,4076,0,4076,0.0
Artifacts,26017,0,26017,0.0
Associatives,141,0,141,0.0
AtomsElements,414,0,414,0.0
AttributeTypes,1804,0,1804,0.0
AudioInfo,443,0,443,0.0
BiologicalChemistry,1622,0,1622,0.0
BiologicalProcesses,307,0,307,0.0
Chemistry,1545,0,1545,0.0
Concepts,313,0,313,0.0
ConceptualSystems,1408,0,1408,0.0
Constituents,13244,2,13242,0.0
ContextualAttributes,1504,0,1504,0.0
CopulativeRelations,7836,0,7836,0.0
Denotatives,410,0,410,0.0
DirectRelations,37,0,37,0.0
Diseases,916,0,916,0.0
Drugs,1706,0,1706,0.0
EconomicSystems,1765,0,1765,0.0
EmergentKnowledge,202,0,202,0.0
Eukaryotes,9662,0,9662,0.0
EventTypes,3210,0,3210,0.0
Facilities,1919,0,1919,0.0
FoodDrink,1932,0,1932,0.0
Forms,1906,0,1906,0.0
Geopolitical,1705,0,1705,0.0
Indexes,137,0,137,0.0
Information,6048,0,6048,0.0
InquiryMethods,724,0,724,0.0
IntrinsicAttributes,256,0,256,0.0
KnowledgeDomains,4841,0,4841,0.0
LearningProcesses,329,0,329,0.0
LivingThings,11916,0,11916,0.0
LocationPlace,1058,0,1058,0.0
MediativeRelations,2378,0,2378,0.0
Methodeutic,5321,0,5321,0.0
NaturalMatter,2979,0,2979,0.0
NaturalPhenomena,638,0,638,0.0
NaturalSubstances,1209,0,1209,0.0
OrganicMatter,11814,0,11814,0.0
Organizations,4201,0,4201,0.0
Persons,3668,0,3668,0.0
Places,6309,0,6309,0.0
Plants,2330,0,2330,0.0
Predications,10601,1,10600,0.0
PrimarySectorProducts,1726,0,1726,0.0
Products,20165,0,20165,0.0
Prokaryotes,372,0,372,0.0
ProtistsFungus,281,0,281,0.0
RelationTypes,9723,0,9723,0.0
RepresentationTypes,638,0,638,0.0
SecondarySectorProducts,16016,0,16016,0.0
Shapes,260,0,260,0.0
SituationTypes,2311,0,2311,0.0
SocialSystems,4232,0,4232,0.0
Society,2619,0,2619,0.0
SpaceTypes,9280,0,9280,0.0
StructuredInfo,1695,0,1695,0.0
Symbolic,34844,0,34844,0.0
Systems,12666,0,12666,0.0
TertiarySectorServices,2560,0,2560,0.0
TimeTypes,3679,0,3679,0.0
Times,564,0,564,0.0
TopicsCategories,822,0,822,0.0
VisualInfo,990,0,990,0.0
WrittenInfo,1919,0,1919,0.0
Manifestations,53166,255,52911,0.5
