s,p,o
rc:Abandoned_ConstructionArtifact,owl:equivalentClass,http://www.geonames.org/ontology#P.PPLQ
rc:AbyssalPlain,owl:equivalentClass,http://www.geonames.org/ontology#U.PLNU
rc:AccessCorridor,owl:equivalentClass,http://www.geonames.org/ontology#T.CRDR
rc:AdministrativeDistrict,owl:equivalentClass,http://www.geonames.org/ontology#A.ADMD
rc:AirForceBase_Grounds,owl:equivalentClass,http://www.geonames.org/ontology#S.AIRB
rc:Airfield,kko:superClassOf,http://www.geonames.org/ontology#S.AIRF
rc:Airfield,kko:superClassOf,http://www.geonames.org/ontology#S.AIRQ
rc:Airport_Physical,owl:equivalentClass,http://www.geonames.org/ontology#S.AIRP
rc:AlluvialFan,kko:superClassOf,http://www.geonames.org/ontology#T.FAN
rc:AlluvialFan,kko:superClassOf,http://www.geonames.org/ontology#U.FANU
rc:Amphitheater,owl:equivalentClass,http://www.geonames.org/ontology#S.AMTH
rc:AmusementPark,owl:equivalentClass,http://www.geonames.org/ontology#L.AMUS
rc:Anabranch,owl:equivalentClass,http://www.geonames.org/ontology#H.STMA
rc:Anchorage,owl:equivalentClass,http://www.geonames.org/ontology#H.ANCH
rc:AncientRoadway,owl:equivalentClass,http://www.geonames.org/ontology#R.RDA
rc:AncientSite,owl:equivalentClass,http://www.geonames.org/ontology#S.ANS
rc:AnimalSanctuary,owl:equivalentClass,http://www.geonames.org/ontology#L.RESW
rc:Apron_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#U.APNU
rc:AquacultureFacility,owl:equivalentClass,http://www.geonames.org/ontology#S.AQC
rc:Aqueduct,owl:equivalentClass,http://www.geonames.org/ontology#H.CNLA
rc:ArableLand,owl:equivalentClass,http://www.geonames.org/ontology#V.CULT
rc:Arch_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#U.ARCU
rc:Arrugado_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.ARRU
rc:ArtificialIsland,owl:equivalentClass,http://www.geonames.org/ontology#T.ISLF
rc:AslyumBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.ASYL
rc:AsphaltLake,owl:equivalentClass,http://www.geonames.org/ontology#T.ASPH
rc:AstronomicalObservatory,owl:equivalentClass,http://www.geonames.org/ontology#S.OBS
rc:AstronomicalObservatoryBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.OBSR
rc:AstronomicalStation,owl:equivalentClass,http://www.geonames.org/ontology#S.ASTR
rc:AthleticField,owl:equivalentClass,http://www.geonames.org/ontology#S.ATHF
rc:Atoll,owl:equivalentClass,http://www.geonames.org/ontology#T.ATOL
rc:AutomaticTellerMachine,owl:equivalentClass,http://www.geonames.org/ontology#S.ATM
rc:Badlands_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.BDLD
rc:BalingStation,owl:equivalentClass,http://www.geonames.org/ontology#S.BSTN
rc:BankBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.BANK
rc:Bank_Topographical,kko:superClassOf,http://www.geonames.org/ontology#H.BNK
rc:Bank_Topographical,kko:superClassOf,http://www.geonames.org/ontology#H.BNKX
rc:Bank_Underwater,kko:superClassOf,http://www.geonames.org/ontology#U.BKSU
rc:Bank_Underwater,kko:superClassOf,http://www.geonames.org/ontology#U.BNKU
rc:Bar_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.BAR
rc:Basin_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#U.BSNU
rc:Battlefield,owl:equivalentClass,http://www.geonames.org/ontology#L.BTL
rc:Bay,kko:superClassOf,http://www.geonames.org/ontology#H.BAY
rc:Bay,kko:superClassOf,http://www.geonames.org/ontology#H.BAYS
rc:Beach,kko:superClassOf,http://www.geonames.org/ontology#T.BCH
rc:Beach,kko:superClassOf,http://www.geonames.org/ontology#T.BCHS
