s,p,o
rc:Abdomen,owl:equivalentClass,http://schema.org/Abdomen
rc:AboutPage,owl:equivalentClass,http://schema.org/AboutPage
rc:AcceptingAnInvitation,owl:equivalentClass,http://schema.org/RsvpAction
rc:Accepting_CommunicationAct,kko:superClassOf,http://schema.org/AcceptAction
rc:Accommodating_HelpingAnAgent,owl:equivalentClass,http://schema.org/Accommodation
rc:AccountTypeByStatus,kko:superClassOf,http://schema.org/OrderStatus
rc:AccountTypeByStatus,kko:superClassOf,http://schema.org/PaymentStatusType
rc:AccountingFirm,rdfs:subClassOf,http://schema.org/AccountingService
rc:Action,kko:superClassOf,http://schema.org/ActionAccessSpecification
rc:Action,kko:superClassOf,http://schema.org/ReactAction
rc:Action,owl:equivalentClass,http://schema.org/Action
rc:ActionTypeByWorkflowStatus,kko:superClassOf,http://schema.org/EventStatusType
rc:AdministrativeDivision,owl:equivalentClass,http://schema.org/AdministrativeArea
rc:AdultEntertainment,owl:equivalentClass,http://schema.org/AdultEntertainment
rc:AggregateOffer,owl:equivalentClass,http://schema.org/AggregateOffer
rc:AggregateRating,kko:superClassOf,http://schema.org/EmployerAggregateRating
rc:AggregateRating,owl:equivalentClass,http://schema.org/AggregateRating
rc:AilmentCondition,kko:superClassOf,http://schema.org/ApprovedIndication
rc:AilmentCondition,kko:superClassOf,http://schema.org/MedicalContraindication
rc:AilmentCondition,kko:superClassOf,http://schema.org/MedicalIndication
rc:AilmentCondition,kko:superClassOf,http://schema.org/MedicalSymptom
rc:AilmentCondition,kko:superClassOf,http://schema.org/PreventionIndication
rc:AilmentCondition,kko:superClassOf,http://schema.org/TreatmentIndication
rc:AilmentCondition,rdfs:subClassOf,http://schema.org/MedicalCondition
rc:AirlineCompany,owl:equivalentClass,http://schema.org/Airline
rc:AirlineReservation,owl:equivalentClass,http://schema.org/FlightReservation
rc:AirplaneTrip,owl:equivalentClass,http://schema.org/Flight
rc:Airport_Physical,owl:equivalentClass,http://schema.org/Airport
rc:Album,kko:superClassOf,http://schema.org/MusicAlbumProductionType
rc:Album,kko:superClassOf,http://schema.org/MusicAlbumReleaseType
rc:Album,owl:equivalentClass,http://schema.org/MusicAlbum
rc:AligningSomething,kko:superClassOf,http://schema.org/AlignmentObject
rc:Allocation,owl:equivalentClass,http://schema.org/AllocateAction
rc:AlternativeMedicine,kko:superClassOf,http://schema.org/Homeopathic
rc:AmusementPark,owl:equivalentClass,http://schema.org/AmusementPark
rc:AnatomicalVessel,owl:equivalentClass,http://schema.org/Vessel
rc:Anesthesia,owl:equivalentClass,http://schema.org/Anesthesia
rc:AnimalBodyPart,kko:superClassOf,http://schema.org/AnatomicalStructure
rc:AnimalBodyPart,kko:superClassOf,http://schema.org/AnatomicalSystem
rc:AnimalBodyPart,kko:superClassOf,http://schema.org/SuperficialAnatomy
rc:ApartmentComplex,owl:equivalentClass,http://schema.org/ApartmentComplex
rc:ApartmentUnit,owl:equivalentClass,http://schema.org/Apartment
rc:Applet_ComputerProgram,kko:superClassOf,http://schema.org/MobileApplication
rc:ApplicationProgram,owl:equivalentClass,http://schema.org/SoftwareApplication
rc:ApplicationProgrammingInterface,kko:superClassOf,http://schema.org/APIReference
rc:ApplyingResourceEvent,rdfs:subClassOf,http://schema.org/ApplyAction
rc:Approval_CommunicationAct,kko:superClassOf,http://schema.org/AgreeAction
rc:ApprovingARequest,rdfs:subClassOf,http://schema.org/AuthorizeAction
rc:Aquarium,owl:equivalentClass,http://schema.org/Aquarium
rc:ArrivingAtAPlace,owl:equivalentClass,http://schema.org/ArriveAction
rc:ArtExhibit,kko:superClassOf,http://schema.org/VisualArtsEvent
rc:ArtGallery,owl:equivalentClass,http://schema.org/ArtGallery
rc:Artery,owl:equivalentClass,http://schema.org/Artery
rc:Article_PCW,kko:superClassOf,http://schema.org/AdvertiserContentArticle
rc:Article_PCW,kko:superClassOf,http://schema.org/SatiricalArticle
rc:Article_PCW,owl:equivalentClass,http://schema.org/Article
rc:Artifact_Intangible,rdfs:subClassOf,http://schema.org/Intangible
