s,p,o
rc:Article_PCW,owl:equivalentClass,http://purl.org/ontology/bibo/Article
rc:Bill_ProposedLaw,owl:equivalentClass,http://purl.org/ontology/bibo/Bill
rc:Chapter_PCW,owl:equivalentClass,http://purl.org/ontology/bibo/Chapter
rc:Conference,owl:equivalentClass,http://purl.org/ontology/bibo/Conference
rc:Hearing_LegalProceeding,owl:equivalentClass,http://purl.org/ontology/bibo/Hearing
rc:InstructionalWork,owl:equivalentClass,http://purl.org/ontology/bibo/Manual
rc:JournalSeries,owl:equivalentClass,http://purl.org/ontology/bibo/Journal
rc:Letter,owl:equivalentClass,http://purl.org/ontology/bibo/Letter
rc:MagazineSeries,owl:equivalentClass,http://purl.org/ontology/bibo/Magazine
rc:Manuscript,owl:equivalentClass,http://purl.org/ontology/bibo/Manuscript
rc:Map,owl:equivalentClass,http://purl.org/ontology/bibo/Map
rc:Movie,owl:equivalentClass,http://purl.org/ontology/bibo/Film
rc:NewspaperSeries,owl:equivalentClass,http://purl.org/ontology/bibo/Newspaper
rc:Patent,owl:equivalentClass,http://purl.org/ontology/bibo/Patent
rc:Periodical,owl:equivalentClass,http://purl.org/ontology/bibo/Periodical
rc:ScholarlyArticle,owl:equivalentClass,http://purl.org/ontology/bibo/AcademicArticle
rc:Slide,owl:equivalentClass,http://purl.org/ontology/bibo/Slide
rc:Slideshow,owl:equivalentClass,http://purl.org/ontology/bibo/Slideshow
rc:VideoConceptualWork,rdfs:subClassOf,http://purl.org/ontology/bibo/AudioVisualDocument
rc:WrittenReportOnSituation,owl:equivalentClass,http://purl.org/ontology/bibo/Report
