s,p,o
http://kbpedia.org/kko/rc/BibliographicReference,owl:equivalentClass,http://purl.org/dc/terms/BibliographicResource
http://kbpedia.org/kko/rc/CollectionType,rdfs:subClassOf,http://purl.org/dc/elements/1.1/type
http://kbpedia.org/kko/rc/ComputerFileTypeByFormat,rdfs:subClassOf,http://purl.org/dc/terms/FileFormat
http://kbpedia.org/kko/rc/Contributor,owl:equivalentClass,http://purl.org/dc/elements/1.1/contributor
http://kbpedia.org/kko/rc/Creator_Person,rdfs:subClassOf,http://purl.org/dc/elements/1.1/creator
http://kbpedia.org/kko/rc/Date,owl:equivalentClass,http://purl.org/dc/elements/1.1/date
http://kbpedia.org/kko/rc/Description_PCW,owl:equivalentClass,http://purl.org/dc/elements/1.1/description
http://kbpedia.org/kko/rc/Encoding,rdfs:subClassOf,http://purl.org/dc/dcam/VocabularyEncodingScheme
http://kbpedia.org/kko/rc/Entitlement,rdfs:subClassOf,http://purl.org/dc/elements/1.1/rights
http://kbpedia.org/kko/rc/Event,owl:equivalentClass,http://purl.org/dc/dcmitype/Event
http://kbpedia.org/kko/rc/FieldOfStudy,rdfs:subClassOf,http://purl.org/dc/elements/1.1/coverage
http://kbpedia.org/kko/rc/Frequency,owl:equivalentClass,http://purl.org/dc/terms/Frequency
http://kbpedia.org/kko/rc/GainingUserRights,rdfs:subClassOf,http://purl.org/dc/terms/MethodOfAccrual
http://kbpedia.org/kko/rc/GovernmentCOC,rdfs:subClassOf,http://purl.org/dc/terms/Jurisdiction
http://kbpedia.org/kko/rc/Group_IntelligentAgent,owl:equivalentClass,http://purl.org/dc/terms/AgentClass
http://kbpedia.org/kko/rc/HumanLanguage,owl:equivalentClass,http://purl.org/dc/elements/1.1/language
http://kbpedia.org/kko/rc/Image,owl:equivalentClass,http://purl.org/dc/dcmitype/Image
http://kbpedia.org/kko/rc/InformationBearingThing,rdfs:subClassOf,http://purl.org/dc/terms/MediaType
http://kbpedia.org/kko/rc/Instructions,rdfs:subClassOf,http://purl.org/dc/terms/MethodOfInstruction
http://kbpedia.org/kko/rc/IntelligentAgent,owl:equivalentClass,http://purl.org/dc/terms/Agent
http://kbpedia.org/kko/rc/Language,owl:equivalentClass,http://purl.org/dc/terms/LinguisticSystem
http://kbpedia.org/kko/rc/License_IBTRights,rdfs:subClassOf,http://purl.org/dc/terms/LicenseDocument
http://kbpedia.org/kko/rc/License_IBTRights,rdfs:subClassOf,http://purl.org/dc/terms/RightsStatement
http://kbpedia.org/kko/rc/MovingImage,owl:equivalentClass,http://purl.org/dc/dcmitype/MovingImage
http://kbpedia.org/kko/rc/OriginatingInSomething,rdfs:subClassOf,http://purl.org/dc/terms/ProvenanceStatement
http://kbpedia.org/kko/rc/Policy,owl:equivalentClass,http://purl.org/dc/terms/Policy
http://kbpedia.org/kko/rc/ProperNameString,rdfs:subClassOf,http://purl.org/dc/elements/1.1/title
http://kbpedia.org/kko/rc/PropositionalConceptualWork,rdfs:subClassOf,http://purl.org/dc/elements/1.1/source
http://kbpedia.org/kko/rc/Publisher,owl:equivalentClass,http://purl.org/dc/elements/1.1/publisher
http://kbpedia.org/kko/rc/Relation,owl:equivalentClass,http://purl.org/dc/elements/1.1/relation
http://kbpedia.org/kko/rc/ScalarOrVectorInterval,rdfs:subClassOf,http://purl.org/dc/terms/SizeOrDuration
http://kbpedia.org/kko/rc/ServiceEvent,rdfs:subClassOf,http://purl.org/dc/dcmitype/Service
http://kbpedia.org/kko/rc/SetOrCollection,rdfs:subClassOf,http://purl.org/dc/dcmitype/Collection
http://kbpedia.org/kko/rc/SoftwareObject_Individual,rdfs:subClassOf,http://purl.org/dc/dcmitype/Software
http://kbpedia.org/kko/rc/Sound,owl:equivalentClass,http://purl.org/dc/dcmitype/Sound
http://kbpedia.org/kko/rc/Specification,rdfs:subClassOf,http://purl.org/dc/terms/Standard
http://kbpedia.org/kko/rc/StillImage,owl:equivalentClass,http://purl.org/dc/dcmitype/StillImage
http://kbpedia.org/kko/rc/StructuredKnowledgeSource,rdfs:subClassOf,http://purl.org/dc/dcmitype/Dataset
http://kbpedia.org/kko/rc/TextualMaterial,owl:equivalentClass,http://purl.org/dc/dcmitype/Text
http://kbpedia.org/kko/rc/ThreeDimensionalThing,owl:equivalentClass,http://purl.org/dc/dcmitype/PhysicalObject
http://kbpedia.org/kko/rc/TimeInterval,owl:equivalentClass,http://purl.org/dc/terms/PeriodOfTime
http://kbpedia.org/kko/rc/Topic,owl:equivalentClass,http://purl.org/dc/elements/1.1/subject
http://kbpedia.org/kko/rc/UniqueID,owl:equivalentClass,http://purl.org/dc/elements/1.1/identifier
