s,p,o
rc:Agent_Generic,owl:equivalentClass,http://xmlns.com/foaf/0.1/Agent
rc:Concept,owl:equivalentClass,http://www.w3.org/2004/02/skos/core#Concept
rc:InformationStore,rdfs:subClassOf,http://usefulinc.com/ns/doap#Repository
rc:InternetService,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineAccount
rc:Label_IBO,owl:equivalentClass,http://xmlns.com/foaf/0.1/LabelProperty
rc:MultiIndividualAgent_Intelligent,owl:equivalentClass,http://xmlns.com/foaf/0.1/Group
rc:Organization,owl:equivalentClass,http://xmlns.com/foaf/0.1/Organization
rc:Project,rdfs:subClassOf,http://xmlns.com/foaf/0.1/Project
rc:SpatialThing,rdfs:subClassOf,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing
rc:Specification,rdfs:subClassOf,http://usefulinc.com/ns/doap#Specification
