s,p,o
http://kbpedia.org/kko/rc/Agent_Generic,owl:equivalentClass,http://xmlns.com/foaf/0.1/Agent
http://kbpedia.org/kko/rc/ComputerImageFile,owl:equivalentClass,http://xmlns.com/foaf/0.1/Image
http://kbpedia.org/kko/rc/Document,owl:equivalentClass,http://xmlns.com/foaf/0.1/Document
http://kbpedia.org/kko/rc/IDDocument,rdfs:subClassOf,http://xmlns.com/foaf/0.1/PersonalProfileDocument
http://kbpedia.org/kko/rc/InternetActivity,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineEcommerceAccount
http://kbpedia.org/kko/rc/InternetService,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineAccount
http://kbpedia.org/kko/rc/Label_IBO,owl:equivalentClass,http://xmlns.com/foaf/0.1/LabelProperty
http://kbpedia.org/kko/rc/MultiIndividualAgent_Intelligent,owl:equivalentClass,http://xmlns.com/foaf/0.1/Group
http://kbpedia.org/kko/rc/OnlineChat,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineChatAccount
http://kbpedia.org/kko/rc/Organization,owl:equivalentClass,http://xmlns.com/foaf/0.1/Organization
http://kbpedia.org/kko/rc/Person,owl:equivalentClass,http://xmlns.com/foaf/0.1/Person
http://kbpedia.org/kko/rc/Project,rdfs:subClassOf,http://xmlns.com/foaf/0.1/Project
http://kbpedia.org/kko/rc/WrittenRecord,rdfs:subClassOf,http://xmlns.com/foaf/0.1/PersonalProfileDocument
