s,p,o
rc:Amendment_PCW,kko:superClassOf,http://purl.org/vocab/frbr/core#revision
rc:ArrangementOfLikeObjects,kko:superClassOf,http://purl.org/vocab/frbr/core#arrangement
rc:CommercialOrganization,kko:superClassOf,http://purl.org/vocab/frbr/core#CorporateBody
rc:Concept,owl:equivalentClass,http://purl.org/vocab/frbr/core#Concept
rc:ConvertingSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#adaption
rc:CreatingAnArtifact,kko:superClassOf,http://purl.org/vocab/frbr/core#Endeavour
rc:Creator_Person,kko:superClassOf,http://purl.org/vocab/frbr/core#creator
rc:DecreaseEvent,kko:superClassOf,http://purl.org/vocab/frbr/core#abridgement
rc:Embodiment,kko:superClassOf,http://purl.org/vocab/frbr/core#embodiment
rc:Event,owl:equivalentClass,http://purl.org/vocab/frbr/core#Event
rc:IBTTranslating,kko:superClassOf,http://purl.org/vocab/frbr/core#translation
rc:ImitationOfIndividual,kko:superClassOf,http://purl.org/vocab/frbr/core#imitation
rc:Object,rdfs:subClassOf,http://purl.org/vocab/frbr/core#Object
rc:ObjectTypes,rdfs:subClassOf,http://purl.org/vocab/frbr/core#Object
rc:OwningSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#owner
rc:Person,owl:equivalentClass,http://purl.org/vocab/frbr/core#Person
rc:PhysicalPartOfObject,kko:superClassOf,http://purl.org/vocab/frbr/core#part
rc:PrintReproduction,kko:superClassOf,http://purl.org/vocab/frbr/core#reproduction
rc:Producer,owl:equivalentClass,http://purl.org/vocab/frbr/core#producer
rc:PropositionalConceptualWork,owl:equivalentClass,http://purl.org/vocab/frbr/core#Work
rc:Relation,kko:superClassOf,http://purl.org/vocab/frbr/core#relatedEndeavour
rc:Summary,kko:superClassOf,http://purl.org/vocab/frbr/core#summarization
rc:TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#Expression
rc:TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#supplement
rc:Transformation,kko:superClassOf,http://purl.org/vocab/frbr/core#transformation
