s,p,o
rc:AudioConceptualWork,owl:equivalentClass,http://purl.org/ontology/mo/MusicalWork
rc:Band_MusicGroup,owl:equivalentClass,http://purl.org/ontology/mo/MusicGroup
rc:InformationRecordingProcess,owl:equivalentClass,http://purl.org/ontology/mo/Recording
rc:Multi_MovementComposition,owl:equivalentClass,http://purl.org/ontology/mo/Movement
rc:MusicPerformanceAgent,owl:equivalentClass,http://purl.org/ontology/mo/MusicArtist
rc:MusicTrack,owl:equivalentClass,http://purl.org/ontology/mo/Track
rc:MusicalPerformance,owl:equivalentClass,http://purl.org/ontology/mo/Performance
rc:MusicalPerformer,owl:equivalentClass,http://purl.org/ontology/mo/SoloMusicArtist
rc:RecordedSoundProduct,owl:equivalentClass,http://purl.org/ontology/mo/Record
rc:Sound,owl:equivalentClass,http://purl.org/ontology/mo/Sound
