frag_new,frag_old,qid,p,version_status,old_qid,id_type
2011CricketWorldCup_Cricketers,,Q8427158,owl:equivalentClass,ADDED,,rc
Aardvark,,Q46212,owl:equivalentClass,ADDED,,rc
AbbotsOfIona,,Q8218260,owl:equivalentClass,ADDED,,rc
AbelianGroupTheory,,Q8218308,owl:equivalentClass,ADDED,,rc
AbkhazianPeople,,Q6528199,owl:equivalentClass,ADDED,,rc
AbnormalBehaviourInAnimals,,Q15142472,owl:equivalentClass,ADDED,,rc
AbnormalRespiration,,Q2056816,owl:equivalentClass,ADDED,,rc
AbolitionismByCountry,,Q8218504,owl:equivalentClass,ADDED,,rc
AbolitionistMovement,,Q8218521,owl:equivalentClass,ADDED,,rc
AboriginesInTasmania,,Q8218598,owl:equivalentClass,ADDED,,rc
AbortionProvider,,Q8218641,owl:equivalentClass,ADDED,,rc
AboutPage,,Q137827518,owl:equivalentClass,ADDED,,rc
AboveGround,,Q11424025,owl:equivalentClass,ADDED,,rc
Absorbency,,Q332828,owl:equivalentClass,ADDED,,rc
Absorbent,,Q27891524,owl:equivalentClass,ADDED,,rc
Abstinence,,Q210978,owl:equivalentClass,ADDED,,rc
AbstractManagementSoftware,,Q25341016,owl:equivalentClass,ADDED,,rc
AbstractProgrammingLanguage,,Q224055,owl:equivalentClass,ADDED,,rc
AcademicBookReport,,Q16844469,owl:equivalentClass,ADDED,,rc
AcademicDressByInstitution,,Q13243133,owl:equivalentClass,ADDED,,rc
AcademicGenealogies,,Q7019045,owl:equivalentClass,ADDED,,rc
AcademicsAndWritersOnBullying,,Q8218908,owl:equivalentClass,ADDED,,rc
AcademicsAndWritersOnNarcissism,,Q8218909,owl:equivalentClass,ADDED,,rc
AcademicStudiesOfRitualAndMagic,,Q8218898,owl:equivalentClass,ADDED,,rc
AcademicStudiesOfShamanism,,Q8218901,owl:equivalentClass,ADDED,,rc
AcademicStyleGuide,,Q8218900,owl:equivalentClass,ADDED,,rc
AcademyAwardsLists,,Q8219354,owl:equivalentClass,ADDED,,rc
AcademyAwardWinner,,Q6468204,owl:equivalentClass,ADDED,,rc
Acantharea,,Q135584,owl:equivalentClass,ADDED,,rc
Acantharida,,Q135584,owl:equivalentClass,ADDED,,rc
Acanthizidae,,Q782355,owl:equivalentClass,ADDED,,rc
Acariformes,,Q1341457,owl:equivalentClass,ADDED,,rc
AccessibleInformation,,Q8219501,owl:equivalentClass,ADDED,,rc
AccidentInvolvingDouglasC47Skytrain,,Q8219804,owl:equivalentClass,ADDED,,rc
AccidentInvolvingEurostar,,Q24999648,owl:equivalentClass,ADDED,,rc
AccidentInvolvingMilitaryAircraft,,Q8219745,owl:equivalentClass,ADDED,,rc
AccidentInvolvingRoyalAirForceAircraft,,Q8219740,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheAirbusA320,,Q8893820,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheAirbusA321,,Q8219750,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheAirbusA380,,Q8219756,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheBoeing727,,Q7583969,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheBoeing747,,Q6995730,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheBoeing757,,Q6177224,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheBoeing767,,Q7583970,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheBoeing777,,Q8219787,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheBoeing787,,Q9523147,owl:equivalentClass,ADDED,,rc
AccidentInvolvingTheDouglasDC3,,Q8219808,owl:equivalentClass,ADDED,,rc
Accipitriformes,,Q21736,owl:equivalentClass,ADDED,,rc
Accounting,,Q4116214,owl:equivalentClass,ADDED,,rc
AccountingClerk,,Q56224063,owl:equivalentClass,ADDED,,rc
AccountingFirm,,Q8219927,owl:equivalentClass,ADDED,,rc
AccountingService,,Q4116214,owl:equivalentClass,ADDED,,rc
AccountingSoftwareForLinux,,Q16777750,owl:equivalentClass,ADDED,,rc
Accusing,,Q19357312,owl:equivalentClass,ADDED,,rc
AchaemenidSatrapsOfIonia,,Q15957468,owl:equivalentClass,ADDED,,rc
Achatinella,,Q4904129,owl:equivalentClass,ADDED,,rc
Achatinellidae,,Q144553,owl:equivalentClass,ADDED,,rc
AcidbasePhysiology,,Q7157139,owl:equivalentClass,ADDED,,rc
Acidobacteriaceae,,Q4674112,owl:equivalentClass,ADDED,,rc
Acidobacteriales,,Q15261014,owl:equivalentClass,ADDED,,rc
Acidobacteriia,,Q21441820,owl:equivalentClass,ADDED,,rc
Acidobacterium,,Q12358221,owl:equivalentClass,ADDED,,rc
Acinonyx,,Q481907,owl:equivalentClass,ADDED,,rc
Acipenseriformes,,Q192422,owl:equivalentClass,ADDED,,rc
AcornWorm,,Q589697,owl:equivalentClass,ADDED,,rc
AcousticMeasurement,,Q8876353,owl:equivalentClass,ADDED,,rc
AcquiredDisorder,,Q3621717,owl:equivalentClass,ADDED,,rc
AcrididaeOfNewZealand,,Q8220252,owl:equivalentClass,ADDED,,rc
Acrocephalidae,,Q366974,owl:equivalentClass,ADDED,,rc
Acrocephalus,,Q637716,owl:equivalentClass,ADDED,,rc
Acrochordidae,,Q752551,owl:equivalentClass,ADDED,,rc
Acrochordus,,Q14947313,owl:equivalentClass,ADDED,,rc
ActingFamily,,Q25030677,owl:equivalentClass,ADDED,,rc
ActiniumCompound,,Q9623052,owl:equivalentClass,ADDED,,rc
ActinocladumVerticillatum,,Q2681360,owl:equivalentClass,ADDED,,rc
Actinopterygii,,Q127282,owl:equivalentClass,ADDED,,rc
Action,,Q4026292,owl:equivalentClass,ADDED,,rc
Actions,,Q4026292,owl:equivalentClass,ADDED,,rc
ActionTypes,,Q4026292,owl:equivalentClass,ADDED,,kko
ActivismByIssue,,Q7014660,owl:equivalentClass,ADDED,,rc
ActivismByType,,Q7014663,owl:equivalentClass,ADDED,,rc
ActivismFlag,,Q8220565,owl:equivalentClass,ADDED,,rc
ActsOfTheApostlesChapters,,Q10127874,owl:equivalentClass,ADDED,,rc
Acupressure,,Q15141236,owl:equivalentClass,ADDED,,rc
AcupunctureNeedle,,Q116220325,owl:equivalentClass,ADDED,,rc
AcuraVehicle,,Q7014317,owl:equivalentClass,ADDED,,rc
AdaptedAutomobile,,Q16815829,owl:equivalentClass,ADDED,,rc
AddictionMedicineSpecialist,,Q62606497,owl:equivalentClass,ADDED,,rc
AddictiveSubstance,,Q113773531,owl:equivalentClass,ADDED,,rc
Additive,,Q350176,owl:equivalentClass,ADDED,,rc
AddressLabel,,Q117208320,owl:equivalentClass,ADDED,,rc
AdenosineReceptors,,Q28290901,owl:equivalentClass,ADDED,,rc
ADHDBiology,,Q8300781,owl:equivalentClass,ADDED,,rc
AdministrativeDistrict,,Q585444,owl:equivalentClass,ADDED,,rc
AdministrativeSoftware,,Q6992302,owl:equivalentClass,ADDED,,rc
Administrator_USEnvironmentalProtectionAgency,,Q8875653,owl:equivalentClass,ADDED,,rc
Admiration,,Q2824657,owl:equivalentClass,ADDED,,rc
AdoptionFormsAndRelatedPractices,,Q13243280,owl:equivalentClass,ADDED,,rc
AdoptionParenting,,Q8221721,owl:equivalentClass,ADDED,,rc
AdoptionResearch,,Q8221722,owl:equivalentClass,ADDED,,rc
AdoptionReunion,,Q8221723,owl:equivalentClass,ADDED,,rc
AdultEntertainment,,Q106466629,owl:equivalentClass,ADDED,,rc
AdultModel,,Q8221880,owl:equivalentClass,ADDED,,rc
AdventureAnimation,,Q16909985,owl:equivalentClass,ADDED,,rc
AdvertisingByType,,Q8222000,owl:equivalentClass,ADDED,,rc
AdvertisingTerminology,,Q7335936,owl:equivalentClass,ADDED,,rc
AdvertisingTheorist,,Q8222021,owl:equivalentClass,ADDED,,rc
AegonManchesterTrophy,,Q25336095,owl:equivalentClass,ADDED,,rc
AerialAdvertising,,Q1419399,owl:equivalentClass,ADDED,,rc
AerialDisappearance,,Q9139232,owl:equivalentClass,ADDED,,rc
AerobicGymnastics,,Q9571752,owl:equivalentClass,ADDED,,rc
AerosolStuff,,Q104541,owl:equivalentClass,ADDED,,rc
AerospaceEngineeringSoftware,,Q8222462,owl:equivalentClass,ADDED,,rc
AerospaceIndustryInAustralia,,Q13243336,owl:equivalentClass,ADDED,,rc
AerostatRadar,,Q8222547,owl:equivalentClass,ADDED,,rc
AesopsFablesShorts,,Q15305119,owl:equivalentClass,ADDED,,rc
AEWAircraft,,Q25218570,owl:equivalentClass,ADDED,,rc
AfghanTajikPeople,,Q8224686,owl:equivalentClass,ADDED,,rc
AfricanAndBlackNationalism,,Q8225692,owl:equivalentClass,ADDED,,rc
AfricanCuisine,,Q386284,owl:equivalentClass,ADDED,,rc
AfricanShamanism,,Q8225964,owl:equivalentClass,ADDED,,rc
AfricanWitchcraft,,Q8225997,owl:equivalentClass,ADDED,,rc
AfrikaansLanguageSurname,,Q16780137,owl:equivalentClass,ADDED,,rc
AfrikaansSpeakingCountryOrTerritory,,Q8226031,owl:equivalentClass,ADDED,,rc
AfrikaansWordOrPhrase,,Q15145433,owl:equivalentClass,ADDED,,rc
Afrosoricida,,Q328082,owl:equivalentClass,ADDED,,rc
AfterlifePlace,,Q6852367,owl:equivalentClass,ADDED,,rc
AftermathOfWar,,Q25075535,owl:equivalentClass,ADDED,,rc
AgamidLizardsOfAfrica,,Q30855890,owl:equivalentClass,ADDED,,rc
Agaonidae,,Q995960,owl:equivalentClass,ADDED,,rc
Agapornis,,Q515217,owl:equivalentClass,ADDED,,rc
AgeingAndLGBTTopics,,Q12079074,owl:equivalentClass,ADDED,,rc
Agelasida,,Q654053,owl:equivalentClass,ADDED,,rc
Agelenidae,,Q5850,owl:equivalentClass,ADDED,,rc
Agelidae,,Q9587762,owl:equivalentClass,ADDED,,rc
AgenceFrancePresseJournalist,,Q15145519,owl:equivalentClass,ADDED,,rc
AgenceFrancePressePhotojournalist,,Q15145522,owl:equivalentClass,ADDED,,rc
Agents,,Q137372,owl:equivalentClass,ADDED,,kko
AgeRelatedStereotypes,,Q8226249,owl:equivalentClass,ADDED,,rc
Aglaeactis,,Q516945,owl:equivalentClass,ADDED,,rc
Agnatha,,Q161095,owl:equivalentClass,ADDED,,rc
Agoutidae,,Q16525484,owl:equivalentClass,ADDED,,rc
Agreement,,Q342425,owl:equivalentClass,ADDED,,rc
AgriculturalHealthAndSafety,,Q8226647,owl:equivalentClass,ADDED,,rc
AgriculturalImplement,,Q1211548,owl:equivalentClass,ADDED,,rc
AgriculturalProduct,,Q25353201,owl:equivalentClass,ADDED,,rc
AgriculturalTerminology,,Q7169090,owl:equivalentClass,ADDED,,rc
AgricultureByContinent,,Q24267304,owl:equivalentClass,ADDED,,rc
AgricultureByCountry,,Q6940341,owl:equivalentClass,ADDED,,rc
AgricultureInBritishColumbia,,Q16780356,owl:equivalentClass,ADDED,,rc
AgricultureInNorthernAfrica,,Q8226948,owl:equivalentClass,ADDED,,rc
AI_Planning,,Q2631895,owl:equivalentClass,ADDED,,rc
AidsToNavigation,,Q18580101,owl:equivalentClass,ADDED,,rc
AikidoTermsAndPrinciples,,Q8227295,owl:equivalentClass,ADDED,,rc
AirborneEarlyWarningAircraft,,Q125889381,owl:equivalentClass,ADDED,,rc
AirborneParticleMonitoring,,Q7140515,owl:equivalentClass,ADDED,,rc
AirbusAircraft,,Q7214097,owl:equivalentClass,ADDED,,rc
AircraftCollision,,Q18228259,owl:equivalentClass,ADDED,,rc
AircraftConfiguration,,Q5627364,owl:equivalentClass,ADDED,,rc
AircraftWeightMeasurement,,Q8228082,owl:equivalentClass,ADDED,,rc
AircrewClothing,,Q7336955,owl:equivalentClass,ADDED,,rc
AirDefenseWeapon,,Q102068149,owl:equivalentClass,ADDED,,rc
AirForceTechnicalTrainingUnitOrFormation,,Q25304369,owl:equivalentClass,ADDED,,rc
AirlinerAccidentsCausedByLightningStrikes,,Q8228197,owl:equivalentClass,ADDED,,rc
AirlinesOfTheChannelIslands,,Q8228604,owl:equivalentClass,ADDED,,rc
AirPollutionControlSystem,,Q8227613,owl:equivalentClass,ADDED,,rc
AirPollutionEmission,,Q8227603,owl:equivalentClass,ADDED,,rc
AirportEngineering,,Q5916013,owl:equivalentClass,ADDED,,rc
AirportsInCentralJava,,Q18704333,owl:equivalentClass,ADDED,,rc
AirportsInMayotte,,Q7464520,owl:equivalentClass,ADDED,,rc
AirportsInSomaliland,,Q8229309,owl:equivalentClass,ADDED,,rc
AirportsInYamaloNenetsAutonomousOkrug,,Q7610763,owl:equivalentClass,ADDED,,rc
AirportsOnBorneo,,Q8229477,owl:equivalentClass,ADDED,,rc
AirQualityManagement,,Q128778908,owl:equivalentClass,ADDED,,rc
AirTrafficControlCenter,,Q8227636,owl:equivalentClass,ADDED,,rc
AirTrafficControlInAfrica,,Q25224429,owl:equivalentClass,ADDED,,rc
AirTrafficControlInAsia,,Q8227638,owl:equivalentClass,ADDED,,rc
AirTrafficControlInEurope,,Q8227639,owl:equivalentClass,ADDED,,rc
AirTrafficControlInNorthAmerica,,Q8227640,owl:equivalentClass,ADDED,,rc
AirTrafficControlInOceania,,Q8227642,owl:equivalentClass,ADDED,,rc
AirTrafficControlInSouthAmerica,,Q8227644,owl:equivalentClass,ADDED,,rc
AirTrafficControlSimulator,,Q13243778,owl:equivalentClass,ADDED,,rc
AirTransportOfHeadsOfState,,Q8227651,owl:equivalentClass,ADDED,,rc
AirySpheroid,,Q133568230,owl:equivalentClass,ADDED,,rc
AkkadianInscription,,Q8229670,owl:equivalentClass,ADDED,,rc
Akoko,,Q4701502,owl:equivalentClass,ADDED,,rc
AlabamaCulture,,Q8230139,owl:equivalentClass,ADDED,,rc
AlaskaCulture,,Q7852698,owl:equivalentClass,ADDED,,rc
AlbanianSeparatism,,Q8230795,owl:equivalentClass,ADDED,,rc
AlbanianSpeakingCountryOrTerritory,,Q8230517,owl:equivalentClass,ADDED,,rc
AlbanianWordOrPhrase,,Q8230826,owl:equivalentClass,ADDED,,rc
Alcaligenaceae,,Q138442,owl:equivalentClass,ADDED,,rc
AlcatrazFederalPenitentiaryInmate,,Q7013685,owl:equivalentClass,ADDED,,rc
AlcazarsAndAlcazabasInSpain,,Q8234210,owl:equivalentClass,ADDED,,rc
Alcedinidae,,Q45018,owl:equivalentClass,ADDED,,rc
Alcedo,,Q583551,owl:equivalentClass,ADDED,,rc
Alcidae,,Q28294,owl:equivalentClass,ADDED,,rc
AlcoholFuel,,Q8234302,owl:equivalentClass,ADDED,,rc
AlcoholInAsia,,Q8234293,owl:equivalentClass,ADDED,,rc
