id,object,relatesTo
kko:BiologicalChemistry,rc:OrganicChemistryFOS,kko:relatesToKnowledgeDomains
kko:BiologicalProcesses,rc:TemporallyContinuousThing,kko:relatesToConcepts
kko:Diseases,rc:InfectiousAgents,kko:relatesToLivingThings
kko:Quality,rc:QualityAttribute,kko:relatesToIntrinsicAttributes
rc:AbominableSnowman,rc:Mammal,kko:relatesToAnimals
rc:AcademyAward,rc:AwardAttribute,kko:relatesToAdjunctualAttributes
rc:AccountType,rc:TemporalStuffType,kko:relatesToConcepts
rc:Action,rc:Actions,kko:relatesToCopulativeRelations
rc:Acupressure,rc:Alternative,kko:relatesToConcepts
rc:Acupuncture,rc:Alternative,kko:relatesToConcepts
rc:Adaptation,rc:BiologicalAttribute,kko:relatesToAdjunctualAttributes
rc:AdministrativeDistrict,rc:AdministrativeDivision,kko:relatesToGeopolitical
rc:AdultConsumer,rc:ExtrinsicAspect,kko:relatesToContextualAttributes
rc:AilmentCondition,rc:ChronicCondition,kko:relatesToDiseases
rc:AirplaneTrip,rc:TemporallyContinuousThing,kko:relatesToConcepts
rc:Algae,rc:AquaticOrganism,kko:relatesToLivingThings
rc:AlternativeRockMusic,rc:Alternative,kko:relatesToConcepts
rc:AlternativeScience,rc:Alternative,kko:relatesToConcepts
rc:AmericanWaterLandmark,rc:Water,kko:relatesToNaturalSubstances
rc:AnatomicalStructure,rc:Anatomy,kko:relatesToKnowledgeDomains
rc:AncientCity,rc:Ancient,kko:relatesToConcepts
rc:AncientCounty_China,rc:Ancient,kko:relatesToConcepts
rc:AncientCurrency,rc:Ancient,kko:relatesToConcepts
rc:AncientInternationalRelations,rc:Ancient,kko:relatesToConcepts
rc:AncientMonument,rc:Ancient,kko:relatesToConcepts
rc:AncientNavalShip,rc:Ancient,kko:relatesToConcepts
rc:AncientRoadway,rc:Ancient,kko:relatesToConcepts
rc:AnimalBLO,rc:BiologicalLivingObject,kko:relatesToLivingThings
rc:AnimalBLO,rc:KingdomAnimalia,kko:relatesToLivingThings
rc:AnimalBLO,rc:PerceptualAgent_Embodied,kko:relatesToManifestations
rc:AnimalBLO,rc:SolidTangibleThing,kko:relatesToShapes
rc:AnimalBodyRegion,rc:Anatomy,kko:relatesToKnowledgeDomains
rc:Animalia,rc:Heterotroph,kko:relatesToLivingThings
rc:Animalia,rc:MulticellularOrganism,kko:relatesToLivingThings
rc:AnucleatedCell,rc:ProkaryoticCell,kko:relatesToLivingThings
rc:AquaticAnimal,rc:AquaticOrganism,kko:relatesToLivingThings
rc:AquaticPlant,rc:AquaticOrganism,kko:relatesToLivingThings
rc:Aquifer,rc:Layer,kko:relatesToForms
rc:ArchaeaBLO,rc:KingdomArchaea,kko:relatesToLivingThings
rc:ArchaeologicalArtifact,rc:Ancient,kko:relatesToConcepts
rc:ArchaeologicalSite,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:Archive,rc:HistoricalCollection,kko:relatesToConcepts
rc:Art,rc:ArtsCraftsEquipment,kko:relatesToSecondarySectorProducts
rc:ArtSupplies,rc:Supplies,kko:relatesToCopulativeRelations
rc:ArtifactType,rc:TemporalStuffType,kko:relatesToConcepts
rc:Ascomycota,rc:MulticellularOrganism,kko:relatesToLivingThings
rc:AsexualBLO,rc:BiologicalLivingObject,kko:relatesToLivingThings
rc:Assets_Possession,rc:Possession,kko:relatesToConcepts
rc:AstronomicalObject,rc:FiniteSpatialThing,kko:relatesToShapes
rc:AtmosphericBoundaryLayer,rc:Layer,kko:relatesToForms
rc:AtmosphericLayer,rc:Layer,kko:relatesToForms
rc:AtomicNucleus,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:AttackOnTangible,rc:DangerousSituation,kko:relatesToConcepts
rc:AutoPart,rc:NewAutoDealerPartsMarketCategory,kko:relatesToSecondarySectorProducts
rc:Autotroph_Bacterium,rc:Autotroph,kko:relatesToLivingThings
rc:AwarenessQuantity,rc:AwarenessAttribute,kko:relatesToIntrinsicAttributes
rc:BacteriaBLO,rc:KingdomBacteria,kko:relatesToLivingThings
rc:BacterialBioAgent,rc:LivingBiologicalAgent,kko:relatesToLivingThings
rc:Ball,rc:RoundObject,kko:relatesToShapes
rc:Basidiomycota,rc:MulticellularOrganism,kko:relatesToLivingThings
rc:Beam_Construction,rc:RectangularParallelepiped,kko:relatesToShapes
rc:Bear_Animal,rc:DangerousThing,kko:relatesToConcepts
rc:Bigfoot,rc:Mammal,kko:relatesToAnimals
rc:Bill_Currency,rc:CoinCollecting,kko:relatesToEventTypes
rc:BiochemicallyHarmfulSubstance,rc:BiologicalAgentType,kko:relatesToLivingThings
rc:BiochemicallyHarmfulSubstance,rc:DangerousThing,kko:relatesToConcepts
rc:BiochemicallyHarmfulSubstance,rc:DiseaseAgent,kko:relatesToDiseases
rc:BiologicalLivingObject,rc:BiologicalMatter,kko:relatesToManifestations
rc:BiologicalLivingObject,rc:FiniteSpatialThing,kko:relatesToShapes
rc:BiologicalLivingObject,rc:NaturalTangibleStuff,kko:relatesToManifestations
rc:BiologicalLivingObject,rc:OrganicMaterial,kko:relatesToOrganicMatter
rc:BiologicalLivingObject,rc:TemporallyContinuousThing,kko:relatesToConcepts
rc:BiologicalProductionEvent,rc:BiologicalAttribute,kko:relatesToAdjunctualAttributes
rc:Blackout,rc:DangerousEvent,kko:relatesToConcepts
rc:BlindShade,rc:Collapsible,kko:relatesToForms
rc:Blitz,rc:DangerousEvent,kko:relatesToConcepts
rc:BloodPressure,rc:Blood,kko:relatesToLivingThings
rc:Board_PieceOfWood,rc:LinearObject_Tangible,kko:relatesToShapes
rc:BodyOfWater_Area,rc:Water,kko:relatesToNaturalMatter
rc:BodyOfWater_Area,rc:WaterResources,kko:relatesToConcepts
rc:BodyOfWater_Intermittent,rc:Water,kko:relatesToNaturalMatter
rc:Bottle,rc:Bottle_Generic,kko:relatesToShapes
rc:BranchOfMilitaryService,rc:MilitaryOrganizationConcept,kko:relatesToConcepts
rc:Broadcasting,rc:SubscriberService,kko:relatesToTertiarySectorServices
rc:BushFlying,rc:DangerousActivity,kko:relatesToConcepts
rc:BusinessRelatedThing,rc:TemporalThing,kko:relatesToConcepts
rc:Buttermilk,rc:Lumpy,kko:relatesToForms
rc:Can,rc:CapsuleContainer,kko:relatesToShapes
rc:Carnivore,rc:OrganismTypeByNutrition,kko:relatesToLivingThings
rc:Carnivory,rc:Meat,kko:relatesToFoodDrink
rc:CartographicFeatureType,rc:TemporalStuffType,kko:relatesToConcepts
rc:CellPart,rc:BiologicalParts,kko:relatesToDirectRelations
rc:CellPart,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:CellPart,rc:Parts,kko:relatesToDirectRelations
rc:CeremonialSite,rc:POIAttributes,kko:relatesToSituationTypes
rc:ChemicalObject,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:ChemicalObject,rc:MolecularStuff,kko:relatesToManifestations
rc:CitrusFruit,rc:RoundObject,kko:relatesToShapes
rc:ClassificationSystem,rc:System,kko:relatesToSystems
rc:ClothingSizeType,rc:SizeAttribute,kko:relatesToIntrinsicAttributes
rc:Coin_US,rc:RoundObject,kko:relatesToShapes
rc:CollapsibleDevice,rc:Collapsible,kko:relatesToForms
rc:Color,rc:ColorAttribute,kko:relatesToIntrinsicAttributes
rc:CommercialOrganization,rc:BusinessRelatedThing,kko:relatesToEconomicSystems
rc:CommodityProduct,rc:TemporalStuffType,kko:relatesToConcepts
rc:Communication,kko:Society,kko:relatesToSociety
rc:ComputingInformation,rc:ComputerAsSystem,kko:relatesToSymbolic
rc:CondensedMatter,rc:Physics,kko:relatesToKnowledgeDomains
