prop_id,prefLabel,description,scopeNote
kko:relatesTo,relates to,Top-level annotation property for KBpedia relatesToXXX relations,Parent property for all relatesToXXX annotations in KBpedia
kko:relatesToActionTypes,relates to action types,Annotation linking kko.ActionTypes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToAdjunctualAttributes,relates to adjunctual attributes,Annotation linking kko.AdjunctualAttributes to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToAgents,relates to agents,Annotation linking kko.Agents to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToAnimals,relates to animals,Annotation linking kko.Animals to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToAreaRegion,relates to area or region,Annotation linking kko.AreaRegion to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToArtifacts,relates to artifacts,Annotation linking kko.Artifacts to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToAtomsElements,relates to atoms or elements,Annotation linking kko.AtomsElements to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToAudioInfo,relates to audio info,Annotation linking kko.AudioInfo to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
kko:relatesToBiologicalChemistry,relates to biochemistry,Annotation linking kko.BioChemistry to owl:Thing for trace purposes.,Non-entailing annotation used in KBpedia to trace conceptual associations across typologies. Serves as an object-property-like link without entailment.
