id,subclassof,parent
rc:ASCII_Art,rdfs:subClassOf,rc:DigitalArtObject
rc:ASCII_Art,rdfs:subClassOf,owl:Thing
rc:MusicalCompositonByInstrument,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalCompositonByInstrument,rdfs:subClassOf,owl:Thing
rc:AlgorithmsOnStrings,rdfs:subClassOf,rc:StringObject
rc:AlgorithmsOnStrings,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Trance,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Trance,rdfs:subClassOf,owl:Thing
rc:CertificationOfWorkExperience,rdfs:subClassOf,rc:Certification
rc:CertificationOfWorkExperience,rdfs:subClassOf,owl:Thing
rc:Fountain_ArtObject,rdfs:subClassOf,rc:Sculpture
rc:Fountain_ArtObject,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Industrial,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_Industrial,rdfs:subClassOf,rc:MusicalComposition_Rock
rc:MusicalComposition_Industrial,rdfs:subClassOf,owl:Thing
rc:Engraving_Print,rdfs:subClassOf,rc:HardcopyInformationBearingObject
rc:Engraving_Print,rdfs:subClassOf,owl:Thing
rc:PilotsLicense_Document,rdfs:subClassOf,rc:TransportationLicense_Document
rc:PilotsLicense_Document,rdfs:subClassOf,owl:Thing
rc:ClassicMovie,rdfs:subClassOf,rc:FilmGenre
rc:ClassicMovie,rdfs:subClassOf,owl:Thing
rc:AddressBook,rdfs:subClassOf,rc:BookCopy
rc:AddressBook,rdfs:subClassOf,owl:Thing
rc:PowerPop,rdfs:subClassOf,rc:MusicalComposition_PopRock
rc:PowerPop,rdfs:subClassOf,owl:Thing
rc:RoutingList,rdfs:subClassOf,rc:List_Information
rc:RoutingList,rdfs:subClassOf,owl:Thing
rc:ArtByPeriod,rdfs:subClassOf,rc:Art
rc:ArtByPeriod,rdfs:subClassOf,owl:Thing
rc:CompositionForAccordion,rdfs:subClassOf,rc:MusicalCompositonByInstrument
rc:CompositionForAccordion,rdfs:subClassOf,owl:Thing
rc:DanceAnimation,rdfs:subClassOf,rc:Animation_MovingImage
rc:DanceAnimation,rdfs:subClassOf,owl:Thing
rc:NoWave,rdfs:subClassOf,rc:PostPunkMusic
rc:NoWave,rdfs:subClassOf,owl:Thing
rc:MusicalChord,rdfs:subClassOf,rc:AudibleSound
rc:MusicalChord,rdfs:subClassOf,rc:Music
rc:MusicalChord,rdfs:subClassOf,owl:Thing
rc:AnimalSound,rdfs:subClassOf,rc:AudibleSound
rc:AnimalSound,rdfs:subClassOf,owl:Thing
rc:ChristianMusicByOccasion,rdfs:subClassOf,rc:MusicalComposition_Christian
rc:ChristianMusicByOccasion,rdfs:subClassOf,owl:Thing
rc:USExecutiveOrder,rdfs:subClassOf,rc:ExecutiveOrder
rc:USExecutiveOrder,rdfs:subClassOf,owl:Thing
rc:Tokusatsu,rdfs:subClassOf,rc:TelevisionSeriesByGenre
rc:Tokusatsu,rdfs:subClassOf,owl:Thing
rc:DecadesInArt,rdfs:subClassOf,rc:ArtByPeriod
rc:DecadesInArt,rdfs:subClassOf,rc:ArtSubject
rc:DecadesInArt,rdfs:subClassOf,owl:Thing
rc:PunctuationMark,rdfs:subClassOf,rc:AuxiliaryWritingMark
rc:PunctuationMark,rdfs:subClassOf,owl:Thing
rc:BleatingSound,rdfs:subClassOf,rc:AnimalSound
rc:BleatingSound,rdfs:subClassOf,owl:Thing
rc:AncientArt,rdfs:subClassOf,rc:ArtByPeriod
rc:AncientArt,rdfs:subClassOf,owl:Thing
rc:StockCertificate,rdfs:subClassOf,rc:CertificateDocument
rc:StockCertificate,rdfs:subClassOf,rc:IDDocument
