id,subclassof,parent
rc:MullerianMimicry,rdfs:subClassOf,rc:Mimicry
rc:MullerianMimicry,rdfs:subClassOf,owl:Thing
rc:DazzleCamouflage,rdfs:subClassOf,rc:CamouflagePattern
rc:DazzleCamouflage,rdfs:subClassOf,owl:Thing
rc:PolkaDotPattern,rdfs:subClassOf,rc:SpottedPattern
rc:PolkaDotPattern,rdfs:subClassOf,owl:Thing
rc:Childless_Status,rdfs:subClassOf,rc:ExtrinsicAspect
rc:Childless_Status,rdfs:subClassOf,owl:Thing
rc:Mimicry,rdfs:subClassOf,rc:CamouflagePattern
rc:Mimicry,rdfs:subClassOf,owl:Thing
rc:ExtrinsicAspect,rdfs:subClassOf,rc:Extrinsics
rc:ExtrinsicAspect,rdfs:subClassOf,owl:Thing
rc:SocialAttribute,rdfs:subClassOf,rc:Extrinsics
rc:SocialAttribute,rdfs:subClassOf,owl:Thing
rc:Counter_Illumination,rdfs:subClassOf,rc:CamouflagePattern
rc:Counter_Illumination,rdfs:subClassOf,owl:Thing
rc:MilitaryCamouflage,rdfs:subClassOf,rc:CamouflagePattern
rc:MilitaryCamouflage,rdfs:subClassOf,owl:Thing
rc:LongevityClaim,rdfs:subClassOf,rc:Longevity
rc:LongevityClaim,rdfs:subClassOf,owl:Thing
rc:SingleLine_PatternType,rdfs:subClassOf,rc:VisualPattern
rc:SingleLine_PatternType,rdfs:subClassOf,owl:Thing
rc:DiffusedLightingCamouflage,rdfs:subClassOf,rc:CamouflagePattern
rc:DiffusedLightingCamouflage,rdfs:subClassOf,owl:Thing
rc:Busy,rdfs:subClassOf,rc:ExtrinsicAspect
rc:Busy,rdfs:subClassOf,owl:Thing
rc:Extrinsics,rdfs:subClassOf,kko:AdjunctualAttributes
rc:Extrinsics,rdfs:subClassOf,owl:Thing
rc:StructuralPattern,rdfs:subClassOf,rc:VisualPattern
rc:StructuralPattern,rdfs:subClassOf,owl:Thing
rc:GeometricPattern,rdfs:subClassOf,rc:VisualPattern
rc:GeometricPattern,rdfs:subClassOf,owl:Thing
rc:CamouflagePattern,rdfs:subClassOf,rc:BlotchyPattern
rc:CamouflagePattern,rdfs:subClassOf,owl:Thing
kko:AdjunctualAttributes,rdfs:subClassOf,owl:Thing
rc:AwardAttribute,rdfs:subClassOf,rc:Extrinsics
rc:AwardAttribute,rdfs:subClassOf,owl:Thing
rc:IntrinsicStateChangeAttribute,rdfs:subClassOf,rc:EventAttributes
rc:IntrinsicStateChangeAttribute,rdfs:subClassOf,owl:Thing
rc:DisruptiveColoration,rdfs:subClassOf,rc:CamouflagePattern
rc:DisruptiveColoration,rdfs:subClassOf,owl:Thing
rc:EconomicAttribute,rdfs:subClassOf,rc:Extrinsics
rc:EconomicAttribute,rdfs:subClassOf,owl:Thing
rc:QuantityAttribute,rdfs:subClassOf,kko:AdjunctualAttributes
rc:QuantityAttribute,rdfs:subClassOf,owl:Thing
rc:BiologicalAttribute,rdfs:subClassOf,rc:EventAttributes
rc:BiologicalAttribute,rdfs:subClassOf,owl:Thing
rc:GeographicAttribute,rdfs:subClassOf,rc:Extrinsics
rc:GeographicAttribute,rdfs:subClassOf,owl:Thing
rc:SpottedPattern,rdfs:subClassOf,rc:VisualPattern
rc:SpottedPattern,rdfs:subClassOf,owl:Thing
rc:PhysicalChangeAttribute,rdfs:subClassOf,rc:EventAttributes
rc:PhysicalChangeAttribute,rdfs:subClassOf,owl:Thing
rc:BlotchyPattern,rdfs:subClassOf,rc:VisualPattern
rc:BlotchyPattern,rdfs:subClassOf,owl:Thing
rc:Automimicry,rdfs:subClassOf,rc:Mimicry
rc:Automimicry,rdfs:subClassOf,owl:Thing
rc:BatesianMimicry,rdfs:subClassOf,rc:Mimicry
rc:BatesianMimicry,rdfs:subClassOf,owl:Thing
rc:CheckPattern,rdfs:subClassOf,rc:VisualPattern
rc:CheckPattern,rdfs:subClassOf,owl:Thing
rc:Luck,rdfs:subClassOf,rc:ExtrinsicAspect
rc:Luck,rdfs:subClassOf,owl:Thing
rc:EventAttributes,rdfs:subClassOf,rc:Eventuals
rc:EventAttributes,rdfs:subClassOf,owl:Thing
rc:IslamicGeometricPattern,rdfs:subClassOf,rc:GeometricPattern
rc:IslamicGeometricPattern,rdfs:subClassOf,owl:Thing
rc:VisualPattern,rdfs:subClassOf,rc:QuantityAttribute
rc:VisualPattern,rdfs:subClassOf,owl:Thing
rc:Longevity,rdfs:subClassOf,rc:Eventuals
rc:Longevity,rdfs:subClassOf,owl:Thing
rc:Multi_ScaleCamouflage,rdfs:subClassOf,rc:CamouflagePattern
rc:Multi_ScaleCamouflage,rdfs:subClassOf,owl:Thing
rc:PlaidPattern,rdfs:subClassOf,rc:VisualPattern
rc:PlaidPattern,rdfs:subClassOf,owl:Thing
rc:CreationAttribute,rdfs:subClassOf,rc:EventAttributes
rc:CreationAttribute,rdfs:subClassOf,owl:Thing
rc:Eventuals,rdfs:subClassOf,kko:AdjunctualAttributes
rc:Eventuals,rdfs:subClassOf,owl:Thing
rc:Checkerboard,rdfs:subClassOf,rc:CheckPattern
rc:Checkerboard,rdfs:subClassOf,owl:Thing
rc:Tartan,rdfs:subClassOf,rc:PlaidPattern
rc:Tartan,rdfs:subClassOf,owl:Thing
rc:AggressiveMimicry,rdfs:subClassOf,rc:Mimicry
rc:AggressiveMimicry,rdfs:subClassOf,owl:Thing
