id,subclassof,parent
rc:Examiner,rdfs:subClassOf,rc:PersonWithOccupation
rc:Examiner,rdfs:subClassOf,owl:Thing
rc:StreetPerformer,rdfs:subClassOf,rc:Artist_Performer
rc:StreetPerformer,rdfs:subClassOf,owl:Thing
rc:OrthoticEquipmentProvider,rdfs:subClassOf,rc:MedicalCareOrganization
rc:OrthoticEquipmentProvider,rdfs:subClassOf,owl:Thing
rc:ArmenianApostolicChristian,rdfs:subClassOf,rc:ChristianPerson
rc:ArmenianApostolicChristian,rdfs:subClassOf,owl:Thing
rc:Plato,rdfs:subClassOf,rc:Poet
rc:Plato,rdfs:subClassOf,owl:Thing
rc:EthnicGroupOfSinhalese,rdfs:subClassOf,rc:EthnicGroupOfEastIndians
rc:EthnicGroupOfSinhalese,rdfs:subClassOf,owl:Thing
rc:GirlGuidingAndGirlScouting,rdfs:subClassOf,rc:ScoutingOrganization
rc:GirlGuidingAndGirlScouting,rdfs:subClassOf,owl:Thing
rc:ChineseWarCasualty,rdfs:subClassOf,rc:CasualtyByType
rc:ChineseWarCasualty,rdfs:subClassOf,owl:Thing
rc:MajorLeagueBaseballDraft,rdfs:subClassOf,rc:MajorLeagueBaseball
rc:MajorLeagueBaseballDraft,rdfs:subClassOf,owl:Thing
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,owl:Thing
rc:Mancomunidad,rdfs:subClassOf,rc:LocalGovernment
rc:Mancomunidad,rdfs:subClassOf,owl:Thing
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,rc:Province_Angola
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,owl:Thing
rc:KingGustavV,rdfs:subClassOf,rc:King_HeadOfState
rc:KingGustavV,rdfs:subClassOf,owl:Thing
rc:Bukhara,rdfs:subClassOf,rc:Khorasan_ProvinceIran
rc:Bukhara,rdfs:subClassOf,owl:Thing
rc:CircassianTribe,rdfs:subClassOf,rc:EthnicGroupOfCircassians
rc:CircassianTribe,rdfs:subClassOf,owl:Thing
rc:JohnKennedy,rdfs:subClassOf,rc:Democrat
rc:JohnKennedy,rdfs:subClassOf,rc:UnitedStatesPresident
rc:JohnKennedy,rdfs:subClassOf,owl:Thing
rc:FederationOfAmericanScientists,rdfs:subClassOf,rc:AdvocacyOrganization
rc:FederationOfAmericanScientists,rdfs:subClassOf,rc:NonProfitOrganization
rc:FederationOfAmericanScientists,rdfs:subClassOf,owl:Thing
rc:PhiladelphiaPhillies,rdfs:subClassOf,rc:MajorLeagueBaseballTeam
rc:PhiladelphiaPhillies,rdfs:subClassOf,owl:Thing
rc:HouseOfTudor,rdfs:subClassOf,rc:DynasticFamily
rc:HouseOfTudor,rdfs:subClassOf,owl:Thing
rc:Ghetto,rdfs:subClassOf,rc:UrbanNeighborhood
rc:Ghetto,rdfs:subClassOf,owl:Thing
rc:PurchasingManager,rdfs:subClassOf,rc:BusinessPerson
rc:PurchasingManager,rdfs:subClassOf,rc:Manager
rc:PurchasingManager,rdfs:subClassOf,owl:Thing
