id,subclassof,parent
rc:Cytoskeleton,rdfs:subClassOf,rc:AnimalBodyPart
rc:Cytoskeleton,rdfs:subClassOf,owl:Thing
rc:Hymenopodidae,rdfs:subClassOf,rc:Hymenoidea
rc:Hymenopodidae,rdfs:subClassOf,owl:Thing
rc:MoundBuildingTermites,rdfs:subClassOf,rc:Termitinae
rc:MoundBuildingTermites,rdfs:subClassOf,owl:Thing
rc:Litaneutria,rdfs:subClassOf,rc:Mantidae
rc:Litaneutria,rdfs:subClassOf,owl:Thing
rc:FrostedSacWingedBat,rdfs:subClassOf,rc:SacWingedBat
rc:FrostedSacWingedBat,rdfs:subClassOf,owl:Thing
rc:EublepharisHardwickii,rdfs:subClassOf,rc:Eublepharis
rc:EublepharisHardwickii,rdfs:subClassOf,owl:Thing
rc:Badger,rdfs:subClassOf,rc:Mustelidae
rc:Badger,rdfs:subClassOf,owl:Thing
rc:Blonde_HairColor,rdfs:subClassOf,rc:HairOnHead_Human
rc:Blonde_HairColor,rdfs:subClassOf,owl:Thing
rc:Oyster,rdfs:subClassOf,rc:Bivalvia
rc:Oyster,rdfs:subClassOf,rc:Shellfish
rc:Oyster,rdfs:subClassOf,owl:Thing
rc:Theridiidae,rdfs:subClassOf,rc:Entelegynae
rc:Theridiidae,rdfs:subClassOf,owl:Thing
rc:LegsCrossedOnFurniture,rdfs:subClassOf,rc:SittingPosture
rc:LegsCrossedOnFurniture,rdfs:subClassOf,owl:Thing
rc:Elapidae,rdfs:subClassOf,rc:Alethinophidia
rc:Elapidae,rdfs:subClassOf,rc:VenomousSnake
rc:Elapidae,rdfs:subClassOf,owl:Thing
rc:Megapodiidae,rdfs:subClassOf,rc:Galliformes
rc:Megapodiidae,rdfs:subClassOf,owl:Thing
rc:Acrocanthosaurus,rdfs:subClassOf,rc:Therapoda
rc:Acrocanthosaurus,rdfs:subClassOf,owl:Thing
rc:WolfOfSoissons,rdfs:subClassOf,rc:Wolf
rc:WolfOfSoissons,rdfs:subClassOf,owl:Thing
rc:Crimson_wingedWoodpecker,rdfs:subClassOf,rc:Picoides
rc:Crimson_wingedWoodpecker,rdfs:subClassOf,owl:Thing
rc:Rusty_spottedCat,rdfs:subClassOf,rc:Prionailurus
rc:Rusty_spottedCat,rdfs:subClassOf,owl:Thing
rc:KneeMedialRotator,rdfs:subClassOf,rc:Knee
rc:KneeMedialRotator,rdfs:subClassOf,rc:MuscleByLocation
rc:KneeMedialRotator,rdfs:subClassOf,owl:Thing
rc:Gonatidae,rdfs:subClassOf,rc:Oegopsina
rc:Gonatidae,rdfs:subClassOf,owl:Thing
rc:Cavia,rdfs:subClassOf,rc:GuineaPig
rc:Cavia,rdfs:subClassOf,owl:Thing
rc:KingGustavV,rdfs:subClassOf,rc:King_HeadOfState
rc:KingGustavV,rdfs:subClassOf,owl:Thing
rc:EuropeanMantis,rdfs:subClassOf,rc:Litaneutria
rc:EuropeanMantis,rdfs:subClassOf,owl:Thing
rc:Paradelma,rdfs:subClassOf,rc:Pygopodidae
rc:Paradelma,rdfs:subClassOf,owl:Thing
rc:AgileGibbon,rdfs:subClassOf,rc:Hylobates
rc:AgileGibbon,rdfs:subClassOf,owl:Thing
rc:Gammaridea,rdfs:subClassOf,rc:Amphipoda
rc:Gammaridea,rdfs:subClassOf,owl:Thing
rc:TurquetsOctopus,rdfs:subClassOf,rc:Pareledone
rc:TurquetsOctopus,rdfs:subClassOf,owl:Thing
rc:Humerus,rdfs:subClassOf,rc:ArmBone
rc:Humerus,rdfs:subClassOf,rc:LongBone
rc:Humerus,rdfs:subClassOf,owl:Thing
rc:Naja,rdfs:subClassOf,rc:Elapidae
rc:Naja,rdfs:subClassOf,owl:Thing
rc:RazorbackSucker,rdfs:subClassOf,rc:Sucker
rc:RazorbackSucker,rdfs:subClassOf,owl:Thing
rc:NewBritainHawk_owl,rdfs:subClassOf,rc:Ninox
rc:NewBritainHawk_owl,rdfs:subClassOf,owl:Thing
rc:Acromantinae,rdfs:subClassOf,rc:Hymenopodidae
rc:Acromantinae,rdfs:subClassOf,owl:Thing
rc:Marlin,rdfs:subClassOf,rc:EdibleFish
rc:Marlin,rdfs:subClassOf,owl:Thing
rc:Brown_EyeColor,rdfs:subClassOf,rc:Eye
rc:Brown_EyeColor,rdfs:subClassOf,owl:Thing
rc:BoreoatlanticArmhookSquid,rdfs:subClassOf,rc:Gonatidae
rc:BoreoatlanticArmhookSquid,rdfs:subClassOf,owl:Thing
rc:AchariaApicalis,rdfs:subClassOf,rc:Moth
rc:AchariaApicalis,rdfs:subClassOf,owl:Thing
rc:CorpusCallosum,rdfs:subClassOf,rc:AnimalBodyPart
rc:CorpusCallosum,rdfs:subClassOf,owl:Thing
rc:Limulidae,rdfs:subClassOf,rc:Xiphosura
rc:Limulidae,rdfs:subClassOf,owl:Thing
rc:PeterssSheathTailedBat,rdfs:subClassOf,rc:SacWingedBat
rc:PeterssSheathTailedBat,rdfs:subClassOf,owl:Thing
rc:Gyrinidae,rdfs:subClassOf,rc:Dytiscoidea
rc:Gyrinidae,rdfs:subClassOf,owl:Thing
rc:HanoverHound,rdfs:subClassOf,rc:Hound
rc:HanoverHound,rdfs:subClassOf,owl:Thing
rc:SpiderMonkey,rdfs:subClassOf,rc:Monkey
rc:SpiderMonkey,rdfs:subClassOf,owl:Thing
rc:LegsStraddlingPosture,rdfs:subClassOf,rc:SittingPosture
rc:LegsStraddlingPosture,rdfs:subClassOf,owl:Thing
rc:Cremaster,rdfs:subClassOf,rc:AnimalBodyPart_Male
rc:Cremaster,rdfs:subClassOf,rc:SkeletalMuscle
rc:Cremaster,rdfs:subClassOf,owl:Thing
rc:Aedes,rdfs:subClassOf,rc:Culicidae
rc:Aedes,rdfs:subClassOf,owl:Thing
rc:TocoToucan,rdfs:subClassOf,rc:Ramphastos
rc:TocoToucan,rdfs:subClassOf,owl:Thing
rc:AdductorMagnus,rdfs:subClassOf,rc:SkeletalMuscle
rc:AdductorMagnus,rdfs:subClassOf,owl:Thing
rc:TunisSheep,rdfs:subClassOf,rc:Fat_tailedSheep
rc:TunisSheep,rdfs:subClassOf,owl:Thing
rc:Cobra,rdfs:subClassOf,rc:Naja
rc:Cobra,rdfs:subClassOf,owl:Thing
rc:EnglishSpringerSpaniel,rdfs:subClassOf,rc:BombSniffingDog
rc:EnglishSpringerSpaniel,rdfs:subClassOf,rc:Spaniel
rc:EnglishSpringerSpaniel,rdfs:subClassOf,rc:SportingDog_FunctionalGroup
rc:EnglishSpringerSpaniel,rdfs:subClassOf,owl:Thing
rc:Yellow_frontedWoodpecker,rdfs:subClassOf,rc:Picoides
rc:Yellow_frontedWoodpecker,rdfs:subClassOf,owl:Thing
rc:CostaRicanCougar,rdfs:subClassOf,rc:Puma
rc:CostaRicanCougar,rdfs:subClassOf,owl:Thing
rc:Euarchonta,rdfs:subClassOf,rc:Euarchontoglires
rc:Euarchonta,rdfs:subClassOf,owl:Thing
rc:PuertoRicanNightjar,rdfs:subClassOf,rc:Antrostomus
rc:PuertoRicanNightjar,rdfs:subClassOf,owl:Thing
rc:FaceOfAnimal,rdfs:subClassOf,rc:Head_AnimalBodyPart
rc:FaceOfAnimal,rdfs:subClassOf,owl:Thing
rc:AtlanticBlueMarlin,rdfs:subClassOf,rc:Marlin
rc:AtlanticBlueMarlin,rdfs:subClassOf,owl:Thing
rc:Golden_greenWoodpecker,rdfs:subClassOf,rc:Picoides
rc:Golden_greenWoodpecker,rdfs:subClassOf,owl:Thing
rc:Chelidae,rdfs:subClassOf,rc:Pleurodira
rc:Chelidae,rdfs:subClassOf,owl:Thing
rc:Sistrurus,rdfs:subClassOf,rc:Crotalinae
rc:Sistrurus,rdfs:subClassOf,owl:Thing
rc:WormianBone,rdfs:subClassOf,rc:IrregularBone
rc:WormianBone,rdfs:subClassOf,owl:Thing
rc:WesternHoneyBee,rdfs:subClassOf,rc:ApisGenus
rc:WesternHoneyBee,rdfs:subClassOf,owl:Thing
rc:DeroplatysDesiccata,rdfs:subClassOf,rc:Deroplatys
rc:DeroplatysDesiccata,rdfs:subClassOf,owl:Thing
rc:CaspianSeal,rdfs:subClassOf,rc:TrueSeal
rc:CaspianSeal,rdfs:subClassOf,owl:Thing
rc:Orange_footedSeaCucumber,rdfs:subClassOf,rc:Holothuriidae
rc:Orange_footedSeaCucumber,rdfs:subClassOf,owl:Thing
rc:NatalFreeTailedBat,rdfs:subClassOf,rc:FreeTailedBat
