id,subclassof,parent
rc:FarmersAlmanac_TheReferenceWork,rdfs:subClassOf,rc:Almanac
rc:FarmersAlmanac_TheReferenceWork,rdfs:subClassOf,owl:Thing
rc:CookBook,rdfs:subClassOf,rc:InstructionalWork
rc:CookBook,rdfs:subClassOf,owl:Thing
rc:WebstersDictionary,rdfs:subClassOf,rc:Dictionary
rc:WebstersDictionary,rdfs:subClassOf,owl:Thing
rc:OxfordEnglishDictionary,rdfs:subClassOf,rc:Dictionary
rc:OxfordEnglishDictionary,rdfs:subClassOf,owl:Thing
rc:DeoxyribonucleotideStructureSequence,rdfs:subClassOf,rc:NucleotideStructureSequence
rc:DeoxyribonucleotideStructureSequence,rdfs:subClassOf,owl:Thing
rc:Index_List_Information,rdfs:subClassOf,rc:List_Information
rc:Index_List_Information,rdfs:subClassOf,owl:Thing
rc:MailingList,rdfs:subClassOf,rc:List_Information
rc:MailingList,rdfs:subClassOf,owl:Thing
rc:IonicBond,rdfs:subClassOf,rc:ChemicalBond
rc:IonicBond,rdfs:subClassOf,owl:Thing
rc:TelephoneDirectory,rdfs:subClassOf,rc:Directory_ReferenceWork
rc:TelephoneDirectory,rdfs:subClassOf,owl:Thing
rc:Wikiversity,rdfs:subClassOf,rc:ReferenceWebSite
rc:Wikiversity,rdfs:subClassOf,owl:Thing
rc:KamaSutra,rdfs:subClassOf,rc:InstructionalWork
rc:KamaSutra,rdfs:subClassOf,owl:Thing
rc:Pseudogene,rdfs:subClassOf,rc:DeoxyribonucleotideStructureSequence
rc:Pseudogene,rdfs:subClassOf,owl:Thing
rc:HydrogenBond,rdfs:subClassOf,rc:ChemicalBond
rc:HydrogenBond,rdfs:subClassOf,owl:Thing
rc:WaitingList,rdfs:subClassOf,rc:List_Information
rc:WaitingList,rdfs:subClassOf,owl:Thing
rc:RoutingList,rdfs:subClassOf,rc:List_Information
rc:RoutingList,rdfs:subClassOf,owl:Thing
rc:DreamDictionary,rdfs:subClassOf,rc:Dictionary
rc:DreamDictionary,rdfs:subClassOf,owl:Thing
rc:CovalentBond,rdfs:subClassOf,rc:ChemicalBond
rc:CovalentBond,rdfs:subClassOf,owl:Thing
rc:Augments,rdfs:subClassOf,kko:Associatives
rc:Augments,rdfs:subClassOf,owl:Thing
rc:ModalFrame,rdfs:subClassOf,rc:Tune
rc:ModalFrame,rdfs:subClassOf,owl:Thing
rc:Directory_ReferenceWork,rdfs:subClassOf,rc:ReferenceWork_Written
rc:Directory_ReferenceWork,rdfs:subClassOf,owl:Thing
