id,subclassof,parent
rc:MountainHut,rdfs:subClassOf,rc:Hut
rc:MountainHut,rdfs:subClassOf,owl:Thing
rc:IndianSatire,rdfs:subClassOf,rc:Satire
rc:IndianSatire,rdfs:subClassOf,owl:Thing
rc:AdultFemaleHuman,rdfs:subClassOf,rc:FemaleHuman
rc:AdultFemaleHuman,rdfs:subClassOf,owl:Thing
rc:AnxietyDisorder,rdfs:subClassOf,rc:Nervousness
rc:AnxietyDisorder,rdfs:subClassOf,owl:Thing
rc:AmericanPatriotism,rdfs:subClassOf,rc:Patriotism
rc:AmericanPatriotism,rdfs:subClassOf,owl:Thing
rc:Wonder_Admiration,rdfs:subClassOf,rc:Admiration
rc:Wonder_Admiration,rdfs:subClassOf,owl:Thing
rc:Intrigue,rdfs:subClassOf,rc:Interest_Feeling
rc:Intrigue,rdfs:subClassOf,owl:Thing
rc:Potential,rdfs:subClassOf,rc:ElementalAttribute
rc:Potential,rdfs:subClassOf,owl:Thing
rc:ApartmentBuilding,rdfs:subClassOf,rc:MultiFamilyHousing
rc:ApartmentBuilding,rdfs:subClassOf,owl:Thing
rc:Boatyard,rdfs:subClassOf,rc:Workplace
rc:Boatyard,rdfs:subClassOf,owl:Thing
rc:Penis,rdfs:subClassOf,rc:AnimalBodyPart_Male
rc:Penis,rdfs:subClassOf,owl:Thing
rc:HermaphroditicPlantSpecies,rdfs:subClassOf,rc:AngiospermReproduction
rc:HermaphroditicPlantSpecies,rdfs:subClassOf,owl:Thing
rc:Schloss,rdfs:subClassOf,rc:Large_DetachedHouse
rc:Schloss,rdfs:subClassOf,owl:Thing
rc:Blonde_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Blonde_HairColor,rdfs:subClassOf,owl:Thing
rc:Uncertainty,rdfs:subClassOf,rc:FeelingAttribute
rc:Uncertainty,rdfs:subClassOf,owl:Thing
rc:CoffeeShopSpace,rdfs:subClassOf,rc:RestaurantSpace
rc:CoffeeShopSpace,rdfs:subClassOf,owl:Thing
rc:WireFence,rdfs:subClassOf,rc:Fence
rc:WireFence,rdfs:subClassOf,owl:Thing
rc:AirplaneControlWorkStation,rdfs:subClassOf,rc:WorkStation
rc:AirplaneControlWorkStation,rdfs:subClassOf,owl:Thing
rc:Middle_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:Middle_LevelCloud,rdfs:subClassOf,owl:Thing
rc:Breakwater,rdfs:subClassOf,rc:Wall_Vertical
rc:Breakwater,rdfs:subClassOf,owl:Thing
rc:ClergyHouse,rdfs:subClassOf,rc:ReligiousResidence
rc:ClergyHouse,rdfs:subClassOf,owl:Thing
rc:Mill_ManufacturingFacility,rdfs:subClassOf,rc:ManufacturingFacility
rc:Mill_ManufacturingFacility,rdfs:subClassOf,owl:Thing
rc:AnsweringMachine,rdfs:subClassOf,rc:ContactLocation
rc:AnsweringMachine,rdfs:subClassOf,owl:Thing
rc:Horse_Stallion,rdfs:subClassOf,rc:Male_Horse
rc:Horse_Stallion,rdfs:subClassOf,owl:Thing
rc:ArmyBase_Grounds,rdfs:subClassOf,rc:MilitaryBase_Grounds
rc:ArmyBase_Grounds,rdfs:subClassOf,owl:Thing
rc:MilitaryCamouflage,rdfs:subClassOf,rc:CamouflagePattern
rc:MilitaryCamouflage,rdfs:subClassOf,owl:Thing
rc:Reluctance,rdfs:subClassOf,rc:Dislike
rc:Reluctance,rdfs:subClassOf,owl:Thing
rc:BottomSide,rdfs:subClassOf,rc:Side
rc:BottomSide,rdfs:subClassOf,owl:Thing
rc:Pleasure_Feeling,rdfs:subClassOf,rc:FeelingAttribute
rc:Pleasure_Feeling,rdfs:subClassOf,owl:Thing
rc:Hungry,rdfs:subClassOf,rc:Situants
rc:Hungry,rdfs:subClassOf,owl:Thing
rc:PanNationalism,rdfs:subClassOf,rc:Nationalism
rc:PanNationalism,rdfs:subClassOf,owl:Thing
rc:IOSSoftware,rdfs:subClassOf,rc:IPhone_AppleCellphone
rc:IOSSoftware,rdfs:subClassOf,owl:Thing
rc:NonAspectualAttribute,rdfs:subClassOf,rc:QualityAttribute
rc:NonAspectualAttribute,rdfs:subClassOf,owl:Thing
rc:SpeciesByIUCNRedListsCategory,rdfs:subClassOf,rc:BiologicalSpecies
rc:SpeciesByIUCNRedListsCategory,rdfs:subClassOf,owl:Thing
rc:Statesman,rdfs:subClassOf,rc:MaleHuman
rc:Statesman,rdfs:subClassOf,owl:Thing
rc:AwarenessAttribute,rdfs:subClassOf,rc:Situants
rc:AwarenessAttribute,rdfs:subClassOf,owl:Thing
rc:BillingLocation,rdfs:subClassOf,rc:MailingLocation
rc:BillingLocation,rdfs:subClassOf,owl:Thing
rc:Hero,rdfs:subClassOf,rc:MaleHuman
rc:Hero,rdfs:subClassOf,owl:Thing
rc:DiffusedLightingCamouflage,rdfs:subClassOf,rc:CamouflagePattern
rc:DiffusedLightingCamouflage,rdfs:subClassOf,owl:Thing
rc:King_HeadOfState,rdfs:subClassOf,rc:MaleHuman
rc:King_HeadOfState,rdfs:subClassOf,owl:Thing
rc:CephalicDirection,rdfs:subClassOf,rc:AnatomicalDirection
rc:CephalicDirection,rdfs:subClassOf,owl:Thing
rc:NationalismStudies,rdfs:subClassOf,rc:Nationalism
rc:NationalismStudies,rdfs:subClassOf,owl:Thing
rc:Convent_Residence,rdfs:subClassOf,rc:Abbey
rc:Convent_Residence,rdfs:subClassOf,rc:ResidentialBuilding
rc:Convent_Residence,rdfs:subClassOf,owl:Thing
rc:DioeciousPlantSpecies,rdfs:subClassOf,rc:AngiospermReproduction
rc:DioeciousPlantSpecies,rdfs:subClassOf,owl:Thing
rc:ConfigurationAttribute,rdfs:subClassOf,kko:IntrinsicAttributes
rc:ConfigurationAttribute,rdfs:subClassOf,owl:Thing
rc:KingGustavV,rdfs:subClassOf,rc:King_HeadOfState
rc:KingGustavV,rdfs:subClassOf,owl:Thing
rc:Office,rdfs:subClassOf,rc:OfficeBuilding
rc:Office,rdfs:subClassOf,owl:Thing
rc:ReproductiveSystem_Female,rdfs:subClassOf,rc:AnimalBodyPart_Female
rc:ReproductiveSystem_Female,rdfs:subClassOf,owl:Thing
rc:Confusion_Generic,rdfs:subClassOf,rc:FeelingAttribute
rc:Confusion_Generic,rdfs:subClassOf,owl:Thing
rc:Disappointment,rdfs:subClassOf,rc:Sadness
rc:Disappointment,rdfs:subClassOf,owl:Thing
rc:AfricanAndBlackNationalism,rdfs:subClassOf,rc:Nationalism
rc:AfricanAndBlackNationalism,rdfs:subClassOf,owl:Thing
rc:Male,rdfs:subClassOf,rc:BiologicalSex
rc:Male,rdfs:subClassOf,owl:Thing
rc:DorsalDirection,rdfs:subClassOf,rc:AnatomicalDirection
rc:DorsalDirection,rdfs:subClassOf,rc:DirectionalAttributes
rc:DorsalDirection,rdfs:subClassOf,owl:Thing
rc:Automimicry,rdfs:subClassOf,rc:Mimicry
rc:Automimicry,rdfs:subClassOf,owl:Thing
rc:DriveInTheater,rdfs:subClassOf,rc:MovieTheaterSpace
rc:DriveInTheater,rdfs:subClassOf,owl:Thing
rc:CheckPattern,rdfs:subClassOf,rc:VisualPattern
rc:CheckPattern,rdfs:subClassOf,owl:Thing
rc:Monastery_Residence,rdfs:subClassOf,rc:ReligiousResidence
rc:Monastery_Residence,rdfs:subClassOf,owl:Thing
rc:EventAttributes,rdfs:subClassOf,rc:Eventuals
rc:EventAttributes,rdfs:subClassOf,owl:Thing
rc:RetroStyle,rdfs:subClassOf,rc:Nostalgia
rc:RetroStyle,rdfs:subClassOf,owl:Thing
rc:BiologicalSubfamily,rdfs:subClassOf,rc:BiologicalTaxon
rc:BiologicalSubfamily,rdfs:subClassOf,owl:Thing
rc:HenryIIHolyRomanEmperor,rdfs:subClassOf,rc:HolyRomanEmperor
rc:HenryIIHolyRomanEmperor,rdfs:subClassOf,owl:Thing
rc:AlphaEmitter,rdfs:subClassOf,rc:RadioactiveIsotope
rc:AlphaEmitter,rdfs:subClassOf,owl:Thing
rc:BeefcakeModel,rdfs:subClassOf,rc:MaleHuman
rc:BeefcakeModel,rdfs:subClassOf,owl:Thing
rc:Peacock,rdfs:subClassOf,rc:MaleAnimal
rc:Peacock,rdfs:subClassOf,owl:Thing
rc:ChechenNationalHero,rdfs:subClassOf,rc:Hero
rc:ChechenNationalHero,rdfs:subClassOf,owl:Thing
rc:Brown_EyeColor,rdfs:subClassOf,rc:HumanEyeColor
rc:Brown_EyeColor,rdfs:subClassOf,owl:Thing
rc:BiologicalClass,rdfs:subClassOf,rc:BiologicalTaxon
rc:BiologicalClass,rdfs:subClassOf,owl:Thing
rc:PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,rc:Prince
rc:PrincePhilipDukeOfEdinburgh,rdfs:subClassOf,owl:Thing
rc:BuckinghamPalace,rdfs:subClassOf,rc:OfficialResidence
rc:BuckinghamPalace,rdfs:subClassOf,owl:Thing
rc:Cervix,rdfs:subClassOf,rc:AnimalBodyPart_Female
rc:Cervix,rdfs:subClassOf,owl:Thing
rc:Longing,rdfs:subClassOf,rc:FeelingAttribute
rc:Longing,rdfs:subClassOf,owl:Thing
rc:Loneliness,rdfs:subClassOf,rc:Displeasure
rc:Loneliness,rdfs:subClassOf,owl:Thing
rc:PathAttributes,rdfs:subClassOf,rc:MappableAttributes
rc:PathAttributes,rdfs:subClassOf,owl:Thing
rc:Auburn_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Auburn_HairColor,rdfs:subClassOf,owl:Thing
rc:AltoCumulusCloud,rdfs:subClassOf,rc:Middle_LevelCloud
rc:AltoCumulusCloud,rdfs:subClassOf,owl:Thing
rc:CountsOfHabsburg,rdfs:subClassOf,rc:Count_Nobleman
rc:CountsOfHabsburg,rdfs:subClassOf,owl:Thing
rc:BlackishBlue_Color,rdfs:subClassOf,rc:Black_HairColor
rc:BlackishBlue_Color,rdfs:subClassOf,owl:Thing
rc:GeosynchronousEarthOrbit,rdfs:subClassOf,rc:Airborne
rc:GeosynchronousEarthOrbit,rdfs:subClassOf,rc:GeographicalDirection
rc:GeosynchronousEarthOrbit,rdfs:subClassOf,owl:Thing
rc:PalaceOfWestminster,rdfs:subClassOf,rc:PalaceBuilding
rc:PalaceOfWestminster,rdfs:subClassOf,owl:Thing
rc:Baroness,rdfs:subClassOf,rc:FemaleHuman
rc:Baroness,rdfs:subClassOf,owl:Thing
rc:Curiosity,rdfs:subClassOf,rc:FeelingAttribute
rc:Curiosity,rdfs:subClassOf,owl:Thing
rc:HeavilyArmored,rdfs:subClassOf,rc:ElementalAttribute
