id,subclassof,parent
rc:Ligand,rdfs:subClassOf,rc:SignalTransduction_CellularProcess
rc:Ligand,rdfs:subClassOf,owl:Thing
rc:BiochemicalSynthesis,rdfs:subClassOf,rc:MetabolicProcess
rc:BiochemicalSynthesis,rdfs:subClassOf,owl:Thing
rc:Shedding,rdfs:subClassOf,rc:BodilyFunction
rc:Shedding,rdfs:subClassOf,owl:Thing
rc:Giggling,rdfs:subClassOf,rc:Laughing
rc:Giggling,rdfs:subClassOf,owl:Thing
rc:BodilyFunction_Involuntary,rdfs:subClassOf,rc:BodilyFunction
rc:BodilyFunction_Involuntary,rdfs:subClassOf,owl:Thing
rc:Cytokinesis_MeiosisII,rdfs:subClassOf,rc:Cytokinesis
rc:Cytokinesis_MeiosisII,rdfs:subClassOf,owl:Thing
rc:Replication_DNA,rdfs:subClassOf,rc:SingleCellBiologicalProcess
rc:Replication_DNA,rdfs:subClassOf,owl:Thing
rc:Aspirating,rdfs:subClassOf,rc:Inhaling
rc:Aspirating,rdfs:subClassOf,owl:Thing
rc:EcologicalCycle,rdfs:subClassOf,rc:BiologicalCycle
rc:EcologicalCycle,rdfs:subClassOf,owl:Thing
rc:HumanDevelopment,rdfs:subClassOf,rc:BiologicalDevelopmentProcess
rc:HumanDevelopment,rdfs:subClassOf,owl:Thing
rc:CalvinCycle,rdfs:subClassOf,rc:Anabolism
rc:CalvinCycle,rdfs:subClassOf,owl:Thing
rc:AdhesionGPCR,rdfs:subClassOf,rc:SignalTransduction_CellularProcess
rc:AdhesionGPCR,rdfs:subClassOf,owl:Thing
rc:CellularRespiration_Aerobic,rdfs:subClassOf,rc:CatabolicPathway
rc:CellularRespiration_Aerobic,rdfs:subClassOf,owl:Thing
rc:StingingByBee,rdfs:subClassOf,rc:StingingByAnimal
rc:StingingByBee,rdfs:subClassOf,owl:Thing
rc:ProkaryoticProteinSynthesis,rdfs:subClassOf,rc:CellularProteinSynthesis
rc:ProkaryoticProteinSynthesis,rdfs:subClassOf,owl:Thing
rc:Inhaling_BreathingIn,rdfs:subClassOf,rc:Inhaling_Air
rc:Inhaling_BreathingIn,rdfs:subClassOf,owl:Thing
rc:TerrestrialEcoCycle,rdfs:subClassOf,rc:EcologicalCycle
rc:TerrestrialEcoCycle,rdfs:subClassOf,owl:Thing
rc:Metaphase_Generic,rdfs:subClassOf,rc:AligningOfChromosomes
rc:Metaphase_Generic,rdfs:subClassOf,rc:MitosisSubprocessType
rc:Metaphase_Generic,rdfs:subClassOf,owl:Thing
rc:Low_DensityLipoproteinReceptorProtein,rdfs:subClassOf,rc:CellularProteinSynthesis
rc:Low_DensityLipoproteinReceptorProtein,rdfs:subClassOf,owl:Thing
rc:Synapsis,rdfs:subClassOf,rc:Prophase
rc:Synapsis,rdfs:subClassOf,owl:Thing
rc:GProtein,rdfs:subClassOf,rc:SignalTransduction_CellularProcess
rc:GProtein,rdfs:subClassOf,owl:Thing
rc:Anabolism,rdfs:subClassOf,rc:MetabolicProcess
rc:Anabolism,rdfs:subClassOf,owl:Thing
rc:GeneticProcess,rdfs:subClassOf,kko:BiologicalProcesses
rc:GeneticProcess,rdfs:subClassOf,owl:Thing
rc:OxygenicPhotosynthesis,rdfs:subClassOf,rc:Photosynthesis_Generic
rc:OxygenicPhotosynthesis,rdfs:subClassOf,owl:Thing
rc:Fermentation,rdfs:subClassOf,rc:AnaerobicBiochemicalProcess
rc:Fermentation,rdfs:subClassOf,rc:BiologicalProcess_CellularLevel
rc:Fermentation,rdfs:subClassOf,rc:CellularRespiration_Aerobic
rc:Fermentation,rdfs:subClassOf,owl:Thing
rc:Emetic,rdfs:subClassOf,rc:Vomiting
rc:Emetic,rdfs:subClassOf,owl:Thing
rc:BiologicalTransportationProcess,rdfs:subClassOf,rc:PhysiologicalProcess
rc:BiologicalTransportationProcess,rdfs:subClassOf,owl:Thing
rc:Scowling,rdfs:subClassOf,rc:Frowning
rc:Scowling,rdfs:subClassOf,owl:Thing
rc:Mitosis,rdfs:subClassOf,rc:CellDivision
rc:Mitosis,rdfs:subClassOf,owl:Thing
rc:AnatomicalStructureMorphogenesis,rdfs:subClassOf,rc:BiologicalDevelopmentProcess
rc:AnatomicalStructureMorphogenesis,rdfs:subClassOf,owl:Thing
rc:BiogeochemicalCycle,rdfs:subClassOf,rc:TerrestrialEcoCycle
rc:BiogeochemicalCycle,rdfs:subClassOf,owl:Thing
rc:MaleMasturbation,rdfs:subClassOf,rc:Ejaculating
rc:MaleMasturbation,rdfs:subClassOf,owl:Thing
rc:Bleeding_TheAction,rdfs:subClassOf,rc:BodilyFunction_Involuntary
rc:Bleeding_TheAction,rdfs:subClassOf,owl:Thing
rc:MenstrualCycle,rdfs:subClassOf,rc:Menstruating
rc:MenstrualCycle,rdfs:subClassOf,owl:Thing
rc:Smirking,rdfs:subClassOf,rc:Smiling
rc:Smirking,rdfs:subClassOf,owl:Thing
rc:PosttranslationalModification,rdfs:subClassOf,rc:CellularProteinSynthesis
rc:PosttranslationalModification,rdfs:subClassOf,owl:Thing
rc:Systole,rdfs:subClassOf,rc:InvoluntaryBodyMovement
rc:Systole,rdfs:subClassOf,owl:Thing
rc:Resting_Relaxing,rdfs:subClassOf,rc:BodilyFunction
rc:Resting_Relaxing,rdfs:subClassOf,owl:Thing
rc:KrebsCycle,rdfs:subClassOf,rc:CellularRespiration_Aerobic
rc:KrebsCycle,rdfs:subClassOf,owl:Thing
rc:Diastole,rdfs:subClassOf,rc:InvoluntaryBodyMovement
rc:Diastole,rdfs:subClassOf,owl:Thing
rc:SplutteringSomething,rdfs:subClassOf,rc:Spitting
rc:SplutteringSomething,rdfs:subClassOf,owl:Thing
rc:Budding_Cellular,rdfs:subClassOf,rc:CellDivision
rc:Budding_Cellular,rdfs:subClassOf,owl:Thing
rc:AmylaseInducedFermentation,rdfs:subClassOf,rc:Fermentation
rc:AmylaseInducedFermentation,rdfs:subClassOf,owl:Thing
rc:Respiration,rdfs:subClassOf,rc:BodilyFunction_Involuntary
