id,subclassof,parent
rc:LearningThat,rdfs:subClassOf,rc:LearningMethod
rc:LearningThat,rdfs:subClassOf,owl:Thing
rc:EcholocationPerception,rdfs:subClassOf,rc:Senses
rc:EcholocationPerception,rdfs:subClassOf,owl:Thing
rc:ChessTheory,rdfs:subClassOf,rc:GameTheory
rc:ChessTheory,rdfs:subClassOf,owl:Thing
rc:SustainableTransport,rdfs:subClassOf,rc:Transportation_Topic
rc:SustainableTransport,rdfs:subClassOf,owl:Thing
rc:FileManagement_Topic,rdfs:subClassOf,rc:Computers_Topic
rc:FileManagement_Topic,rdfs:subClassOf,owl:Thing
rc:ClimateOfTheTampaBayArea,rdfs:subClassOf,rc:ClimateOfTheUnitedStates
rc:ClimateOfTheTampaBayArea,rdfs:subClassOf,owl:Thing
rc:ASCII_Art,rdfs:subClassOf,rc:DigitalArtObject
rc:ASCII_Art,rdfs:subClassOf,owl:Thing
rc:Sunlight_Direct,rdfs:subClassOf,rc:Sunlight
rc:Sunlight_Direct,rdfs:subClassOf,owl:Thing
rc:WatchingSomething,rdfs:subClassOf,rc:VisualPerception
rc:WatchingSomething,rdfs:subClassOf,owl:Thing
rc:LeadershipStudies,rdfs:subClassOf,rc:Leadership
rc:LeadershipStudies,rdfs:subClassOf,owl:Thing
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:GraphTheory
rc:AlgebraicGraphTheory,rdfs:subClassOf,owl:Thing
rc:ModularPowerCord,rdfs:subClassOf,rc:PowerCord
rc:ModularPowerCord,rdfs:subClassOf,owl:Thing
rc:Fountain_ArtObject,rdfs:subClassOf,rc:Sculpture
rc:Fountain_ArtObject,rdfs:subClassOf,owl:Thing
rc:EpistemicLogic,rdfs:subClassOf,rc:ConceptInLogic
rc:EpistemicLogic,rdfs:subClassOf,owl:Thing
rc:PropositionalFallacy,rdfs:subClassOf,rc:LogicalFallacy
rc:PropositionalFallacy,rdfs:subClassOf,owl:Thing
rc:Photovoltaics,rdfs:subClassOf,rc:Energy_Renewable
rc:Photovoltaics,rdfs:subClassOf,owl:Thing
