id,subclassof,parent
rc:LymphocyticLeukemia,rdfs:subClassOf,rc:Leukemia
rc:LymphocyticLeukemia,rdfs:subClassOf,owl:Thing
rc:Ascariasis,rdfs:subClassOf,rc:WormInfestation
rc:Ascariasis,rdfs:subClassOf,owl:Thing
rc:DiseaseOfTheAorta,rdfs:subClassOf,rc:CardiovascularDiseases
rc:DiseaseOfTheAorta,rdfs:subClassOf,owl:Thing
rc:Nearsightedness,rdfs:subClassOf,rc:OphthalmicDisorder
rc:Nearsightedness,rdfs:subClassOf,owl:Thing
rc:LegalAspectsOfDeath,rdfs:subClassOf,rc:Dying
rc:LegalAspectsOfDeath,rdfs:subClassOf,owl:Thing
rc:AtRisk,rdfs:subClassOf,rc:OrganismTypeByAilment
rc:AtRisk,rdfs:subClassOf,owl:Thing
rc:OsteitisFibrosaCystica,rdfs:subClassOf,rc:DiseaseAfflictingPart_Bone_BodyPart
rc:OsteitisFibrosaCystica,rdfs:subClassOf,owl:Thing
rc:DiseaseAgent,rdfs:subClassOf,kko:Diseases
rc:DiseaseAgent,rdfs:subClassOf,owl:Thing
rc:JuninHemorrhagicFever,rdfs:subClassOf,rc:ViralHemorrhagicFeverInfection
rc:JuninHemorrhagicFever,rdfs:subClassOf,owl:Thing
rc:BaltoFilm,rdfs:subClassOf,rc:Diphtheria
rc:BaltoFilm,rdfs:subClassOf,owl:Thing
rc:InflammatoryDisease,rdfs:subClassOf,rc:InflammationCondition
rc:InflammatoryDisease,rdfs:subClassOf,owl:Thing
rc:RuminationSyndrome,rdfs:subClassOf,rc:EatingDisorder
rc:RuminationSyndrome,rdfs:subClassOf,owl:Thing
rc:MilkAllergy,rdfs:subClassOf,rc:DairyAllergy
rc:MilkAllergy,rdfs:subClassOf,owl:Thing
rc:ParaphilicSexualBehavior,rdfs:subClassOf,rc:Paraphilia
rc:ParaphilicSexualBehavior,rdfs:subClassOf,owl:Thing
rc:PsychologicalAilment,rdfs:subClassOf,rc:PsychologicalDisorders
rc:PsychologicalAilment,rdfs:subClassOf,owl:Thing
rc:Thrombosis_DeepVein,rdfs:subClassOf,rc:CardiovascularMorbidity
rc:Thrombosis_DeepVein,rdfs:subClassOf,rc:Thrombosis
rc:Thrombosis_DeepVein,rdfs:subClassOf,owl:Thing
rc:TopDyingDisease,rdfs:subClassOf,rc:PlantDisease
rc:TopDyingDisease,rdfs:subClassOf,owl:Thing
rc:TracheobronchialInjury,rdfs:subClassOf,rc:InjuryToOssa
rc:TracheobronchialInjury,rdfs:subClassOf,owl:Thing
rc:Dysmenorrhea,rdfs:subClassOf,rc:Pain_PhysiologicalCondition
rc:Dysmenorrhea,rdfs:subClassOf,owl:Thing
rc:CeliacDisease,rdfs:subClassOf,rc:GastrointestinalDisorder
rc:CeliacDisease,rdfs:subClassOf,owl:Thing
rc:HavingTheChills,rdfs:subClassOf,rc:SelfLimitingCondition
rc:HavingTheChills,rdfs:subClassOf,owl:Thing
rc:PrepatellarBursitis,rdfs:subClassOf,rc:JointPain
rc:PrepatellarBursitis,rdfs:subClassOf,owl:Thing
rc:HypertrophicCardiomyopathy,rdfs:subClassOf,rc:Cardiomyopathy
rc:HypertrophicCardiomyopathy,rdfs:subClassOf,owl:Thing
rc:MacularDegeneration,rdfs:subClassOf,rc:OphthalmicDisorder
rc:MacularDegeneration,rdfs:subClassOf,owl:Thing
rc:CoxsackieVirus,rdfs:subClassOf,rc:SelfLimitingCondition
rc:CoxsackieVirus,rdfs:subClassOf,rc:ViralInfection
rc:CoxsackieVirus,rdfs:subClassOf,owl:Thing
rc:CerebralVenousSinusThrombosis,rdfs:subClassOf,rc:Thrombosis
rc:CerebralVenousSinusThrombosis,rdfs:subClassOf,owl:Thing
rc:DeathOfTheVictim,rdfs:subClassOf,rc:Dying
rc:DeathOfTheVictim,rdfs:subClassOf,owl:Thing
rc:CentralNervousSystemInfection,rdfs:subClassOf,rc:CentralNervousSystemDisease
rc:CentralNervousSystemInfection,rdfs:subClassOf,owl:Thing
rc:AutoImmuneDisorder,rdfs:subClassOf,rc:NonCardiovascularDiseases
rc:AutoImmuneDisorder,rdfs:subClassOf,owl:Thing
rc:RespiratoryArrest,rdfs:subClassOf,rc:RespiratoryAilment
rc:RespiratoryArrest,rdfs:subClassOf,owl:Thing
rc:Fisting,rdfs:subClassOf,rc:ParaphilicSexualBehavior
rc:Fisting,rdfs:subClassOf,owl:Thing
rc:CadmiumPoisoning,rdfs:subClassOf,rc:Poisoning
rc:CadmiumPoisoning,rdfs:subClassOf,owl:Thing
rc:DiabeticKetoacidosis,rdfs:subClassOf,rc:DiabetesMellitus_Type2
rc:DiabeticKetoacidosis,rdfs:subClassOf,owl:Thing
rc:AortaAneurysmOrDissection,rdfs:subClassOf,rc:AneurysmOrDissection
rc:AortaAneurysmOrDissection,rdfs:subClassOf,rc:DiseaseOfTheAorta
rc:AortaAneurysmOrDissection,rdfs:subClassOf,owl:Thing
rc:Pedophilia_FemaleChild,rdfs:subClassOf,rc:Pedophilia_TheAction
rc:Pedophilia_FemaleChild,rdfs:subClassOf,owl:Thing
rc:Mesothelioma,rdfs:subClassOf,rc:TypeOfCancer
rc:Mesothelioma,rdfs:subClassOf,owl:Thing
rc:Epilepsy,rdfs:subClassOf,rc:NeurologicalAilmentCondition
rc:Epilepsy,rdfs:subClassOf,owl:Thing
rc:Mutagen,rdfs:subClassOf,rc:CarcinogenType
rc:Mutagen,rdfs:subClassOf,owl:Thing
rc:EdwardsSyndrome,rdfs:subClassOf,rc:AutosomalTrisomy
rc:EdwardsSyndrome,rdfs:subClassOf,owl:Thing
rc:Monkeypox,rdfs:subClassOf,rc:FeverInfection
rc:Monkeypox,rdfs:subClassOf,rc:ViralInfection
rc:Monkeypox,rdfs:subClassOf,owl:Thing
rc:LeadPoisoning,rdfs:subClassOf,rc:OccupationalDisorder
rc:LeadPoisoning,rdfs:subClassOf,owl:Thing
rc:AIDSDementiaComplex,rdfs:subClassOf,rc:PsychologicalAilment
rc:AIDSDementiaComplex,rdfs:subClassOf,owl:Thing
rc:ShinSplints,rdfs:subClassOf,rc:OtherDisorder
rc:ShinSplints,rdfs:subClassOf,owl:Thing
rc:ViralPneumonia,rdfs:subClassOf,rc:Pneumonia
rc:ViralPneumonia,rdfs:subClassOf,rc:ViralInfection
rc:ViralPneumonia,rdfs:subClassOf,owl:Thing
rc:Gerontophilia,rdfs:subClassOf,rc:ParaphilicSexualBehavior
rc:Gerontophilia,rdfs:subClassOf,owl:Thing
rc:RunnyNose,rdfs:subClassOf,rc:SelfLimitingCondition
rc:RunnyNose,rdfs:subClassOf,owl:Thing
rc:SkinLaceration,rdfs:subClassOf,rc:Injury_Object
rc:SkinLaceration,rdfs:subClassOf,owl:Thing
rc:LymeDisease,rdfs:subClassOf,rc:BacterialInfection
rc:LymeDisease,rdfs:subClassOf,rc:VectorBorneInfection
rc:LymeDisease,rdfs:subClassOf,owl:Thing
rc:MuscularDystrophy,rdfs:subClassOf,rc:GeneticCondition
rc:MuscularDystrophy,rdfs:subClassOf,rc:LifeThreateningCondition
rc:MuscularDystrophy,rdfs:subClassOf,owl:Thing
rc:NerveInfection,rdfs:subClassOf,rc:Infection
rc:NerveInfection,rdfs:subClassOf,owl:Thing
rc:PulmonaryEmbolism,rdfs:subClassOf,rc:LungDisease
rc:PulmonaryEmbolism,rdfs:subClassOf,owl:Thing
rc:Machupo,rdfs:subClassOf,rc:HemorrhagicFeverInfection
