id,subclassof,parent
rc:CombinationImagingMediaRadiopharmaceutical,rdfs:subClassOf,rc:RadiopharmaceuticalContrastMedia
rc:CombinationImagingMediaRadiopharmaceutical,rdfs:subClassOf,owl:Thing
rc:Berberine,rdfs:subClassOf,rc:Alkaloid
rc:Berberine,rdfs:subClassOf,owl:Thing
rc:Ketamine,rdfs:subClassOf,rc:Anesthetic
rc:Ketamine,rdfs:subClassOf,owl:Thing
rc:MethysergideMaleate,rdfs:subClassOf,rc:AntiHeadacheAgent
rc:MethysergideMaleate,rdfs:subClassOf,owl:Thing
rc:Ammonia,rdfs:subClassOf,rc:WeakElectrolyte
rc:Ammonia,rdfs:subClassOf,owl:Thing
rc:Placebo,rdfs:subClassOf,kko:Drugs
rc:Placebo,rdfs:subClassOf,owl:Thing
rc:AntihypertensivePhthalazine,rdfs:subClassOf,rc:AntihypertensiveDrug
rc:AntihypertensivePhthalazine,rdfs:subClassOf,owl:Thing
rc:Flurandrenolide,rdfs:subClassOf,rc:Steroid
rc:Flurandrenolide,rdfs:subClassOf,owl:Thing
rc:Doxefazepam,rdfs:subClassOf,rc:Benzodiazepine
rc:Doxefazepam,rdfs:subClassOf,owl:Thing
rc:QuinoloneAntibacterial,rdfs:subClassOf,rc:Antibacterial
rc:QuinoloneAntibacterial,rdfs:subClassOf,owl:Thing
rc:Ciclesonide,rdfs:subClassOf,rc:Glucocorticoid
rc:Ciclesonide,rdfs:subClassOf,owl:Thing
rc:SodiumPentothal,rdfs:subClassOf,rc:PrescriptionDrug
rc:SodiumPentothal,rdfs:subClassOf,owl:Thing
rc:Creatine,rdfs:subClassOf,rc:Vitamin
rc:Creatine,rdfs:subClassOf,owl:Thing
rc:Capsule_Ingestible,rdfs:subClassOf,rc:Pill
rc:Capsule_Ingestible,rdfs:subClassOf,owl:Thing
rc:RabiesVaccine,rdfs:subClassOf,rc:Vaccine
rc:RabiesVaccine,rdfs:subClassOf,rc:VaccineAntigenToxoid
rc:RabiesVaccine,rdfs:subClassOf,owl:Thing
rc:CombinationAntiacneAgent,rdfs:subClassOf,rc:EarEyeNoseSkinDrug
rc:CombinationAntiacneAgent,rdfs:subClassOf,owl:Thing
rc:AnalgesicPhenol,rdfs:subClassOf,rc:ControlledSubstanceAnalgesic
rc:AnalgesicPhenol,rdfs:subClassOf,owl:Thing
rc:Trimethadione,rdfs:subClassOf,rc:Anticonvulsant
rc:Trimethadione,rdfs:subClassOf,owl:Thing
rc:SynthesizedSympathomimeticAdrenergicDrug,rdfs:subClassOf,rc:SympathomimeticAdrenergicDrug
rc:SynthesizedSympathomimeticAdrenergicDrug,rdfs:subClassOf,owl:Thing
rc:AntihistamineH1BlockerPhthalazine,rdfs:subClassOf,rc:Antihistamine
rc:AntihistamineH1BlockerPhthalazine,rdfs:subClassOf,owl:Thing
rc:PotassiumAmide,rdfs:subClassOf,rc:StrongElectrolyte
rc:PotassiumAmide,rdfs:subClassOf,owl:Thing
rc:Metiamide,rdfs:subClassOf,rc:Ether
rc:Metiamide,rdfs:subClassOf,rc:HistamineH2ReceptorAntagonist
rc:Metiamide,rdfs:subClassOf,owl:Thing
rc:AntisepticBorateRelated,rdfs:subClassOf,rc:Antiseptic
rc:AntisepticBorateRelated,rdfs:subClassOf,owl:Thing
rc:Epoxide,rdfs:subClassOf,rc:Ether
rc:Epoxide,rdfs:subClassOf,owl:Thing
rc:BismuthSubnitrate,rdfs:subClassOf,rc:Antacid
rc:BismuthSubnitrate,rdfs:subClassOf,owl:Thing
rc:HerbalTea,rdfs:subClassOf,rc:InfusionDrink
rc:HerbalTea,rdfs:subClassOf,owl:Thing
rc:Estradiol,rdfs:subClassOf,rc:Estrogen
rc:Estradiol,rdfs:subClassOf,owl:Thing
rc:AntidiabeticHyperglycemicAmine,rdfs:subClassOf,rc:HormoneHormoneAntagonist
rc:AntidiabeticHyperglycemicAmine,rdfs:subClassOf,owl:Thing
rc:CapsuleTimeRelease,rdfs:subClassOf,rc:Capsule_Ingestible
rc:CapsuleTimeRelease,rdfs:subClassOf,owl:Thing
