id,subclassof,parent
rc:OnlineInvesting,rdfs:subClassOf,rc:Investing
rc:OnlineInvesting,rdfs:subClassOf,owl:Thing
rc:Reimbursement,rdfs:subClassOf,rc:LoanPayment
rc:Reimbursement,rdfs:subClassOf,rc:LoanRepaying
rc:Reimbursement,rdfs:subClassOf,owl:Thing
rc:InternationalTradeRegulation,rdfs:subClassOf,rc:TradePolicyRegulation
rc:InternationalTradeRegulation,rdfs:subClassOf,owl:Thing
rc:BlueChipStock,rdfs:subClassOf,rc:Stock
rc:BlueChipStock,rdfs:subClassOf,owl:Thing
rc:LoanConsolidation,rdfs:subClassOf,rc:BusinessRelationshipActivity
rc:LoanConsolidation,rdfs:subClassOf,rc:FinancingByBorrowing
rc:LoanConsolidation,rdfs:subClassOf,owl:Thing
rc:Computer_WorkStation,rdfs:subClassOf,rc:WorkStation
rc:Computer_WorkStation,rdfs:subClassOf,owl:Thing
rc:MoneyBackGuarantee,rdfs:subClassOf,rc:Warranty
rc:MoneyBackGuarantee,rdfs:subClassOf,owl:Thing
rc:EconomicSystem,rdfs:subClassOf,kko:EconomicSystems
rc:EconomicSystem,rdfs:subClassOf,owl:Thing
rc:FreeMarketEconomicSystem,rdfs:subClassOf,rc:EconomicSystem
rc:FreeMarketEconomicSystem,rdfs:subClassOf,owl:Thing
rc:PilotsLicense_Document,rdfs:subClassOf,rc:TransportationLicense_Document
rc:PilotsLicense_Document,rdfs:subClassOf,owl:Thing
rc:RightToBuy,rdfs:subClassOf,rc:PurchaseDecision
rc:RightToBuy,rdfs:subClassOf,owl:Thing
rc:JudaismAndPeace,rdfs:subClassOf,rc:PeaceAccord
rc:JudaismAndPeace,rdfs:subClassOf,owl:Thing
rc:ParkInWyoming,rdfs:subClassOf,rc:Park
rc:ParkInWyoming,rdfs:subClassOf,owl:Thing
rc:DriveInTheater,rdfs:subClassOf,rc:MovieTheaterSpace
rc:DriveInTheater,rdfs:subClassOf,owl:Thing
rc:MortgageIndemnityGuarantee,rdfs:subClassOf,rc:MortgageInsurance
rc:MortgageIndemnityGuarantee,rdfs:subClassOf,owl:Thing
rc:ArmsControl,rdfs:subClassOf,rc:PeaceAccord
rc:ArmsControl,rdfs:subClassOf,owl:Thing
rc:Assets_Economics,rdfs:subClassOf,kko:EconomicSystems
rc:Assets_Economics,rdfs:subClassOf,owl:Thing
rc:BuyingAnObject,rdfs:subClassOf,rc:Buying
rc:BuyingAnObject,rdfs:subClassOf,owl:Thing
rc:Redevelopment,rdfs:subClassOf,rc:EconomicDevelopment
rc:Redevelopment,rdfs:subClassOf,owl:Thing
rc:VacationAccount,rdfs:subClassOf,rc:WorkAccount
rc:VacationAccount,rdfs:subClassOf,owl:Thing
rc:CoffeeHouse_Building,rdfs:subClassOf,rc:CommercialBuilding
rc:CoffeeHouse_Building,rdfs:subClassOf,owl:Thing
rc:CommercialLoanAgreement,rdfs:subClassOf,rc:AuthorizedAgreement
rc:CommercialLoanAgreement,rdfs:subClassOf,rc:Loan_WrittenLegalAgreement
rc:CommercialLoanAgreement,rdfs:subClassOf,owl:Thing
rc:FreeMeal,rdfs:subClassOf,rc:GivingSomething
rc:FreeMeal,rdfs:subClassOf,owl:Thing
rc:AmusementPark,rdfs:subClassOf,rc:TouristAttraction
rc:AmusementPark,rdfs:subClassOf,owl:Thing
kko:EconomicSystems,rdfs:subClassOf,owl:Thing
rc:HudsonRiverPark,rdfs:subClassOf,rc:Park
rc:HudsonRiverPark,rdfs:subClassOf,owl:Thing
rc:TrustAgreement,rdfs:subClassOf,rc:FinancialDocument
rc:TrustAgreement,rdfs:subClassOf,rc:TemporaryUserRightsAgreement
rc:TrustAgreement,rdfs:subClassOf,owl:Thing
rc:StockCertificate,rdfs:subClassOf,rc:FinancialDocument
rc:StockCertificate,rdfs:subClassOf,owl:Thing
rc:SatelliteFacility,rdfs:subClassOf,rc:CommercialBuilding
rc:SatelliteFacility,rdfs:subClassOf,owl:Thing
rc:AccountSystem,rdfs:subClassOf,rc:EconomicSystem
rc:AccountSystem,rdfs:subClassOf,owl:Thing
rc:MilitaryContract,rdfs:subClassOf,rc:SalesContract
rc:MilitaryContract,rdfs:subClassOf,owl:Thing
rc:EconomicDevelopmentTechnologicalChangeAndGrowth,rdfs:subClassOf,rc:EconomicDevelopment
rc:EconomicDevelopmentTechnologicalChangeAndGrowth,rdfs:subClassOf,owl:Thing
rc:ElectoralFraud,rdfs:subClassOf,rc:Fraud
rc:ElectoralFraud,rdfs:subClassOf,owl:Thing
rc:PennyCoin_US,rdfs:subClassOf,rc:Coin_US
rc:PennyCoin_US,rdfs:subClassOf,owl:Thing
rc:Skyscraper,rdfs:subClassOf,rc:OfficeBuilding
rc:Skyscraper,rdfs:subClassOf,owl:Thing
rc:FailingToMakeAPayment,rdfs:subClassOf,rc:FinancialActivity
rc:FailingToMakeAPayment,rdfs:subClassOf,owl:Thing
rc:Bill_Currency,rdfs:subClassOf,rc:Cash
rc:Bill_Currency,rdfs:subClassOf,owl:Thing
rc:FinancialInstrumentTransaction,rdfs:subClassOf,rc:Buying
rc:FinancialInstrumentTransaction,rdfs:subClassOf,owl:Thing
rc:Tax_COC,rdfs:subClassOf,rc:Assets_Economics
rc:Tax_COC,rdfs:subClassOf,owl:Thing
rc:CommonwealthWarGravesCommissionCemetery,rdfs:subClassOf,rc:Graveyard
rc:CommonwealthWarGravesCommissionCemetery,rdfs:subClassOf,owl:Thing
rc:Quarry,rdfs:subClassOf,rc:IndustrialLandParcel
rc:Quarry,rdfs:subClassOf,owl:Thing
rc:BusTicket,rdfs:subClassOf,rc:Ticket
rc:BusTicket,rdfs:subClassOf,owl:Thing
rc:BankAccountStatement_Online,rdfs:subClassOf,rc:BankAccountStatement
rc:BankAccountStatement_Online,rdfs:subClassOf,owl:Thing
rc:InsurancePlan,rdfs:subClassOf,rc:AgreementForOngoingService
rc:InsurancePlan,rdfs:subClassOf,owl:Thing
rc:FinancialPlanning,rdfs:subClassOf,rc:FinancialActivity
rc:FinancialPlanning,rdfs:subClassOf,owl:Thing
rc:DefaultingOnLoan,rdfs:subClassOf,rc:FailingToMakeAPayment
rc:DefaultingOnLoan,rdfs:subClassOf,owl:Thing
rc:BusinessRelationshipActivity,rdfs:subClassOf,rc:BusinessActivity
rc:BusinessRelationshipActivity,rdfs:subClassOf,owl:Thing
rc:CallLoan,rdfs:subClassOf,rc:DemandLoan
rc:CallLoan,rdfs:subClassOf,owl:Thing
rc:BuyingActivity,rdfs:subClassOf,rc:CommercialActivity
rc:BuyingActivity,rdfs:subClassOf,owl:Thing
rc:NationalMonument,rdfs:subClassOf,rc:Monument
rc:NationalMonument,rdfs:subClassOf,owl:Thing
rc:SelfInsurance,rdfs:subClassOf,rc:InsurancePlan
rc:SelfInsurance,rdfs:subClassOf,owl:Thing
rc:MonumentOrMemorialInIran,rdfs:subClassOf,rc:Monument
rc:MonumentOrMemorialInIran,rdfs:subClassOf,owl:Thing
rc:LoanInsurance,rdfs:subClassOf,rc:InsurancePlan
rc:LoanInsurance,rdfs:subClassOf,owl:Thing
rc:FinancialSecurity,rdfs:subClassOf,rc:FinanceInstrumentProductContract
rc:FinancialSecurity,rdfs:subClassOf,owl:Thing
rc:BoatLoan,rdfs:subClassOf,rc:LoanAgreement
rc:BoatLoan,rdfs:subClassOf,owl:Thing
rc:Stealing_Embezzlement,rdfs:subClassOf,rc:Fraud
rc:Stealing_Embezzlement,rdfs:subClassOf,owl:Thing
rc:Brothel,rdfs:subClassOf,rc:CommercialBuilding
rc:Brothel,rdfs:subClassOf,owl:Thing
rc:Menagerie,rdfs:subClassOf,rc:Holdings
rc:Menagerie,rdfs:subClassOf,owl:Thing
rc:Dumping_Buying,rdfs:subClassOf,rc:Buying
rc:Dumping_Buying,rdfs:subClassOf,owl:Thing
rc:ArtsAndIndustriesBuilding,rdfs:subClassOf,rc:MuseumStructure
rc:ArtsAndIndustriesBuilding,rdfs:subClassOf,owl:Thing
rc:FinancialInstrumentTrading,rdfs:subClassOf,rc:BuyingAService
rc:FinancialInstrumentTrading,rdfs:subClassOf,rc:BuyingAnObject
rc:FinancialInstrumentTrading,rdfs:subClassOf,rc:FinancialInstrumentTransaction
