id,subclassof,parent
rc:SignLanguageNotation,rdfs:subClassOf,rc:SignLanguages
rc:SignLanguageNotation,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Trance,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Trance,rdfs:subClassOf,owl:Thing
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:GraphTheory
rc:AlgebraicGraphTheory,rdfs:subClassOf,owl:Thing
rc:FrenchLanguage,rdfs:subClassOf,rc:RomanceLanguages
rc:FrenchLanguage,rdfs:subClassOf,owl:Thing
rc:PilotsLicense_Document,rdfs:subClassOf,rc:TransportationLicense_Document
rc:PilotsLicense_Document,rdfs:subClassOf,owl:Thing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,rc:Lecturing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,owl:Thing
rc:PowerPop,rdfs:subClassOf,rc:MusicalComposition_PopRock
rc:PowerPop,rdfs:subClassOf,owl:Thing
rc:DutchLanguage,rdfs:subClassOf,rc:GermanicLanguages
rc:DutchLanguage,rdfs:subClassOf,owl:Thing
rc:RoutingList,rdfs:subClassOf,rc:List_Information
rc:RoutingList,rdfs:subClassOf,owl:Thing
rc:AmericanEnglishDialect,rdfs:subClassOf,rc:EnglishDialect
rc:AmericanEnglishDialect,rdfs:subClassOf,owl:Thing
rc:SheafTheory,rdfs:subClassOf,rc:CategoryTheory
rc:SheafTheory,rdfs:subClassOf,owl:Thing
rc:InternetGroupManagementProtocol,rdfs:subClassOf,rc:NetworkProtocol
rc:InternetGroupManagementProtocol,rdfs:subClassOf,owl:Thing
rc:HebrewLetter,rdfs:subClassOf,rc:Letter_Alphabetic
rc:HebrewLetter,rdfs:subClassOf,owl:Thing
rc:SchemeProgrammingLanguageImplementation,rdfs:subClassOf,rc:FunctionalLanguage
rc:SchemeProgrammingLanguageImplementation,rdfs:subClassOf,rc:ProgrammingLanguageImplementation
rc:SchemeProgrammingLanguageImplementation,rdfs:subClassOf,owl:Thing
rc:KoreanLanguageTest,rdfs:subClassOf,rc:KoreanLanguage
rc:KoreanLanguageTest,rdfs:subClassOf,owl:Thing
rc:GothicLetter,rdfs:subClassOf,rc:Letter_Alphabetic
rc:GothicLetter,rdfs:subClassOf,owl:Thing
rc:Password_Computer,rdfs:subClassOf,rc:Password
rc:Password_Computer,rdfs:subClassOf,rc:SecurityInformation
rc:Password_Computer,rdfs:subClassOf,owl:Thing
rc:MoabiteLanguage,rdfs:subClassOf,rc:AncientLanguages
rc:MoabiteLanguage,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_WorldFusion,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_WorldFusion,rdfs:subClassOf,rc:MusicalComposition_Fusion
rc:MusicalComposition_WorldFusion,rdfs:subClassOf,owl:Thing
rc:ManxLanguage,rdfs:subClassOf,rc:CelticLanguages
rc:ManxLanguage,rdfs:subClassOf,owl:Thing
rc:Wikipedia_WebSite,rdfs:subClassOf,rc:CWPublishedOnline
rc:Wikipedia_WebSite,rdfs:subClassOf,owl:Thing
rc:WebPageHitCounterProgram,rdfs:subClassOf,rc:ActivityLoggingProgram
rc:WebPageHitCounterProgram,rdfs:subClassOf,owl:Thing
rc:HebrewDiacritic,rdfs:subClassOf,rc:HebrewLetter
rc:HebrewDiacritic,rdfs:subClassOf,owl:Thing
rc:MilitaryContract,rdfs:subClassOf,rc:SalesContract
rc:MilitaryContract,rdfs:subClassOf,owl:Thing
rc:ComputerProgramCopy,rdfs:subClassOf,rc:ComputerCodeCopy
rc:ComputerProgramCopy,rdfs:subClassOf,owl:Thing
rc:GrammarChecker,rdfs:subClassOf,rc:Spelling
rc:GrammarChecker,rdfs:subClassOf,owl:Thing
rc:Review,rdfs:subClassOf,rc:Article_PCW
rc:Review,rdfs:subClassOf,owl:Thing
rc:VisualProgrammingEnvironment,rdfs:subClassOf,rc:DevelopmentProgram
rc:VisualProgrammingEnvironment,rdfs:subClassOf,owl:Thing
rc:FireArt,rdfs:subClassOf,rc:Art
rc:FireArt,rdfs:subClassOf,owl:Thing
rc:InternalUseInformation,rdfs:subClassOf,rc:Instructions
rc:InternalUseInformation,rdfs:subClassOf,owl:Thing
rc:AfricanAmericanVernacularEnglish,rdfs:subClassOf,rc:AmericanEnglishDialect
rc:AfricanAmericanVernacularEnglish,rdfs:subClassOf,owl:Thing
rc:ChildrensMovie,rdfs:subClassOf,rc:FilmGenre
rc:ChildrensMovie,rdfs:subClassOf,owl:Thing
rc:ProtectedInformation,rdfs:subClassOf,rc:InformationAccessType
rc:ProtectedInformation,rdfs:subClassOf,owl:Thing
rc:DarkWeb,rdfs:subClassOf,rc:WorldWideWeb_DynamicIndexedInfoSource
rc:DarkWeb,rdfs:subClassOf,owl:Thing
rc:AnimeAndMangaByGenre,rdfs:subClassOf,rc:Anime
rc:AnimeAndMangaByGenre,rdfs:subClassOf,rc:Manga
rc:AnimeAndMangaByGenre,rdfs:subClassOf,owl:Thing
rc:OldieSong,rdfs:subClassOf,rc:Song
