id,subclassof,parent
rc:LearningThat,rdfs:subClassOf,rc:LearningMethod
rc:LearningThat,rdfs:subClassOf,owl:Thing
rc:AutomaticNumberPlateRecognition,rdfs:subClassOf,rc:Surveillance
rc:AutomaticNumberPlateRecognition,rdfs:subClassOf,owl:Thing
rc:ElectronicDataSearching,rdfs:subClassOf,rc:Evaluating
rc:ElectronicDataSearching,rdfs:subClassOf,rc:InformationGathering
rc:ElectronicDataSearching,rdfs:subClassOf,owl:Thing
rc:CannabisAndHealth,rdfs:subClassOf,rc:HealthResearch
rc:CannabisAndHealth,rdfs:subClassOf,owl:Thing
rc:Horometry,rdfs:subClassOf,rc:Measurement
rc:Horometry,rdfs:subClassOf,owl:Thing
rc:FTSE100_StockIndexGroup,rdfs:subClassOf,rc:FTSEStockIndex
rc:FTSE100_StockIndexGroup,rdfs:subClassOf,owl:Thing
rc:CriticismOfFeminism,rdfs:subClassOf,rc:Criticism
rc:CriticismOfFeminism,rdfs:subClassOf,owl:Thing
rc:ChessTheory,rdfs:subClassOf,rc:GameTheory
rc:ChessTheory,rdfs:subClassOf,owl:Thing
rc:CandlestickPattern,rdfs:subClassOf,rc:TechnicalStockAnalysis
rc:CandlestickPattern,rdfs:subClassOf,owl:Thing
rc:ArgumentFromMorality,rdfs:subClassOf,rc:ArgumentsForTheExistenceOfGod
rc:ArgumentFromMorality,rdfs:subClassOf,owl:Thing
rc:WatchingSomething,rdfs:subClassOf,rc:Observing
rc:WatchingSomething,rdfs:subClassOf,owl:Thing
rc:DrugTest,rdfs:subClassOf,rc:TrueOrFalseTest
rc:DrugTest,rdfs:subClassOf,owl:Thing
rc:Determinacy,rdfs:subClassOf,rc:SetTheory
rc:Determinacy,rdfs:subClassOf,owl:Thing
rc:ResearchAdministration,rdfs:subClassOf,rc:Research
rc:ResearchAdministration,rdfs:subClassOf,owl:Thing
rc:Supersymmetry,rdfs:subClassOf,rc:QuantumFieldTheory
rc:Supersymmetry,rdfs:subClassOf,owl:Thing
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:GraphTheory
