id,subclassof,parent
rc:Uranium_Enriched,rdfs:subClassOf,rc:Uranium
rc:Uranium_Enriched,rdfs:subClassOf,rc:WeakGammaEmitter
rc:Uranium_Enriched,rdfs:subClassOf,owl:Thing
rc:AdultFemaleHuman,rdfs:subClassOf,rc:FemaleHuman
rc:AdultFemaleHuman,rdfs:subClassOf,owl:Thing
rc:DukeOfHolsteinGottorp,rdfs:subClassOf,rc:Duke
rc:DukeOfHolsteinGottorp,rdfs:subClassOf,owl:Thing
rc:BetaEmitter,rdfs:subClassOf,rc:RadioactiveIsotope
rc:BetaEmitter,rdfs:subClassOf,owl:Thing
rc:Potential,rdfs:subClassOf,rc:ElementalAttribute
rc:Potential,rdfs:subClassOf,owl:Thing
rc:Penis,rdfs:subClassOf,rc:AnimalBodyPart_Male
rc:Penis,rdfs:subClassOf,owl:Thing
rc:Blonde_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Blonde_HairColor,rdfs:subClassOf,owl:Thing
rc:Femmefatale_Human,rdfs:subClassOf,rc:FemaleHuman
rc:Femmefatale_Human,rdfs:subClassOf,owl:Thing
rc:Queen_WifeOfAKing,rdfs:subClassOf,rc:FemaleAristocrat
rc:Queen_WifeOfAKing,rdfs:subClassOf,owl:Thing
rc:Eunuch,rdfs:subClassOf,rc:MaleAnimal
rc:Eunuch,rdfs:subClassOf,owl:Thing
rc:TheodoreRoosevelt,rdfs:subClassOf,rc:Statesman
rc:TheodoreRoosevelt,rdfs:subClassOf,owl:Thing
rc:Horse_Stallion,rdfs:subClassOf,rc:Male_Horse
rc:Horse_Stallion,rdfs:subClassOf,owl:Thing
rc:Hammurabi,rdfs:subClassOf,rc:King_HeadOfGovernment
rc:Hammurabi,rdfs:subClassOf,owl:Thing
rc:NonAspectualAttribute,rdfs:subClassOf,rc:QualityAttribute
rc:NonAspectualAttribute,rdfs:subClassOf,owl:Thing
rc:ElementalAttribute,rdfs:subClassOf,kko:IntrinsicAttributes
rc:ElementalAttribute,rdfs:subClassOf,owl:Thing
rc:QueenVictoria,rdfs:subClassOf,rc:Queen_HeadOfState
rc:QueenVictoria,rdfs:subClassOf,owl:Thing
rc:Statesman,rdfs:subClassOf,rc:MaleHuman
rc:Statesman,rdfs:subClassOf,owl:Thing
rc:Uranium,rdfs:subClassOf,rc:AlphaEmitter
rc:Uranium,rdfs:subClassOf,owl:Thing
rc:Hero,rdfs:subClassOf,rc:MaleHuman
rc:Hero,rdfs:subClassOf,owl:Thing
rc:Black_EyeColor,rdfs:subClassOf,rc:HumanEyeColor
rc:Black_EyeColor,rdfs:subClassOf,owl:Thing
rc:King_HeadOfState,rdfs:subClassOf,rc:MaleHuman
rc:King_HeadOfState,rdfs:subClassOf,owl:Thing
rc:KingAlfonsoXII,rdfs:subClassOf,rc:King_HeadOfState
rc:KingAlfonsoXII,rdfs:subClassOf,owl:Thing
rc:Cowboy,rdfs:subClassOf,rc:MaleHuman
rc:Cowboy,rdfs:subClassOf,owl:Thing
rc:ConfigurationAttribute,rdfs:subClassOf,kko:IntrinsicAttributes
rc:ConfigurationAttribute,rdfs:subClassOf,owl:Thing
rc:Nothing,rdfs:subClassOf,rc:QualityAttribute
rc:Nothing,rdfs:subClassOf,owl:Thing
rc:KingGustavV,rdfs:subClassOf,rc:King_HeadOfState
rc:KingGustavV,rdfs:subClassOf,owl:Thing
rc:ReproductiveSystem_Female,rdfs:subClassOf,rc:AnimalBodyPart_Female
rc:ReproductiveSystem_Female,rdfs:subClassOf,owl:Thing
rc:AdultMaleHuman,rdfs:subClassOf,rc:MaleHuman
rc:AdultMaleHuman,rdfs:subClassOf,owl:Thing
rc:FemaleChild,rdfs:subClassOf,rc:FemaleHuman
rc:FemaleChild,rdfs:subClassOf,owl:Thing
rc:Male,rdfs:subClassOf,rc:BiologicalSex
rc:Male,rdfs:subClassOf,owl:Thing
rc:Bellboy,rdfs:subClassOf,rc:MaleHuman
rc:Bellboy,rdfs:subClassOf,owl:Thing
rc:Female_Horse,rdfs:subClassOf,rc:FemaleAnimal
rc:Female_Horse,rdfs:subClassOf,owl:Thing
rc:Duchess,rdfs:subClassOf,rc:FemaleHuman
rc:Duchess,rdfs:subClassOf,owl:Thing
rc:HomosexualFemaleHuman,rdfs:subClassOf,rc:FemaleHuman
rc:HomosexualFemaleHuman,rdfs:subClassOf,owl:Thing
rc:Marchioness,rdfs:subClassOf,rc:FemaleHuman
rc:Marchioness,rdfs:subClassOf,owl:Thing
