id,subclassof,parent
rc:Berberine,rdfs:subClassOf,rc:Alkaloid
rc:Berberine,rdfs:subClassOf,owl:Thing
rc:Hafnium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Hafnium,rdfs:subClassOf,owl:Thing
rc:IoditeIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:IoditeIon,rdfs:subClassOf,owl:Thing
rc:VolcanologyOfIo,rdfs:subClassOf,rc:Io_MoonOfJupiter
rc:VolcanologyOfIo,rdfs:subClassOf,owl:Thing
rc:Aragonite,rdfs:subClassOf,rc:Mineral
rc:Aragonite,rdfs:subClassOf,owl:Thing
rc:Cyanotrichite,rdfs:subClassOf,rc:Mineral
rc:Cyanotrichite,rdfs:subClassOf,owl:Thing
rc:Exosphere_PlanetEarth,rdfs:subClassOf,rc:AtmosphericLayer
rc:Exosphere_PlanetEarth,rdfs:subClassOf,owl:Thing
rc:Meteorite,rdfs:subClassOf,rc:StoneObject_Natural
rc:Meteorite,rdfs:subClassOf,owl:Thing
rc:Lynx_Constellation,rdfs:subClassOf,rc:Constellation
rc:Lynx_Constellation,rdfs:subClassOf,owl:Thing
rc:Aegirine,rdfs:subClassOf,rc:Mineral
rc:Aegirine,rdfs:subClassOf,owl:Thing
rc:MonsoonForest,rdfs:subClassOf,rc:Forest
rc:MonsoonForest,rdfs:subClassOf,owl:Thing
rc:TransitOfMercury,rdfs:subClassOf,rc:PlanetMercury
rc:TransitOfMercury,rdfs:subClassOf,owl:Thing
rc:PropanoateIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:PropanoateIon,rdfs:subClassOf,owl:Thing
rc:SalAmmoniac,rdfs:subClassOf,rc:Mineral
rc:SalAmmoniac,rdfs:subClassOf,owl:Thing
rc:SulfinicAcid,rdfs:subClassOf,rc:ChemicallyAcidicSubstance
rc:SulfinicAcid,rdfs:subClassOf,owl:Thing
rc:Ammonia,rdfs:subClassOf,rc:AmmoniaAndAmmoniumSalts
rc:Ammonia,rdfs:subClassOf,rc:ChemicallyBasicSubstance
rc:Ammonia,rdfs:subClassOf,rc:InorganicGas
rc:Ammonia,rdfs:subClassOf,rc:WeakElectrolyte
rc:Ammonia,rdfs:subClassOf,owl:Thing
rc:Diketene,rdfs:subClassOf,rc:Alkene
rc:Diketene,rdfs:subClassOf,owl:Thing
rc:Flurandrenolide,rdfs:subClassOf,rc:Steroid
rc:Flurandrenolide,rdfs:subClassOf,owl:Thing
rc:Ciclesonide,rdfs:subClassOf,rc:Glucocorticoid
rc:Ciclesonide,rdfs:subClassOf,owl:Thing
rc:Lanthanum,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lanthanum,rdfs:subClassOf,owl:Thing
rc:Cryolite,rdfs:subClassOf,rc:Mineral
rc:Cryolite,rdfs:subClassOf,owl:Thing
rc:PolyAtomicChemicalObject,rdfs:subClassOf,rc:ChemicalObject
rc:PolyAtomicChemicalObject,rdfs:subClassOf,owl:Thing
rc:Nylon,rdfs:subClassOf,rc:Plastic
rc:Nylon,rdfs:subClassOf,rc:Resin
rc:Nylon,rdfs:subClassOf,owl:Thing
rc:ArabianPeninsula,rdfs:subClassOf,rc:Peninsula
rc:ArabianPeninsula,rdfs:subClassOf,owl:Thing
rc:CalvinCycle,rdfs:subClassOf,rc:OrganicReaction
rc:CalvinCycle,rdfs:subClassOf,owl:Thing
rc:IsotopeOfOxygen,rdfs:subClassOf,rc:Oxygen
rc:IsotopeOfOxygen,rdfs:subClassOf,owl:Thing
rc:Almandine,rdfs:subClassOf,rc:Garnet_Gem
rc:Almandine,rdfs:subClassOf,owl:Thing
rc:Cyclosarin,rdfs:subClassOf,rc:HalogenCompound
rc:Cyclosarin,rdfs:subClassOf,owl:Thing
rc:Sarin,rdfs:subClassOf,rc:OrganophosphorusCompound
rc:Sarin,rdfs:subClassOf,owl:Thing
rc:Anorthite,rdfs:subClassOf,rc:Plagioclase
rc:Anorthite,rdfs:subClassOf,owl:Thing
rc:FerulicAcid,rdfs:subClassOf,rc:Antioxidant
rc:FerulicAcid,rdfs:subClassOf,owl:Thing
rc:ResveratrolOligomer,rdfs:subClassOf,rc:Resveratrol
rc:ResveratrolOligomer,rdfs:subClassOf,owl:Thing
rc:Acmite,rdfs:subClassOf,rc:Aegirine
rc:Acmite,rdfs:subClassOf,owl:Thing
rc:PotassiumAmide,rdfs:subClassOf,rc:ChemicallyBasicSubstance
rc:PotassiumAmide,rdfs:subClassOf,rc:IonicCompound
rc:PotassiumAmide,rdfs:subClassOf,rc:OtherInorganicCompound
rc:PotassiumAmide,rdfs:subClassOf,rc:StrongElectrolyte
rc:PotassiumAmide,rdfs:subClassOf,owl:Thing
rc:Perfluorohexane,rdfs:subClassOf,rc:OrganofluorineCompound
rc:Perfluorohexane,rdfs:subClassOf,owl:Thing
rc:BismuthSubnitrate,rdfs:subClassOf,rc:Salt_ChemicalSubstance
rc:BismuthSubnitrate,rdfs:subClassOf,owl:Thing
rc:OuterSpace,rdfs:subClassOf,rc:AstronomicalObject
rc:OuterSpace,rdfs:subClassOf,owl:Thing
rc:MetallicElementType,rdfs:subClassOf,rc:ElementStuffTypeByNumberOfProtons
rc:MetallicElementType,rdfs:subClassOf,owl:Thing
rc:Catalase,rdfs:subClassOf,rc:Enzyme
rc:Catalase,rdfs:subClassOf,owl:Thing
rc:Estradiol,rdfs:subClassOf,rc:Estrogen
rc:Estradiol,rdfs:subClassOf,owl:Thing
rc:DimethylMethylphosphonate,rdfs:subClassOf,rc:OrganophosphorusCompound
rc:DimethylMethylphosphonate,rdfs:subClassOf,owl:Thing
rc:BoronTribromide,rdfs:subClassOf,rc:HalogenCompound
rc:BoronTribromide,rdfs:subClassOf,owl:Thing
rc:UricAcid,rdfs:subClassOf,rc:ChemicallyAcidicSubstance
rc:UricAcid,rdfs:subClassOf,owl:Thing
rc:4_tert_Butylcatechol,rdfs:subClassOf,rc:Antioxidant
rc:4_tert_Butylcatechol,rdfs:subClassOf,owl:Thing
rc:HafniumCompound,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:HafniumCompound,rdfs:subClassOf,owl:Thing
rc:Coke,rdfs:subClassOf,rc:FossilFuel
rc:Coke,rdfs:subClassOf,owl:Thing
rc:IsotopeOfLanthanum,rdfs:subClassOf,rc:Lanthanum
rc:IsotopeOfLanthanum,rdfs:subClassOf,owl:Thing
rc:Stratosphere_PlanetEarth,rdfs:subClassOf,rc:AtmosphericLayer
rc:Stratosphere_PlanetEarth,rdfs:subClassOf,owl:Thing
rc:Lead,rdfs:subClassOf,rc:Mineral
rc:Lead,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lead,rdfs:subClassOf,owl:Thing
rc:ChemicalSubstanceClass,rdfs:subClassOf,rc:ChemicalSubstance
rc:ChemicalSubstanceClass,rdfs:subClassOf,owl:Thing
rc:Mineral,rdfs:subClassOf,kko:NaturalSubstances
rc:Mineral,rdfs:subClassOf,owl:Thing
rc:Rainforest,rdfs:subClassOf,rc:Forest
rc:Rainforest,rdfs:subClassOf,owl:Thing
rc:YtterbiumCompound,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:YtterbiumCompound,rdfs:subClassOf,owl:Thing
rc:Ruby_Gem,rdfs:subClassOf,rc:Corundum
rc:Ruby_Gem,rdfs:subClassOf,rc:PreciousStone
rc:Ruby_Gem,rdfs:subClassOf,owl:Thing
rc:Achondrite,rdfs:subClassOf,rc:Meteorite
rc:Achondrite,rdfs:subClassOf,owl:Thing
rc:Afromontane,rdfs:subClassOf,rc:ArabianPeninsula
rc:Afromontane,rdfs:subClassOf,owl:Thing
rc:Cutin,rdfs:subClassOf,rc:Lipid
rc:Cutin,rdfs:subClassOf,owl:Thing
rc:Europa_MoonOfJupiter,rdfs:subClassOf,rc:MoonOfAPlanet
rc:Europa_MoonOfJupiter,rdfs:subClassOf,owl:Thing
rc:Wulfenite,rdfs:subClassOf,rc:Mineral
rc:Wulfenite,rdfs:subClassOf,owl:Thing
rc:PlanetaryBody,rdfs:subClassOf,rc:AstronomicalBody
rc:PlanetaryBody,rdfs:subClassOf,owl:Thing
rc:IsotopeOfChromium,rdfs:subClassOf,rc:Chromium
rc:IsotopeOfChromium,rdfs:subClassOf,owl:Thing
rc:StomachAcid,rdfs:subClassOf,rc:AcidicSolution_Liquid
rc:StomachAcid,rdfs:subClassOf,owl:Thing
rc:Histidine,rdfs:subClassOf,rc:AminoAcid
rc:Histidine,rdfs:subClassOf,owl:Thing
rc:AdaptorProtein,rdfs:subClassOf,rc:ProteinStuff
rc:AdaptorProtein,rdfs:subClassOf,owl:Thing
rc:Circinus_Constellation,rdfs:subClassOf,rc:Constellation
rc:Circinus_Constellation,rdfs:subClassOf,owl:Thing
rc:Siderite,rdfs:subClassOf,rc:Mineral
rc:Siderite,rdfs:subClassOf,owl:Thing
rc:FerrocyanideIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:FerrocyanideIon,rdfs:subClassOf,owl:Thing
rc:Coramsine,rdfs:subClassOf,rc:Alkaloid
rc:Coramsine,rdfs:subClassOf,owl:Thing
rc:AtmosphereOfVenus,rdfs:subClassOf,rc:Atmosphere
rc:AtmosphereOfVenus,rdfs:subClassOf,rc:PlanetVenus
rc:AtmosphereOfVenus,rdfs:subClassOf,owl:Thing
rc:Opal_Gem,rdfs:subClassOf,rc:SemipreciousStone
rc:Opal_Gem,rdfs:subClassOf,owl:Thing
rc:MoonOfEarth,rdfs:subClassOf,rc:MoonOfAPlanet
rc:MoonOfEarth,rdfs:subClassOf,owl:Thing
rc:Xenon,rdfs:subClassOf,rc:NobleGasElementType
rc:Xenon,rdfs:subClassOf,rc:NonMetal
rc:Xenon,rdfs:subClassOf,owl:Thing
rc:Methane,rdfs:subClassOf,owl:Thing
rc:DNAExon_MolecularSegment,rdfs:subClassOf,rc:Exon_MolecularSegment
rc:DNAExon_MolecularSegment,rdfs:subClassOf,owl:Thing
rc:NarmadaValleyDryDeciduousForest,rdfs:subClassOf,rc:DryTropicalForest
rc:NarmadaValleyDryDeciduousForest,rdfs:subClassOf,owl:Thing
rc:SulfiteIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:SulfiteIon,rdfs:subClassOf,owl:Thing
rc:Gliese86,rdfs:subClassOf,rc:Eridanus_Constellation
rc:Gliese86,rdfs:subClassOf,owl:Thing
rc:NitrogenCompound,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:NitrogenCompound,rdfs:subClassOf,owl:Thing
rc:Cinchonidine,rdfs:subClassOf,rc:Alkaloid
rc:Cinchonidine,rdfs:subClassOf,owl:Thing
kko:NaturalSubstances,rdfs:subClassOf,kko:NaturalMatter
kko:NaturalSubstances,rdfs:subClassOf,owl:Thing
rc:BloodLeadLevel,rdfs:subClassOf,rc:Lead
rc:BloodLeadLevel,rdfs:subClassOf,owl:Thing
rc:IsotopeOfSeaborgium,rdfs:subClassOf,rc:Seaborgium
rc:IsotopeOfSeaborgium,rdfs:subClassOf,owl:Thing
rc:ChemicalSubstancesForEmergencyMedicine,rdfs:subClassOf,rc:ChemicalMixture
rc:ChemicalSubstancesForEmergencyMedicine,rdfs:subClassOf,owl:Thing
rc:Hornblende,rdfs:subClassOf,rc:Mineral
rc:Hornblende,rdfs:subClassOf,owl:Thing
rc:Sunlight_Resource,rdfs:subClassOf,rc:NaturalResourceType
rc:Sunlight_Resource,rdfs:subClassOf,owl:Thing
rc:Turquoise_Gem,rdfs:subClassOf,rc:SemipreciousStone
rc:Turquoise_Gem,rdfs:subClassOf,owl:Thing
rc:ZincChloride,rdfs:subClassOf,rc:InorganicHalide
rc:ZincChloride,rdfs:subClassOf,rc:IonicCompound
rc:ZincChloride,rdfs:subClassOf,rc:StrongElectrolyte
rc:ZincChloride,rdfs:subClassOf,owl:Thing
rc:Icicle,rdfs:subClassOf,rc:Ice
rc:Icicle,rdfs:subClassOf,owl:Thing
rc:Estriol,rdfs:subClassOf,rc:Estrogen
rc:Estriol,rdfs:subClassOf,owl:Thing
rc:Halomethane,rdfs:subClassOf,rc:Methane
rc:Halomethane,rdfs:subClassOf,owl:Thing
rc:Silicone,rdfs:subClassOf,rc:OtherInorganicCompound
rc:Silicone,rdfs:subClassOf,rc:Silicon
rc:Silicone,rdfs:subClassOf,owl:Thing
rc:PolyvinylButyral,rdfs:subClassOf,rc:Resin
rc:PolyvinylButyral,rdfs:subClassOf,owl:Thing
rc:SodiumAcetate,rdfs:subClassOf,rc:InorganicSalt
rc:SodiumAcetate,rdfs:subClassOf,rc:IonicCompound
rc:SodiumAcetate,rdfs:subClassOf,rc:Salt_ChemicalSubstance
rc:SodiumAcetate,rdfs:subClassOf,rc:StrongElectrolyte
rc:SodiumAcetate,rdfs:subClassOf,owl:Thing
rc:Quasar,rdfs:subClassOf,rc:AstronomicalObject
rc:Quasar,rdfs:subClassOf,owl:Thing
rc:Acanthite,rdfs:subClassOf,rc:Mineral
rc:Acanthite,rdfs:subClassOf,owl:Thing
rc:Bixbyite,rdfs:subClassOf,rc:Mineral
rc:Bixbyite,rdfs:subClassOf,owl:Thing
rc:Biosphere,rdfs:subClassOf,rc:NaturalResourceType
rc:Biosphere,rdfs:subClassOf,owl:Thing
rc:BroadleafForest,rdfs:subClassOf,rc:Forest
rc:BroadleafForest,rdfs:subClassOf,owl:Thing
rc:SmallNuclearRNA,rdfs:subClassOf,rc:RNA
rc:SmallNuclearRNA,rdfs:subClassOf,rc:RNAStrand
rc:SmallNuclearRNA,rdfs:subClassOf,owl:Thing
rc:ProteinConfiguration,rdfs:subClassOf,rc:ProteinMoleculeOrProteinComplex
rc:ProteinConfiguration,rdfs:subClassOf,owl:Thing
rc:Brucite,rdfs:subClassOf,rc:OxideMineral
rc:Brucite,rdfs:subClassOf,owl:Thing
rc:SolidPlanetaryBody,rdfs:subClassOf,rc:PlanetaryBody
rc:SolidPlanetaryBody,rdfs:subClassOf,owl:Thing
rc:Antlia_Constellation,rdfs:subClassOf,rc:Constellation
rc:Antlia_Constellation,rdfs:subClassOf,owl:Thing
rc:AquaticEcosystem,rdfs:subClassOf,rc:Water
rc:AquaticEcosystem,rdfs:subClassOf,owl:Thing
rc:Sylvanite,rdfs:subClassOf,rc:Mineral
