id,subclassof,parent
rc:JamesBondMovie,rdfs:subClassOf,rc:ActionMovie
rc:JamesBondMovie,rdfs:subClassOf,owl:Thing
rc:AirPollutionEmission,rdfs:subClassOf,rc:AirPollutionProcess
rc:AirPollutionEmission,rdfs:subClassOf,owl:Thing
rc:NorthWind,rdfs:subClassOf,rc:Wind
rc:NorthWind,rdfs:subClassOf,owl:Thing
rc:Blaze_Fire,rdfs:subClassOf,rc:Fire_CombustionProcess
rc:Blaze_Fire,rdfs:subClassOf,owl:Thing
rc:Sunlight_Direct,rdfs:subClassOf,rc:Sunlight
rc:Sunlight_Direct,rdfs:subClassOf,owl:Thing
rc:Pennant,rdfs:subClassOf,rc:Signage
rc:Pennant,rdfs:subClassOf,owl:Thing
rc:ActionMovie,rdfs:subClassOf,rc:FilmGenre
rc:ActionMovie,rdfs:subClassOf,owl:Thing
rc:Middle_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:Middle_LevelCloud,rdfs:subClassOf,owl:Thing
rc:DipoleMoment,rdfs:subClassOf,rc:Dipole
rc:DipoleMoment,rdfs:subClassOf,owl:Thing
rc:NuclearFusionProcess,rdfs:subClassOf,rc:NuclearProcess
rc:NuclearFusionProcess,rdfs:subClassOf,owl:Thing
rc:MagicalGirl,rdfs:subClassOf,rc:AnimeAndMangaByGenre
rc:MagicalGirl,rdfs:subClassOf,owl:Thing
rc:Lighting,rdfs:subClassOf,rc:Light
rc:Lighting,rdfs:subClassOf,owl:Thing
rc:ClassicMovie,rdfs:subClassOf,rc:FilmGenre
rc:ClassicMovie,rdfs:subClassOf,owl:Thing
rc:HentaiAnimeAndManga,rdfs:subClassOf,rc:Manga
rc:HentaiAnimeAndManga,rdfs:subClassOf,owl:Thing
rc:AnimatedTVShow,rdfs:subClassOf,rc:ConceptualWork_AnimationGenre
rc:AnimatedTVShow,rdfs:subClassOf,owl:Thing
rc:GeothermalEnergy,rdfs:subClassOf,rc:ThermalEnergy
rc:GeothermalEnergy,rdfs:subClassOf,owl:Thing
rc:TheBeatlesAndRadio,rdfs:subClassOf,rc:RadioShow_IBT
rc:TheBeatlesAndRadio,rdfs:subClassOf,owl:Thing
rc:RoaringSound,rdfs:subClassOf,rc:AnimalSound
rc:RoaringSound,rdfs:subClassOf,owl:Thing
rc:StarTrekMovie,rdfs:subClassOf,rc:ScienceFictionMovie
rc:StarTrekMovie,rdfs:subClassOf,owl:Thing
rc:WavePropagation,rdfs:subClassOf,kko:NaturalPhenomena
rc:WavePropagation,rdfs:subClassOf,owl:Thing
rc:PreparationForHurricaneKatrina,rdfs:subClassOf,rc:HurricaneKatrina
rc:PreparationForHurricaneKatrina,rdfs:subClassOf,owl:Thing
rc:SurfaceForceVector,rdfs:subClassOf,rc:ForceVector
rc:SurfaceForceVector,rdfs:subClassOf,owl:Thing
rc:DanceAnimation,rdfs:subClassOf,rc:Animation_MovingImage
rc:DanceAnimation,rdfs:subClassOf,owl:Thing
rc:AnimalSound,rdfs:subClassOf,rc:AudibleSound
rc:AnimalSound,rdfs:subClassOf,rc:InformationBearingWavePropagation
rc:AnimalSound,rdfs:subClassOf,owl:Thing
rc:MusicalChord,rdfs:subClassOf,rc:AudibleSound
rc:MusicalChord,rdfs:subClassOf,owl:Thing
rc:Levitation,rdfs:subClassOf,rc:GravitationalForceVector
rc:Levitation,rdfs:subClassOf,owl:Thing
rc:GravitationalWave,rdfs:subClassOf,rc:GravitationalForceVector
rc:GravitationalWave,rdfs:subClassOf,owl:Thing
rc:Microwave_KuBand,rdfs:subClassOf,rc:MicrowaveRadiation
rc:Microwave_KuBand,rdfs:subClassOf,owl:Thing
rc:ElectromagneticCompatibility,rdfs:subClassOf,rc:ElectromagneticRadiation
rc:ElectromagneticCompatibility,rdfs:subClassOf,rc:PhysicalForce_Electromagnetic
rc:ElectromagneticCompatibility,rdfs:subClassOf,owl:Thing
rc:UpskirtPicture,rdfs:subClassOf,rc:VisualImage
rc:UpskirtPicture,rdfs:subClassOf,owl:Thing
rc:Frame_Network,rdfs:subClassOf,rc:ElectroMagneticIBT
rc:Frame_Network,rdfs:subClassOf,owl:Thing
rc:Tsunami,rdfs:subClassOf,rc:Wave_Liquid
rc:Tsunami,rdfs:subClassOf,rc:WeatherPhenomena
rc:Tsunami,rdfs:subClassOf,owl:Thing
rc:BasketballMovie,rdfs:subClassOf,rc:SportsMovie
rc:BasketballMovie,rdfs:subClassOf,owl:Thing
rc:WavePower,rdfs:subClassOf,rc:Wave_Liquid
rc:WavePower,rdfs:subClassOf,owl:Thing
rc:EnergyConversionThermalToElectric,rdfs:subClassOf,rc:ElectricalPowerGeneration
rc:EnergyConversionThermalToElectric,rdfs:subClassOf,owl:Thing
rc:GreatAttractor,rdfs:subClassOf,rc:GravitationalForceVector
rc:GreatAttractor,rdfs:subClassOf,owl:Thing
rc:Thunder,rdfs:subClassOf,rc:AudibleSound
rc:Thunder,rdfs:subClassOf,owl:Thing
rc:NonElectricalLightingDevice,rdfs:subClassOf,rc:Lighting
rc:NonElectricalLightingDevice,rdfs:subClassOf,owl:Thing
rc:ElectricalResistance,rdfs:subClassOf,rc:ElectricalQuantity
rc:ElectricalResistance,rdfs:subClassOf,owl:Thing
rc:NuclearBindingEnergy,rdfs:subClassOf,rc:EnergyPhenomena
rc:NuclearBindingEnergy,rdfs:subClassOf,owl:Thing
rc:RadioFrequency,rdfs:subClassOf,rc:Airwaves
rc:RadioFrequency,rdfs:subClassOf,rc:RadioFrequencyPropagation
rc:RadioFrequency,rdfs:subClassOf,owl:Thing
rc:HurricaneMichelle,rdfs:subClassOf,rc:HurricaneAsEvent
rc:HurricaneMichelle,rdfs:subClassOf,owl:Thing
rc:Tramontane,rdfs:subClassOf,rc:KatabaticWind_Cold
rc:Tramontane,rdfs:subClassOf,owl:Thing
rc:Optoelectronics,rdfs:subClassOf,rc:Electronics
rc:Optoelectronics,rdfs:subClassOf,owl:Thing
rc:Frying,rdfs:subClassOf,rc:CookingFood
rc:Frying,rdfs:subClassOf,owl:Thing
rc:InfraredSolarCell,rdfs:subClassOf,rc:InfraredRadiation
rc:InfraredSolarCell,rdfs:subClassOf,owl:Thing
rc:BleatingSound,rdfs:subClassOf,rc:AnimalSound
rc:BleatingSound,rdfs:subClassOf,owl:Thing
rc:PhysicalForce_ElectroWeak,rdfs:subClassOf,rc:ForceVector
rc:PhysicalForce_ElectroWeak,rdfs:subClassOf,owl:Thing
rc:RayleighScattering,rdfs:subClassOf,rc:Light
rc:RayleighScattering,rdfs:subClassOf,owl:Thing
rc:AltoCumulusCloud,rdfs:subClassOf,rc:Middle_LevelCloud
rc:AltoCumulusCloud,rdfs:subClassOf,owl:Thing
rc:SleetProcess,rdfs:subClassOf,rc:PrecipitationProcess
rc:SleetProcess,rdfs:subClassOf,owl:Thing
rc:UnitedStatesStateInsignia,rdfs:subClassOf,rc:FormalInsignia
rc:UnitedStatesStateInsignia,rdfs:subClassOf,owl:Thing
rc:Cold_CoreLow,rdfs:subClassOf,rc:CycloneAsObject
rc:Cold_CoreLow,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:FilmGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:NuclearMagneticResonance,rdfs:subClassOf,rc:ElectromagneticRadiation
rc:NuclearMagneticResonance,rdfs:subClassOf,owl:Thing
rc:Sheeting_Downpour,rdfs:subClassOf,rc:Downpour_RainProcess
rc:Sheeting_Downpour,rdfs:subClassOf,owl:Thing
rc:ParodyMovie,rdfs:subClassOf,rc:ComedyMovie
rc:ParodyMovie,rdfs:subClassOf,owl:Thing
rc:StopSign,rdfs:subClassOf,rc:RoadSign
rc:StopSign,rdfs:subClassOf,rc:StationarySign
rc:StopSign,rdfs:subClassOf,owl:Thing
rc:StormAsEvent,rdfs:subClassOf,rc:WeatherPhenomena
rc:StormAsEvent,rdfs:subClassOf,owl:Thing
rc:Photon,rdfs:subClassOf,rc:ElectromagneticRadiation
rc:Photon,rdfs:subClassOf,owl:Thing
rc:Radiometry,rdfs:subClassOf,rc:ElectromagneticRadiation
rc:Radiometry,rdfs:subClassOf,owl:Thing
rc:RedLight,rdfs:subClassOf,rc:VisibleLight
rc:RedLight,rdfs:subClassOf,owl:Thing
rc:MicroPhysicalProcess,rdfs:subClassOf,rc:ThermodynamicProcess
rc:MicroPhysicalProcess,rdfs:subClassOf,owl:Thing
rc:FrictionVector,rdfs:subClassOf,rc:SurfaceForceVector
rc:FrictionVector,rdfs:subClassOf,owl:Thing
rc:DeepFrying,rdfs:subClassOf,rc:Frying
rc:DeepFrying,rdfs:subClassOf,owl:Thing
rc:SolarEclipse,rdfs:subClassOf,rc:Eclipse_CelestialEvent
rc:SolarEclipse,rdfs:subClassOf,owl:Thing
rc:ChildrensMovie,rdfs:subClassOf,rc:FilmGenre
rc:ChildrensMovie,rdfs:subClassOf,owl:Thing
rc:FloodControlInEurope,rdfs:subClassOf,rc:FloodControl
rc:FloodControlInEurope,rdfs:subClassOf,owl:Thing
rc:ConceptualWork_AnimeGenre,rdfs:subClassOf,rc:ConceptualWork_AnimationGenre
rc:ConceptualWork_AnimeGenre,rdfs:subClassOf,owl:Thing
rc:GammaRadiationSource,rdfs:subClassOf,rc:ElectromagneticRadiation
rc:GammaRadiationSource,rdfs:subClassOf,owl:Thing
rc:Megatsunami,rdfs:subClassOf,rc:Tsunami
rc:Megatsunami,rdfs:subClassOf,owl:Thing
rc:AnimeAndMangaByGenre,rdfs:subClassOf,rc:Anime
rc:AnimeAndMangaByGenre,rdfs:subClassOf,rc:Manga
rc:AnimeAndMangaByGenre,rdfs:subClassOf,owl:Thing
rc:Laplace_Runge_LenzVector,rdfs:subClassOf,rc:ForceVector
rc:Laplace_Runge_LenzVector,rdfs:subClassOf,owl:Thing
rc:CursorGUIComponent,rdfs:subClassOf,rc:VisualImage
rc:CursorGUIComponent,rdfs:subClassOf,owl:Thing
rc:Gravimetry,rdfs:subClassOf,rc:GravitationalForceVector
rc:Gravimetry,rdfs:subClassOf,owl:Thing
rc:RadiantEnergy,rdfs:subClassOf,rc:EnergyPhenomena
