id,subclassof,parent
rc:Cytoskeleton,rdfs:subClassOf,rc:CellPart_Structural
rc:Cytoskeleton,rdfs:subClassOf,owl:Thing
rc:Examiner,rdfs:subClassOf,rc:PersonWithOccupation
rc:Examiner,rdfs:subClassOf,owl:Thing
rc:StreetPerformer,rdfs:subClassOf,rc:Artist_Performer
rc:StreetPerformer,rdfs:subClassOf,owl:Thing
rc:OrthoticEquipmentProvider,rdfs:subClassOf,rc:MedicalCareOrganization
rc:OrthoticEquipmentProvider,rdfs:subClassOf,owl:Thing
rc:ArmenianApostolicChristian,rdfs:subClassOf,rc:ChristianPerson
rc:ArmenianApostolicChristian,rdfs:subClassOf,owl:Thing
rc:Plato,rdfs:subClassOf,rc:Poet
rc:Plato,rdfs:subClassOf,owl:Thing
rc:EthnicGroupOfSinhalese,rdfs:subClassOf,rc:EthnicGroupOfEastIndians
rc:EthnicGroupOfSinhalese,rdfs:subClassOf,owl:Thing
rc:GirlGuidingAndGirlScouting,rdfs:subClassOf,rc:ScoutingOrganization
rc:GirlGuidingAndGirlScouting,rdfs:subClassOf,owl:Thing
rc:ChineseWarCasualty,rdfs:subClassOf,rc:CasualtyByType
rc:ChineseWarCasualty,rdfs:subClassOf,owl:Thing
rc:MajorLeagueBaseballDraft,rdfs:subClassOf,rc:MajorLeagueBaseball
rc:MajorLeagueBaseballDraft,rdfs:subClassOf,owl:Thing
rc:Veal,rdfs:subClassOf,rc:Beef
rc:Veal,rdfs:subClassOf,owl:Thing
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,owl:Thing
rc:Oyster,rdfs:subClassOf,rc:Bivalvia
rc:Oyster,rdfs:subClassOf,rc:Shellfish
rc:Oyster,rdfs:subClassOf,owl:Thing
rc:FermentedStuff,rdfs:subClassOf,rc:Food
rc:FermentedStuff,rdfs:subClassOf,owl:Thing
rc:Mancomunidad,rdfs:subClassOf,rc:LocalGovernment
rc:Mancomunidad,rdfs:subClassOf,owl:Thing
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,rc:Province_Angola
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,owl:Thing
rc:Gonatidae,rdfs:subClassOf,rc:Oegopsina
rc:Gonatidae,rdfs:subClassOf,owl:Thing
rc:Canola,rdfs:subClassOf,rc:SeedOil
rc:Canola,rdfs:subClassOf,owl:Thing
rc:KingGustavV,rdfs:subClassOf,rc:King_HeadOfState
rc:KingGustavV,rdfs:subClassOf,owl:Thing
rc:Nylon,rdfs:subClassOf,rc:Plastic
rc:Nylon,rdfs:subClassOf,rc:Resin
rc:Nylon,rdfs:subClassOf,owl:Thing
rc:HumanDevelopment,rdfs:subClassOf,rc:BiologicalDevelopmentProcess
rc:HumanDevelopment,rdfs:subClassOf,owl:Thing
rc:InterstitialFluid,rdfs:subClassOf,rc:ExtracellularFluid
rc:InterstitialFluid,rdfs:subClassOf,owl:Thing
rc:Bukhara,rdfs:subClassOf,rc:Khorasan_ProvinceIran
rc:Bukhara,rdfs:subClassOf,owl:Thing
rc:CircassianTribe,rdfs:subClassOf,rc:EthnicGroupOfCircassians
rc:CircassianTribe,rdfs:subClassOf,owl:Thing
rc:JohnKennedy,rdfs:subClassOf,rc:Democrat
rc:JohnKennedy,rdfs:subClassOf,rc:UnitedStatesPresident
rc:JohnKennedy,rdfs:subClassOf,owl:Thing
rc:FederationOfAmericanScientists,rdfs:subClassOf,rc:AdvocacyOrganization
rc:FederationOfAmericanScientists,rdfs:subClassOf,rc:NonProfitOrganization
rc:FederationOfAmericanScientists,rdfs:subClassOf,owl:Thing
rc:PhiladelphiaPhillies,rdfs:subClassOf,rc:MajorLeagueBaseballTeam
rc:PhiladelphiaPhillies,rdfs:subClassOf,owl:Thing
rc:HouseOfTudor,rdfs:subClassOf,rc:DynasticFamily
rc:HouseOfTudor,rdfs:subClassOf,owl:Thing
rc:Ghetto,rdfs:subClassOf,rc:UrbanNeighborhood
rc:Ghetto,rdfs:subClassOf,owl:Thing
rc:PurchasingManager,rdfs:subClassOf,rc:BusinessPerson
rc:PurchasingManager,rdfs:subClassOf,rc:Manager
rc:PurchasingManager,rdfs:subClassOf,owl:Thing
rc:Metiamide,rdfs:subClassOf,rc:Ether
rc:Metiamide,rdfs:subClassOf,owl:Thing
rc:TurquetsOctopus,rdfs:subClassOf,rc:Pareledone
rc:TurquetsOctopus,rdfs:subClassOf,owl:Thing
rc:Minimalist,rdfs:subClassOf,rc:Artist
rc:Minimalist,rdfs:subClassOf,rc:IntelligentAgent
rc:Minimalist,rdfs:subClassOf,rc:PersonTypeByBeliefSystem
rc:Minimalist,rdfs:subClassOf,owl:Thing
rc:SerotoninAntagonist,rdfs:subClassOf,rc:Serotonin
rc:SerotoninAntagonist,rdfs:subClassOf,owl:Thing
rc:TelecommunicationsCompany,rdfs:subClassOf,rc:CommunicationsOrganization
rc:TelecommunicationsCompany,rdfs:subClassOf,owl:Thing
rc:District_Madagascar,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:District_Madagascar,rdfs:subClassOf,owl:Thing
rc:AromaticSolvent,rdfs:subClassOf,rc:HydrocarbonatedSolvent
rc:AromaticSolvent,rdfs:subClassOf,owl:Thing
rc:Ficain,rdfs:subClassOf,rc:CysteineProtease
rc:Ficain,rdfs:subClassOf,owl:Thing
rc:PresidentOfOrganization,rdfs:subClassOf,rc:Executive
rc:PresidentOfOrganization,rdfs:subClassOf,owl:Thing
rc:IntelligenceAgency,rdfs:subClassOf,rc:GovernmentAgency
rc:IntelligenceAgency,rdfs:subClassOf,owl:Thing
rc:VerificationService,rdfs:subClassOf,rc:CommercialServiceOrganization
rc:VerificationService,rdfs:subClassOf,rc:FinancialOrganization
rc:VerificationService,rdfs:subClassOf,rc:PrivateSectorOrganization
rc:VerificationService,rdfs:subClassOf,owl:Thing
rc:Marlin,rdfs:subClassOf,rc:EdibleFish
rc:Marlin,rdfs:subClassOf,owl:Thing
rc:BoreoatlanticArmhookSquid,rdfs:subClassOf,rc:Gonatidae
rc:BoreoatlanticArmhookSquid,rdfs:subClassOf,owl:Thing
rc:Colony_GeopoliticalEntity,rdfs:subClassOf,rc:ControlledLand
rc:Colony_GeopoliticalEntity,rdfs:subClassOf,rc:Gathering_SocialGroup
rc:Colony_GeopoliticalEntity,rdfs:subClassOf,rc:GeopoliticalEntityTypes
rc:Colony_GeopoliticalEntity,rdfs:subClassOf,owl:Thing
rc:FalseFlaxOil,rdfs:subClassOf,rc:SeedOil
rc:FalseFlaxOil,rdfs:subClassOf,owl:Thing
rc:CorpusCallosum,rdfs:subClassOf,rc:WhiteMatter
rc:CorpusCallosum,rdfs:subClassOf,owl:Thing
rc:Province_Iraq,rdfs:subClassOf,rc:Province
rc:Province_Iraq,rdfs:subClassOf,owl:Thing
rc:EMailServiceProvider,rdfs:subClassOf,rc:CommercialServiceOrganization
rc:EMailServiceProvider,rdfs:subClassOf,rc:CommunicationsOrganization
rc:EMailServiceProvider,rdfs:subClassOf,rc:TechnologyOrganization
rc:EMailServiceProvider,rdfs:subClassOf,owl:Thing
rc:Kham,rdfs:subClassOf,rc:Tibet
rc:Kham,rdfs:subClassOf,owl:Thing
rc:Histidine,rdfs:subClassOf,rc:AminoAcid
rc:Histidine,rdfs:subClassOf,owl:Thing
rc:AdaptorProtein,rdfs:subClassOf,rc:ProteinStuff
rc:AdaptorProtein,rdfs:subClassOf,owl:Thing
rc:Province_Cambodia,rdfs:subClassOf,rc:Province
rc:Province_Cambodia,rdfs:subClassOf,owl:Thing
rc:Battery_MilitaryUnit,rdfs:subClassOf,rc:ArtilleryUnit_MilitarySpecialty
rc:Battery_MilitaryUnit,rdfs:subClassOf,rc:Company_MilitaryEchelon
rc:Battery_MilitaryUnit,rdfs:subClassOf,owl:Thing
rc:JohnKerry,rdfs:subClassOf,rc:Democrat
rc:JohnKerry,rdfs:subClassOf,owl:Thing
rc:MediaTechnician,rdfs:subClassOf,rc:MediaProfessional
rc:MediaTechnician,rdfs:subClassOf,rc:Technician
rc:MediaTechnician,rdfs:subClassOf,owl:Thing
rc:Malanga,rdfs:subClassOf,rc:FreshVegetable
rc:Malanga,rdfs:subClassOf,owl:Thing
rc:InsuranceOrganization,rdfs:subClassOf,rc:FinancialOrganization
rc:InsuranceOrganization,rdfs:subClassOf,owl:Thing
rc:TunisSheep,rdfs:subClassOf,rc:Fat_tailedSheep
rc:TunisSheep,rdfs:subClassOf,owl:Thing
rc:SwedishFreemason,rdfs:subClassOf,rc:FreemasonByRegion
rc:SwedishFreemason,rdfs:subClassOf,owl:Thing
rc:ConcessionsCompany,rdfs:subClassOf,rc:FoodServiceOrganization
rc:ConcessionsCompany,rdfs:subClassOf,owl:Thing
rc:Methane,rdfs:subClassOf,rc:Alkane
rc:Methane,rdfs:subClassOf,rc:Gas_LightHydrocarbon
rc:Methane,rdfs:subClassOf,owl:Thing
