id,subclassof,parent
rc:Town_Romania,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:Town_Romania,rdfs:subClassOf,owl:Thing
rc:Sweden,rdfs:subClassOf,rc:ConstitutionalMonarchy
rc:Sweden,rdfs:subClassOf,owl:Thing
rc:MinorLeague_IceHockey,rdfs:subClassOf,rc:MinorLeague
rc:MinorLeague_IceHockey,rdfs:subClassOf,owl:Thing
rc:ChilledWater,rdfs:subClassOf,rc:WaterSewerUtility
rc:ChilledWater,rdfs:subClassOf,owl:Thing
rc:ActingFamily,rdfs:subClassOf,rc:Families
rc:ActingFamily,rdfs:subClassOf,owl:Thing
rc:OrthoticEquipmentProvider,rdfs:subClassOf,rc:MedicalCareOrganization
rc:OrthoticEquipmentProvider,rdfs:subClassOf,owl:Thing
rc:GirlGuidingAndGirlScouting,rdfs:subClassOf,rc:ScoutingOrganization
rc:GirlGuidingAndGirlScouting,rdfs:subClassOf,owl:Thing
rc:InvestmentBanking,rdfs:subClassOf,rc:BankingIndustry
rc:InvestmentBanking,rdfs:subClassOf,owl:Thing
rc:Meuse,rdfs:subClassOf,rc:AdministrativeDepartment
rc:Meuse,rdfs:subClassOf,owl:Thing
rc:InvestmentFirm,rdfs:subClassOf,rc:FinancialCompany
rc:InvestmentFirm,rdfs:subClassOf,owl:Thing
rc:WesternAustralia,rdfs:subClassOf,rc:State_Australia
rc:WesternAustralia,rdfs:subClassOf,owl:Thing
rc:MajorLeagueBaseballDraft,rdfs:subClassOf,rc:MajorLeagueBaseball
rc:MajorLeagueBaseballDraft,rdfs:subClassOf,owl:Thing
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,owl:Thing
rc:ConventionalMarket,rdfs:subClassOf,rc:MarketType
rc:ConventionalMarket,rdfs:subClassOf,owl:Thing
rc:PalestinianNationalAuthorityGovernorate,rdfs:subClassOf,rc:Governorate
rc:PalestinianNationalAuthorityGovernorate,rdfs:subClassOf,rc:PalestinianNationalAuthority
rc:PalestinianNationalAuthorityGovernorate,rdfs:subClassOf,owl:Thing
rc:MensSportsTeam,rdfs:subClassOf,rc:SportsTeam
rc:MensSportsTeam,rdfs:subClassOf,owl:Thing
rc:Mancomunidad,rdfs:subClassOf,rc:LocalGovernment
rc:Mancomunidad,rdfs:subClassOf,owl:Thing
rc:UnitedStatesCoastGuard,rdfs:subClassOf,rc:UnitedStatesMilitaryOrganization
rc:UnitedStatesCoastGuard,rdfs:subClassOf,owl:Thing
rc:Wisconsin_State,rdfs:subClassOf,rc:State_UnitedStates
rc:Wisconsin_State,rdfs:subClassOf,owl:Thing
rc:ProvinceOfLasPalmas,rdfs:subClassOf,rc:CanaryIslands
rc:ProvinceOfLasPalmas,rdfs:subClassOf,owl:Thing
rc:PapalState,rdfs:subClassOf,rc:HolySee
rc:PapalState,rdfs:subClassOf,owl:Thing
rc:MidwayIslands_Territory,rdfs:subClassOf,rc:Territory_US
rc:MidwayIslands_Territory,rdfs:subClassOf,owl:Thing
rc:FrancheComte,rdfs:subClassOf,rc:FrenchRegion
rc:FrancheComte,rdfs:subClassOf,owl:Thing
rc:PortAuthority,rdfs:subClassOf,rc:LawEnforcementOrganization
rc:PortAuthority,rdfs:subClassOf,owl:Thing
rc:MaineEtLoire,rdfs:subClassOf,rc:AdministrativeDepartment
rc:MaineEtLoire,rdfs:subClassOf,owl:Thing
rc:UKUSAListeningStation,rdfs:subClassOf,rc:NationalSecurityAgency
rc:UKUSAListeningStation,rdfs:subClassOf,owl:Thing
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,rc:Province_Angola
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,owl:Thing
rc:Norway,rdfs:subClassOf,rc:Monarchy
rc:Norway,rdfs:subClassOf,owl:Thing
rc:FederalElectoralDistrict_Mexico,rdfs:subClassOf,rc:ElectoralDistrict
rc:FederalElectoralDistrict_Mexico,rdfs:subClassOf,owl:Thing
rc:AdministrativeDivision_Indonesia,rdfs:subClassOf,rc:AdministrativeDivision_SingleCountry
rc:AdministrativeDivision_Indonesia,rdfs:subClassOf,owl:Thing
rc:RockAndRollBand,rdfs:subClassOf,rc:RockBand
rc:RockAndRollBand,rdfs:subClassOf,owl:Thing
rc:Junta,rdfs:subClassOf,rc:GovernmentOfCountry
rc:Junta,rdfs:subClassOf,owl:Thing
rc:District_SarEPolProvince,rdfs:subClassOf,rc:SarePol_ProvinceAfghanistan
rc:District_SarEPolProvince,rdfs:subClassOf,owl:Thing
rc:HundredsOfSweden,rdfs:subClassOf,rc:AdministrativeUnit
rc:HundredsOfSweden,rdfs:subClassOf,rc:Sweden
rc:HundredsOfSweden,rdfs:subClassOf,owl:Thing
rc:MilitarySchool,rdfs:subClassOf,rc:EducationalInstitution
rc:MilitarySchool,rdfs:subClassOf,owl:Thing
rc:Mexico_StateMexico,rdfs:subClassOf,rc:State_Mexico
rc:Mexico_StateMexico,rdfs:subClassOf,owl:Thing
rc:Freguesia,rdfs:subClassOf,rc:ThirdOrderAdministrativeDivision
rc:Freguesia,rdfs:subClassOf,owl:Thing
rc:Bukhara,rdfs:subClassOf,rc:Khorasan_ProvinceIran
rc:Bukhara,rdfs:subClassOf,owl:Thing
rc:LiceoScientifico,rdfs:subClassOf,rc:SecondarySchool
rc:LiceoScientifico,rdfs:subClassOf,owl:Thing
rc:Ain,rdfs:subClassOf,rc:AdministrativeDepartment
rc:Ain,rdfs:subClassOf,owl:Thing
rc:RoyalFavourite,rdfs:subClassOf,rc:Monarchy_Topics
rc:RoyalFavourite,rdfs:subClassOf,owl:Thing
rc:FederationOfAmericanScientists,rdfs:subClassOf,rc:AdvocacyOrganization
rc:FederationOfAmericanScientists,rdfs:subClassOf,rc:NonProfitOrganization
rc:FederationOfAmericanScientists,rdfs:subClassOf,owl:Thing
rc:HMOAffiliate,rdfs:subClassOf,rc:HealthMaintenanceOrganization
rc:HMOAffiliate,rdfs:subClassOf,owl:Thing
rc:PhiladelphiaPhillies,rdfs:subClassOf,rc:MajorLeagueBaseballTeam
rc:PhiladelphiaPhillies,rdfs:subClassOf,owl:Thing
rc:DevelopmentFinanceInstitution,rdfs:subClassOf,rc:InvestmentBanking
rc:DevelopmentFinanceInstitution,rdfs:subClassOf,owl:Thing
rc:HouseOfTudor,rdfs:subClassOf,rc:DynasticFamily
rc:HouseOfTudor,rdfs:subClassOf,owl:Thing
rc:FilipinoFreemason,rdfs:subClassOf,rc:FreemasonByRegion
rc:FilipinoFreemason,rdfs:subClassOf,owl:Thing
rc:County_Britain,rdfs:subClassOf,rc:County
rc:County_Britain,rdfs:subClassOf,rc:State_Geopolitical
