id,subclassof,parent
rc:JeffersonRiver,rdfs:subClassOf,rc:River
rc:JeffersonRiver,rdfs:subClassOf,owl:Thing
rc:IceCreamScoop,rdfs:subClassOf,rc:Spoon
rc:IceCreamScoop,rdfs:subClassOf,owl:Thing
rc:IsleOfMan_Island,rdfs:subClassOf,rc:Island
rc:IsleOfMan_Island,rdfs:subClassOf,owl:Thing
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:Subdistrict_GermanDemocraticRepublic,rdfs:subClassOf,owl:Thing
rc:FossilFuelPowerGenerationComplex,rdfs:subClassOf,rc:ThermalPowerGenerationComplex
rc:FossilFuelPowerGenerationComplex,rdfs:subClassOf,owl:Thing
rc:DrivingRange,rdfs:subClassOf,rc:GolfingArea
rc:DrivingRange,rdfs:subClassOf,owl:Thing
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,rc:Province_Angola
rc:LundaNorte_ProvinceAngola,rdfs:subClassOf,owl:Thing
rc:CaspianSea,rdfs:subClassOf,rc:InternationalWaters
rc:CaspianSea,rdfs:subClassOf,owl:Thing
rc:Bukhara,rdfs:subClassOf,rc:Khorasan_ProvinceIran
rc:Bukhara,rdfs:subClassOf,owl:Thing
rc:ArabianPeninsula,rdfs:subClassOf,rc:Peninsula
rc:ArabianPeninsula,rdfs:subClassOf,owl:Thing
rc:ParkInWyoming,rdfs:subClassOf,rc:Park
rc:ParkInWyoming,rdfs:subClassOf,owl:Thing
rc:StreetSystem,rdfs:subClassOf,rc:PathArtifact_HumanOccupied
rc:StreetSystem,rdfs:subClassOf,owl:Thing
rc:Ghetto,rdfs:subClassOf,rc:UrbanNeighborhood
rc:Ghetto,rdfs:subClassOf,owl:Thing
rc:PortOrHarborOfTheSouthShetlandIslands,rdfs:subClassOf,rc:SouthShetlandIslands
rc:PortOrHarborOfTheSouthShetlandIslands,rdfs:subClassOf,owl:Thing
rc:District_Madagascar,rdfs:subClassOf,rc:SecondOrderAdministrativeDivision
rc:District_Madagascar,rdfs:subClassOf,owl:Thing
rc:OuterSpace,rdfs:subClassOf,rc:InOuterSpace
rc:OuterSpace,rdfs:subClassOf,owl:Thing
rc:LavaField,rdfs:subClassOf,rc:LandTopographicalFeature
rc:LavaField,rdfs:subClassOf,owl:Thing
rc:CoffeeHouse_Building,rdfs:subClassOf,rc:CommercialBuilding
rc:CoffeeHouse_Building,rdfs:subClassOf,owl:Thing
rc:TruckRoute,rdfs:subClassOf,rc:TravelRoute_Road
rc:TruckRoute,rdfs:subClassOf,owl:Thing
rc:Province_Iraq,rdfs:subClassOf,rc:Province
rc:Province_Iraq,rdfs:subClassOf,owl:Thing
rc:Afromontane,rdfs:subClassOf,rc:ArabianPeninsula
rc:Afromontane,rdfs:subClassOf,owl:Thing
rc:LakeSuperiorCircleTour,rdfs:subClassOf,rc:CircleTour
rc:LakeSuperiorCircleTour,rdfs:subClassOf,owl:Thing
rc:Kham,rdfs:subClassOf,rc:Tibet
rc:Kham,rdfs:subClassOf,owl:Thing
rc:Province_Cambodia,rdfs:subClassOf,rc:Province
rc:Province_Cambodia,rdfs:subClassOf,owl:Thing
rc:GridStreetSystem,rdfs:subClassOf,rc:StreetSystem
rc:GridStreetSystem,rdfs:subClassOf,owl:Thing
rc:Circinus_Constellation,rdfs:subClassOf,rc:Constellation
rc:Circinus_Constellation,rdfs:subClassOf,owl:Thing
rc:PoliceFacility,rdfs:subClassOf,rc:GovernmentalBuilding
rc:PoliceFacility,rdfs:subClassOf,owl:Thing
rc:Loch_Lake,rdfs:subClassOf,rc:Lake
rc:Loch_Lake,rdfs:subClassOf,owl:Thing
rc:LundaSul_ProvinceAngola,rdfs:subClassOf,rc:Province_Angola
rc:LundaSul_ProvinceAngola,rdfs:subClassOf,owl:Thing
rc:Deck_BuildingPart,rdfs:subClassOf,rc:FixedStructurePlatform
rc:Deck_BuildingPart,rdfs:subClassOf,owl:Thing
rc:GulfOfCalifornia,rdfs:subClassOf,rc:Gulf
rc:GulfOfCalifornia,rdfs:subClassOf,owl:Thing
