id,subclassof,parent
rc:Berberine,rdfs:subClassOf,rc:Alkaloid
rc:Berberine,rdfs:subClassOf,owl:Thing
rc:Hafnium,rdfs:subClassOf,rc:TransitionMetal
rc:Hafnium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Hafnium,rdfs:subClassOf,owl:Thing
rc:PackagingPaper,rdfs:subClassOf,rc:PaperboardPackagingPaper
rc:PackagingPaper,rdfs:subClassOf,owl:Thing
rc:MineralOreMetal,rdfs:subClassOf,rc:MineralOreMetalProduct
rc:MineralOreMetal,rdfs:subClassOf,owl:Thing
rc:EmulsionBreaker,rdfs:subClassOf,rc:Additive
rc:EmulsionBreaker,rdfs:subClassOf,owl:Thing
rc:Aragonite,rdfs:subClassOf,rc:Mineral
rc:Aragonite,rdfs:subClassOf,owl:Thing
rc:Cyanotrichite,rdfs:subClassOf,rc:Mineral
rc:Cyanotrichite,rdfs:subClassOf,owl:Thing
rc:CardboardBox,rdfs:subClassOf,rc:PaperPackaging
rc:CardboardBox,rdfs:subClassOf,owl:Thing
rc:Aegirine,rdfs:subClassOf,rc:Mineral
rc:Aegirine,rdfs:subClassOf,owl:Thing
rc:SalAmmoniac,rdfs:subClassOf,rc:Mineral
rc:SalAmmoniac,rdfs:subClassOf,owl:Thing
rc:Towel,rdfs:subClassOf,rc:Linen
rc:Towel,rdfs:subClassOf,owl:Thing
rc:Ammonia,rdfs:subClassOf,rc:AmmoniaAndAmmoniumSalts
rc:Ammonia,rdfs:subClassOf,rc:IndustrialUseGas
rc:Ammonia,rdfs:subClassOf,rc:InorganicGas
rc:Ammonia,rdfs:subClassOf,owl:Thing
rc:CuringAgent,rdfs:subClassOf,rc:Additive
rc:CuringAgent,rdfs:subClassOf,owl:Thing
rc:Creatine,rdfs:subClassOf,rc:Vitamin
rc:Creatine,rdfs:subClassOf,owl:Thing
rc:Lanthanum,rdfs:subClassOf,rc:RareEarthMetal
rc:Lanthanum,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lanthanum,rdfs:subClassOf,owl:Thing
rc:PlantFiber,rdfs:subClassOf,rc:NonEdiblePlantForestryProduct
rc:PlantFiber,rdfs:subClassOf,owl:Thing
rc:Cryolite,rdfs:subClassOf,rc:Mineral
rc:Cryolite,rdfs:subClassOf,owl:Thing
rc:WettingAgent,rdfs:subClassOf,rc:Surfactant
rc:WettingAgent,rdfs:subClassOf,owl:Thing
rc:IsotopeOfOxygen,rdfs:subClassOf,rc:Oxygen
rc:IsotopeOfOxygen,rdfs:subClassOf,owl:Thing
rc:Almandine,rdfs:subClassOf,rc:Garnet_Gem
rc:Almandine,rdfs:subClassOf,owl:Thing
rc:Cyclosarin,rdfs:subClassOf,rc:HalogenCompound
rc:Cyclosarin,rdfs:subClassOf,owl:Thing
rc:Anorthite,rdfs:subClassOf,rc:Plagioclase
rc:Anorthite,rdfs:subClassOf,owl:Thing
rc:Acmite,rdfs:subClassOf,rc:Aegirine
rc:Acmite,rdfs:subClassOf,owl:Thing
rc:PotassiumAmide,rdfs:subClassOf,rc:OtherInorganicCompound
rc:PotassiumAmide,rdfs:subClassOf,owl:Thing
rc:Catalase,rdfs:subClassOf,rc:Enzyme
rc:Catalase,rdfs:subClassOf,owl:Thing
rc:Glucoside,rdfs:subClassOf,rc:Glucose
rc:Glucoside,rdfs:subClassOf,rc:Glycoside
rc:Glucoside,rdfs:subClassOf,owl:Thing
rc:BoronTribromide,rdfs:subClassOf,rc:HalogenCompound
rc:BoronTribromide,rdfs:subClassOf,owl:Thing
rc:IsotopeOfLanthanum,rdfs:subClassOf,rc:Lanthanum
rc:IsotopeOfLanthanum,rdfs:subClassOf,owl:Thing
rc:BodyWash,rdfs:subClassOf,rc:Soap_Personal
rc:BodyWash,rdfs:subClassOf,owl:Thing
rc:Linen,rdfs:subClassOf,rc:Fabric
rc:Linen,rdfs:subClassOf,owl:Thing
rc:CeramicFiber,rdfs:subClassOf,rc:Fiber
rc:CeramicFiber,rdfs:subClassOf,owl:Thing
rc:Lead,rdfs:subClassOf,rc:BaseMetal
rc:Lead,rdfs:subClassOf,rc:Mineral
rc:Lead,rdfs:subClassOf,rc:TransitionMetal
rc:Lead,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lead,rdfs:subClassOf,owl:Thing
rc:Mineral,rdfs:subClassOf,rc:MineralOreMetal
rc:Mineral,rdfs:subClassOf,owl:Thing
rc:CreatineProduct,rdfs:subClassOf,rc:DietarySupplement
rc:CreatineProduct,rdfs:subClassOf,owl:Thing
rc:Ruby_Gem,rdfs:subClassOf,rc:Corundum
rc:Ruby_Gem,rdfs:subClassOf,rc:PreciousStone
rc:Ruby_Gem,rdfs:subClassOf,owl:Thing
rc:Wulfenite,rdfs:subClassOf,rc:Mineral
rc:Wulfenite,rdfs:subClassOf,owl:Thing
rc:IsotopeOfChromium,rdfs:subClassOf,rc:Chromium
rc:IsotopeOfChromium,rdfs:subClassOf,owl:Thing
rc:AdaptorProtein,rdfs:subClassOf,rc:ProteinStuff
rc:AdaptorProtein,rdfs:subClassOf,owl:Thing
rc:Siderite,rdfs:subClassOf,rc:Mineral
rc:Siderite,rdfs:subClassOf,owl:Thing
rc:Coramsine,rdfs:subClassOf,rc:Alkaloid
rc:Coramsine,rdfs:subClassOf,owl:Thing
rc:Opal_Gem,rdfs:subClassOf,rc:SemipreciousStone
rc:Opal_Gem,rdfs:subClassOf,owl:Thing
rc:Starch,rdfs:subClassOf,rc:Polysaccharide
rc:Starch,rdfs:subClassOf,owl:Thing
rc:Xenon,rdfs:subClassOf,rc:NobleGasElementType
rc:Xenon,rdfs:subClassOf,owl:Thing
rc:Cinchonidine,rdfs:subClassOf,rc:Alkaloid
rc:Cinchonidine,rdfs:subClassOf,owl:Thing
rc:BloodLeadLevel,rdfs:subClassOf,rc:Lead
rc:BloodLeadLevel,rdfs:subClassOf,owl:Thing
rc:IsotopeOfSeaborgium,rdfs:subClassOf,rc:Seaborgium
rc:IsotopeOfSeaborgium,rdfs:subClassOf,owl:Thing
rc:Hemp_Fiber,rdfs:subClassOf,rc:NaturalFiber
rc:Hemp_Fiber,rdfs:subClassOf,owl:Thing
rc:Hornblende,rdfs:subClassOf,rc:Mineral
rc:Hornblende,rdfs:subClassOf,owl:Thing
rc:Turquoise_Gem,rdfs:subClassOf,rc:SemipreciousStone
rc:Turquoise_Gem,rdfs:subClassOf,owl:Thing
rc:ZincChloride,rdfs:subClassOf,rc:InorganicHalide
rc:ZincChloride,rdfs:subClassOf,owl:Thing
rc:Silicone,rdfs:subClassOf,rc:OtherInorganicCompound
rc:Silicone,rdfs:subClassOf,rc:Silicon
rc:Silicone,rdfs:subClassOf,owl:Thing
rc:SodiumAcetate,rdfs:subClassOf,rc:InorganicSalt
rc:SodiumAcetate,rdfs:subClassOf,owl:Thing
rc:Acanthite,rdfs:subClassOf,rc:Mineral
rc:Acanthite,rdfs:subClassOf,owl:Thing
rc:Bixbyite,rdfs:subClassOf,rc:Mineral
rc:Bixbyite,rdfs:subClassOf,owl:Thing
rc:ProteinConfiguration,rdfs:subClassOf,rc:ProteinMoleculeOrProteinComplex
rc:ProteinConfiguration,rdfs:subClassOf,owl:Thing
rc:Brucite,rdfs:subClassOf,rc:OxideMineral
rc:Brucite,rdfs:subClassOf,owl:Thing
rc:Sylvanite,rdfs:subClassOf,rc:Mineral
rc:Sylvanite,rdfs:subClassOf,owl:Thing
rc:CoconutFibreCoir,rdfs:subClassOf,rc:PlantFiber
rc:CoconutFibreCoir,rdfs:subClassOf,owl:Thing
rc:Arrowroot_Starch,rdfs:subClassOf,rc:Starch
rc:Arrowroot_Starch,rdfs:subClassOf,owl:Thing
rc:IsotopeOfXenon,rdfs:subClassOf,rc:Xenon
rc:IsotopeOfXenon,rdfs:subClassOf,owl:Thing
rc:CarbonylComplex,rdfs:subClassOf,rc:OtherInorganicCompound
rc:CarbonylComplex,rdfs:subClassOf,owl:Thing
rc:Lawrencium,rdfs:subClassOf,rc:TransitionMetal
rc:Lawrencium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lawrencium,rdfs:subClassOf,owl:Thing
rc:SulfuricAcid,rdfs:subClassOf,rc:InorganicAcid
rc:SulfuricAcid,rdfs:subClassOf,owl:Thing
rc:Melanterite,rdfs:subClassOf,rc:Mineral
rc:Melanterite,rdfs:subClassOf,owl:Thing
rc:UraniumTrioxide,rdfs:subClassOf,rc:Oxide
rc:UraniumTrioxide,rdfs:subClassOf,owl:Thing
rc:Beryllium,rdfs:subClassOf,rc:EarthMetal
rc:Beryllium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Beryllium,rdfs:subClassOf,owl:Thing
rc:Ricin,rdfs:subClassOf,rc:ProteinStuff
rc:Ricin,rdfs:subClassOf,owl:Thing
rc:CardboardCanister,rdfs:subClassOf,rc:PaperPackaging
rc:CardboardCanister,rdfs:subClassOf,owl:Thing
rc:High_LevelRadioactiveWasteManagement,rdfs:subClassOf,rc:NuclearWaste
rc:High_LevelRadioactiveWasteManagement,rdfs:subClassOf,owl:Thing
rc:Psilomelane,rdfs:subClassOf,rc:Mineral
rc:Psilomelane,rdfs:subClassOf,owl:Thing
rc:Tephroite,rdfs:subClassOf,rc:Mineral
rc:Tephroite,rdfs:subClassOf,owl:Thing
rc:SNRNP,rdfs:subClassOf,rc:Enzyme
rc:SNRNP,rdfs:subClassOf,owl:Thing
rc:Cubanite,rdfs:subClassOf,rc:Mineral
rc:Cubanite,rdfs:subClassOf,owl:Thing
rc:AntiGasMigrationAgent,rdfs:subClassOf,rc:Additive
rc:AntiGasMigrationAgent,rdfs:subClassOf,owl:Thing
rc:SurfaceLayer_TopSurface,rdfs:subClassOf,rc:DirtSoil
rc:SurfaceLayer_TopSurface,rdfs:subClassOf,owl:Thing
rc:Hydroboracite,rdfs:subClassOf,rc:Mineral
rc:Hydroboracite,rdfs:subClassOf,owl:Thing
rc:OpticalBrightener,rdfs:subClassOf,rc:PaperPlasticFabricModifier
rc:OpticalBrightener,rdfs:subClassOf,owl:Thing
rc:Plywood,rdfs:subClassOf,rc:EngineeredWoodProduct
rc:Plywood,rdfs:subClassOf,rc:Lumber
rc:Plywood,rdfs:subClassOf,owl:Thing
rc:OrganicDerivativeSubstitutedCompound,rdfs:subClassOf,rc:CompoundMixture
rc:OrganicDerivativeSubstitutedCompound,rdfs:subClassOf,owl:Thing
rc:ChlorosulfonicAcid,rdfs:subClassOf,rc:InorganicAcid
rc:ChlorosulfonicAcid,rdfs:subClassOf,owl:Thing
rc:ClothTowel,rdfs:subClassOf,rc:Cloth
rc:ClothTowel,rdfs:subClassOf,rc:Towel
rc:ClothTowel,rdfs:subClassOf,owl:Thing
rc:Palladium,rdfs:subClassOf,rc:BaseMetal
rc:Palladium,rdfs:subClassOf,rc:TransitionMetal
rc:Palladium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Palladium,rdfs:subClassOf,owl:Thing
rc:Tyrolite,rdfs:subClassOf,rc:Mineral
rc:Tyrolite,rdfs:subClassOf,owl:Thing
rc:ZirconiumOre,rdfs:subClassOf,rc:Ore
rc:ZirconiumOre,rdfs:subClassOf,owl:Thing
rc:IronMineral,rdfs:subClassOf,rc:Mineral
rc:IronMineral,rdfs:subClassOf,owl:Thing
rc:Igniter,rdfs:subClassOf,rc:Explosive
rc:Igniter,rdfs:subClassOf,owl:Thing
rc:Ytterbium,rdfs:subClassOf,rc:RareEarthMetal
rc:Ytterbium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Ytterbium,rdfs:subClassOf,owl:Thing
rc:H_6Explosive,rdfs:subClassOf,rc:HighExplosive
rc:H_6Explosive,rdfs:subClassOf,owl:Thing
rc:Melatonin,rdfs:subClassOf,rc:AntiOxidant
rc:Melatonin,rdfs:subClassOf,owl:Thing
rc:NylonCloth,rdfs:subClassOf,rc:SyntheticFabric
rc:NylonCloth,rdfs:subClassOf,owl:Thing
rc:WeakGammaEmitter,rdfs:subClassOf,rc:GammaEmitter
rc:WeakGammaEmitter,rdfs:subClassOf,owl:Thing
rc:Cyanovirin_N,rdfs:subClassOf,rc:ProteinStuff
rc:Cyanovirin_N,rdfs:subClassOf,owl:Thing
rc:BatikCloth,rdfs:subClassOf,rc:Cloth
rc:BatikCloth,rdfs:subClassOf,owl:Thing
rc:Nickelite,rdfs:subClassOf,rc:Mineral
rc:Nickelite,rdfs:subClassOf,owl:Thing
rc:AmmoniaBorane,rdfs:subClassOf,rc:InorganicHalide
rc:AmmoniaBorane,rdfs:subClassOf,owl:Thing
rc:EarlyPregnancyFactor,rdfs:subClassOf,rc:ProteinStuff
rc:EarlyPregnancyFactor,rdfs:subClassOf,owl:Thing
rc:AlcoholGroup,rdfs:subClassOf,rc:OrganicDerivativeSubstitutedCompound
rc:AlcoholGroup,rdfs:subClassOf,owl:Thing
rc:DiOxygenFluoride,rdfs:subClassOf,rc:HalogenCompound
rc:DiOxygenFluoride,rdfs:subClassOf,owl:Thing
rc:Bentonite,rdfs:subClassOf,rc:Clay
rc:Bentonite,rdfs:subClassOf,owl:Thing
rc:Mercury,rdfs:subClassOf,rc:TransitionMetal
rc:Mercury,rdfs:subClassOf,rc:UnalloyedMetal
rc:Mercury,rdfs:subClassOf,owl:Thing
rc:Propanol,rdfs:subClassOf,rc:AlcoholGroup
rc:Propanol,rdfs:subClassOf,owl:Thing
rc:Erbium,rdfs:subClassOf,rc:RareEarthMetal
rc:Erbium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Erbium,rdfs:subClassOf,owl:Thing
rc:Thread,rdfs:subClassOf,rc:FiberThreadYarn
rc:Thread,rdfs:subClassOf,owl:Thing
rc:Xenotime,rdfs:subClassOf,rc:Mineral
rc:Xenotime,rdfs:subClassOf,owl:Thing
rc:IsotopeOfPalladium,rdfs:subClassOf,rc:Palladium
rc:IsotopeOfPalladium,rdfs:subClassOf,owl:Thing
rc:Alloy,rdfs:subClassOf,rc:Metal
rc:Alloy,rdfs:subClassOf,owl:Thing
rc:Feldspar,rdfs:subClassOf,rc:Mineral
rc:Feldspar,rdfs:subClassOf,owl:Thing
rc:RDXExplosive,rdfs:subClassOf,rc:HighExplosive
rc:RDXExplosive,rdfs:subClassOf,owl:Thing
rc:PotassiumBromide,rdfs:subClassOf,rc:InorganicSalt
