id,subclassof,parent
rc:Reimbursement,rdfs:subClassOf,rc:LoanPayment
rc:Reimbursement,rdfs:subClassOf,owl:Thing
rc:MethysergideMaleate,rdfs:subClassOf,rc:AntiHeadacheAgent
rc:MethysergideMaleate,rdfs:subClassOf,owl:Thing
rc:IceCreamScoop,rdfs:subClassOf,rc:KitchenFurnishingsMarketCategory
rc:IceCreamScoop,rdfs:subClassOf,rc:Spoon
rc:IceCreamScoop,rdfs:subClassOf,owl:Thing
rc:Aragonite,rdfs:subClassOf,rc:Mineral
rc:Aragonite,rdfs:subClassOf,owl:Thing
rc:ElegantClothingStyle,rdfs:subClassOf,rc:ClothingTypeByStyle
rc:ElegantClothingStyle,rdfs:subClassOf,rc:LuxuryItem
rc:ElegantClothingStyle,rdfs:subClassOf,owl:Thing
rc:Veal,rdfs:subClassOf,rc:Beef
rc:Veal,rdfs:subClassOf,owl:Thing
rc:Oyster,rdfs:subClassOf,rc:Bivalvia
rc:Oyster,rdfs:subClassOf,rc:Shellfish
rc:Oyster,rdfs:subClassOf,owl:Thing
rc:ModularPowerCord,rdfs:subClassOf,rc:PowerCord
rc:ModularPowerCord,rdfs:subClassOf,owl:Thing
rc:FermentedStuff,rdfs:subClassOf,rc:Food
rc:FermentedStuff,rdfs:subClassOf,owl:Thing
rc:Carpinus,rdfs:subClassOf,rc:Betulaceae
rc:Carpinus,rdfs:subClassOf,owl:Thing
rc:Canola,rdfs:subClassOf,rc:SeedOil
rc:Canola,rdfs:subClassOf,owl:Thing
rc:TerrorismStudies,rdfs:subClassOf,rc:CourseOfStudy
rc:TerrorismStudies,rdfs:subClassOf,owl:Thing
rc:Nylon,rdfs:subClassOf,rc:Plastic
rc:Nylon,rdfs:subClassOf,rc:Resin
rc:Nylon,rdfs:subClassOf,owl:Thing
rc:Trimethadione,rdfs:subClassOf,rc:Anticonvulsant
rc:Trimethadione,rdfs:subClassOf,owl:Thing
rc:Metiamide,rdfs:subClassOf,rc:HistamineH2ReceptorAntagonist
rc:Metiamide,rdfs:subClassOf,owl:Thing
rc:PlanerAccessory,rdfs:subClassOf,rc:SawmillingLumberProcessingMachinery
rc:PlanerAccessory,rdfs:subClassOf,owl:Thing
rc:BuyingAnObject,rdfs:subClassOf,rc:Buying
rc:BuyingAnObject,rdfs:subClassOf,owl:Thing
rc:GaleopsisTetrahit,rdfs:subClassOf,rc:Galeopsis
rc:GaleopsisTetrahit,rdfs:subClassOf,owl:Thing
rc:WaterTestingConservationEcology,rdfs:subClassOf,rc:TeachingAidMaterial
rc:WaterTestingConservationEcology,rdfs:subClassOf,owl:Thing
rc:Cetology,rdfs:subClassOf,rc:MarineBiology
rc:Cetology,rdfs:subClassOf,owl:Thing
rc:Marlin,rdfs:subClassOf,rc:EdibleFish
rc:Marlin,rdfs:subClassOf,owl:Thing
rc:StandardPrecisionMachining,rdfs:subClassOf,rc:Machining
rc:StandardPrecisionMachining,rdfs:subClassOf,owl:Thing
rc:ArtMetal,rdfs:subClassOf,rc:ArtsCraftsEquipment
rc:ArtMetal,rdfs:subClassOf,owl:Thing
rc:Ascomycin,rdfs:subClassOf,rc:ImmunosupressantAzole
rc:Ascomycin,rdfs:subClassOf,owl:Thing
rc:PostalScale,rdfs:subClassOf,rc:WeightMeasuringInstrument
rc:PostalScale,rdfs:subClassOf,owl:Thing
rc:SympathomimeticAdrenergicAzepine,rdfs:subClassOf,rc:SympathomimeticAdrenergicDrug
rc:SympathomimeticAdrenergicAzepine,rdfs:subClassOf,owl:Thing
rc:IodizingSomething_MedicalTreatmentEvent,rdfs:subClassOf,rc:MedicalTreatmentEvent
rc:IodizingSomething_MedicalTreatmentEvent,rdfs:subClassOf,owl:Thing
rc:Rein,rdfs:subClassOf,rc:LeashLead
