id,subclassof,parent
rc:AerosolTheSolution,rdfs:subClassOf,rc:AerosolStuff
rc:AerosolTheSolution,rdfs:subClassOf,owl:Thing
rc:LineSegment_Planar,rdfs:subClassOf,rc:LineSegment
rc:LineSegment_Planar,rdfs:subClassOf,owl:Thing
rc:SpheroidalSurface,rdfs:subClassOf,rc:TwoDimensionalShapeType
rc:SpheroidalSurface,rdfs:subClassOf,owl:Thing
rc:Wing,rdfs:subClassOf,rc:SolidTangibleThing
rc:Wing,rdfs:subClassOf,owl:Thing
rc:Disc,rdfs:subClassOf,rc:Cylinder
rc:Disc,rdfs:subClassOf,owl:Thing
rc:ConstructionBlock,rdfs:subClassOf,rc:Block
rc:ConstructionBlock,rdfs:subClassOf,owl:Thing
rc:IceCloudstuff,rdfs:subClassOf,rc:Suspension
rc:IceCloudstuff,rdfs:subClassOf,owl:Thing
rc:Plume,rdfs:subClassOf,rc:CloudlikeObject
rc:Plume,rdfs:subClassOf,owl:Thing
rc:ConicalSurface,rdfs:subClassOf,rc:TwoDimensionalShapeType
rc:ConicalSurface,rdfs:subClassOf,owl:Thing
rc:FinalStellationOfTheIcosahedron,rdfs:subClassOf,rc:Stellation
rc:FinalStellationOfTheIcosahedron,rdfs:subClassOf,owl:Thing
rc:Low_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:Low_LevelCloud,rdfs:subClassOf,owl:Thing
rc:Gel,rdfs:subClassOf,rc:Colloid
rc:Gel,rdfs:subClassOf,owl:Thing
rc:BotulinumToxin_Aerosolized,rdfs:subClassOf,rc:AerosolStuff
rc:BotulinumToxin_Aerosolized,rdfs:subClassOf,owl:Thing
rc:Prototile,rdfs:subClassOf,rc:Tessellation
rc:Prototile,rdfs:subClassOf,owl:Thing
rc:LineSegment,rdfs:subClassOf,rc:GeometricShapeType
rc:LineSegment,rdfs:subClassOf,rc:OpenGISGeometry
rc:LineSegment,rdfs:subClassOf,owl:Thing
rc:AerosolDeodorant,rdfs:subClassOf,rc:AerosolStuff
rc:AerosolDeodorant,rdfs:subClassOf,owl:Thing
rc:Torus,rdfs:subClassOf,rc:ThreeDimensionalGeometricThing
rc:Torus,rdfs:subClassOf,owl:Thing
rc:Hemispheroid,rdfs:subClassOf,rc:Hemiellipsoid
rc:Hemispheroid,rdfs:subClassOf,rc:SurfaceOfRevolution
rc:Hemispheroid,rdfs:subClassOf,owl:Thing
rc:High_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:High_LevelCloud,rdfs:subClassOf,owl:Thing
rc:RightCylinder,rdfs:subClassOf,rc:Cylinder
rc:RightCylinder,rdfs:subClassOf,rc:GeometricFigure
rc:RightCylinder,rdfs:subClassOf,owl:Thing
rc:Jar,rdfs:subClassOf,rc:HollowCylindricalObject
rc:Jar,rdfs:subClassOf,owl:Thing
rc:BevelGear,rdfs:subClassOf,rc:Gear
rc:BevelGear,rdfs:subClassOf,owl:Thing
rc:RubberFoam,rdfs:subClassOf,rc:PlasticRubberFoam
rc:RubberFoam,rdfs:subClassOf,owl:Thing
rc:Fog,rdfs:subClassOf,rc:Mist
rc:Fog,rdfs:subClassOf,owl:Thing
rc:Middle_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:Middle_LevelCloud,rdfs:subClassOf,owl:Thing
rc:GeometricShapeType,rdfs:subClassOf,rc:ShapedObject
rc:GeometricShapeType,rdfs:subClassOf,owl:Thing
rc:JohnsonSolid,rdfs:subClassOf,rc:Polyhedron
rc:JohnsonSolid,rdfs:subClassOf,owl:Thing
rc:FlatSurfaceRegion,rdfs:subClassOf,rc:GeometricShapeType
rc:FlatSurfaceRegion,rdfs:subClassOf,owl:Thing
rc:Cube,rdfs:subClassOf,rc:RadiallySymmetricObject
rc:Cube,rdfs:subClassOf,rc:RectangularParallelepiped
rc:Cube,rdfs:subClassOf,owl:Thing
rc:Crest_Toothpaste,rdfs:subClassOf,rc:Toothpaste
rc:Crest_Toothpaste,rdfs:subClassOf,owl:Thing
rc:ProlateSpheroid,rdfs:subClassOf,rc:Spheroid
rc:ProlateSpheroid,rdfs:subClassOf,owl:Thing
rc:SpatialThingTypeByDimensionality,rdfs:subClassOf,kko:Shapes
rc:SpatialThingTypeByDimensionality,rdfs:subClassOf,owl:Thing
rc:HalfPlane,rdfs:subClassOf,rc:FlatSurfaceRegion
rc:HalfPlane,rdfs:subClassOf,rc:SurfaceRegion_Infinite
rc:HalfPlane,rdfs:subClassOf,rc:TwoDimensionalGeometricThing
rc:HalfPlane,rdfs:subClassOf,owl:Thing
rc:SyntheticDiamond,rdfs:subClassOf,rc:Diamond_Gem
rc:SyntheticDiamond,rdfs:subClassOf,owl:Thing
rc:Paste_Form,rdfs:subClassOf,rc:SemiSolidTangibleThing
rc:Paste_Form,rdfs:subClassOf,owl:Thing
rc:Stick,rdfs:subClassOf,rc:LinearObject_Tangible
