id,subclassof,parent
rc:MountainHut,rdfs:subClassOf,rc:Hut
rc:MountainHut,rdfs:subClassOf,owl:Thing
rc:AmericanPatriotism,rdfs:subClassOf,rc:Patriotism
rc:AmericanPatriotism,rdfs:subClassOf,owl:Thing
rc:Keeping_ProtectingSomething,rdfs:subClassOf,rc:ProtectingSomething
rc:Keeping_ProtectingSomething,rdfs:subClassOf,owl:Thing
rc:CriticismOfFeminism,rdfs:subClassOf,rc:Criticism
rc:CriticismOfFeminism,rdfs:subClassOf,owl:Thing
rc:PresidentialProclamation,rdfs:subClassOf,rc:ExecutiveDirective
rc:PresidentialProclamation,rdfs:subClassOf,owl:Thing
rc:IceCreamScoop,rdfs:subClassOf,rc:Spoon
rc:IceCreamScoop,rdfs:subClassOf,owl:Thing
rc:DrugTest,rdfs:subClassOf,rc:TrueOrFalseTest
rc:DrugTest,rdfs:subClassOf,owl:Thing
rc:Uncertainty,rdfs:subClassOf,rc:FeelingAttribute
rc:Uncertainty,rdfs:subClassOf,owl:Thing
rc:Computer_WorkStation,rdfs:subClassOf,rc:WorkStation
rc:Computer_WorkStation,rdfs:subClassOf,owl:Thing
rc:PropositionalFallacy,rdfs:subClassOf,rc:LogicalFallacy
rc:PropositionalFallacy,rdfs:subClassOf,owl:Thing
rc:Hungry,rdfs:subClassOf,rc:Situants
rc:Hungry,rdfs:subClassOf,owl:Thing
rc:Abnormal_Organism_Whole,rdfs:subClassOf,rc:Abnormal_Unusual
rc:Abnormal_Organism_Whole,rdfs:subClassOf,owl:Thing
rc:AwarenessAttribute,rdfs:subClassOf,rc:Situants
rc:AwarenessAttribute,rdfs:subClassOf,owl:Thing
rc:NationalismStudies,rdfs:subClassOf,rc:Nationalism
rc:NationalismStudies,rdfs:subClassOf,owl:Thing
rc:Disappointment,rdfs:subClassOf,rc:Sadness
rc:Disappointment,rdfs:subClassOf,owl:Thing
rc:PeacekeepingOperation,rdfs:subClassOf,rc:PeaceProcess
rc:PeacekeepingOperation,rdfs:subClassOf,owl:Thing
rc:Bargaining,rdfs:subClassOf,rc:Negotiating
rc:Bargaining,rdfs:subClassOf,owl:Thing
rc:DriveInTheater,rdfs:subClassOf,rc:MovieTheaterSpace
rc:DriveInTheater,rdfs:subClassOf,owl:Thing
rc:WorldPeace,rdfs:subClassOf,rc:Peace
rc:WorldPeace,rdfs:subClassOf,owl:Thing
rc:OuterSpace,rdfs:subClassOf,rc:InOuterSpace
rc:OuterSpace,rdfs:subClassOf,owl:Thing
rc:SomeSituationAlternating,rdfs:subClassOf,kko:SituationTypes
rc:SomeSituationAlternating,rdfs:subClassOf,owl:Thing
rc:Longing,rdfs:subClassOf,rc:FeelingAttribute
rc:Longing,rdfs:subClassOf,owl:Thing
rc:RegressionVariableSelection,rdfs:subClassOf,rc:RegressionAnalysis
rc:RegressionVariableSelection,rdfs:subClassOf,owl:Thing
rc:OrganCase,rdfs:subClassOf,rc:Cabinet_StorageConstruction
rc:OrganCase,rdfs:subClassOf,owl:Thing
rc:GeosynchronousEarthOrbit,rdfs:subClassOf,rc:Airborne
rc:GeosynchronousEarthOrbit,rdfs:subClassOf,rc:GeographicalDirection
rc:GeosynchronousEarthOrbit,rdfs:subClassOf,owl:Thing
rc:Negotiating,rdfs:subClassOf,rc:Thinking
rc:Negotiating,rdfs:subClassOf,owl:Thing
rc:Curiosity,rdfs:subClassOf,rc:FeelingAttribute
rc:Curiosity,rdfs:subClassOf,owl:Thing
rc:ChartPattern,rdfs:subClassOf,rc:TechnicalStockAnalysis
rc:ChartPattern,rdfs:subClassOf,owl:Thing
rc:Skyscraper,rdfs:subClassOf,rc:OfficeBuilding
rc:Skyscraper,rdfs:subClassOf,owl:Thing
rc:PhoneAnsweringMachineCombo,rdfs:subClassOf,rc:AnsweringMachine
rc:PhoneAnsweringMachineCombo,rdfs:subClassOf,owl:Thing
rc:Humility,rdfs:subClassOf,rc:FeelingAttribute
rc:Humility,rdfs:subClassOf,owl:Thing
rc:AffordableHousing,rdfs:subClassOf,rc:HumanResidence
rc:AffordableHousing,rdfs:subClassOf,owl:Thing
rc:Cycle_Situation,rdfs:subClassOf,rc:SomeSituationAlternating
rc:Cycle_Situation,rdfs:subClassOf,owl:Thing
rc:Inaction,rdfs:subClassOf,rc:StaticSituation
rc:Inaction,rdfs:subClassOf,owl:Thing
rc:DrugTestWithBlood,rdfs:subClassOf,rc:BloodTest
rc:DrugTestWithBlood,rdfs:subClassOf,rc:DrugTest
rc:DrugTestWithBlood,rdfs:subClassOf,owl:Thing
rc:Doubt,rdfs:subClassOf,rc:Uncertainty
rc:Doubt,rdfs:subClassOf,owl:Thing
rc:Tongs,rdfs:subClassOf,rc:CookingUtensil
rc:Tongs,rdfs:subClassOf,owl:Thing
rc:WesternHorizon,rdfs:subClassOf,rc:Horizon
rc:WesternHorizon,rdfs:subClassOf,owl:Thing
rc:CorrosionPrevention,rdfs:subClassOf,rc:Keeping_ProtectingSomething
rc:CorrosionPrevention,rdfs:subClassOf,owl:Thing
rc:IPhone4S,rdfs:subClassOf,rc:IPhone_AppleCellphone
rc:IPhone4S,rdfs:subClassOf,owl:Thing
rc:PrerogativeWrit,rdfs:subClassOf,rc:AdministrativeHearing
rc:PrerogativeWrit,rdfs:subClassOf,owl:Thing
rc:Respiration,rdfs:subClassOf,rc:Cycle_Situation
rc:Respiration,rdfs:subClassOf,owl:Thing
rc:CriticismOfIslamism,rdfs:subClassOf,rc:ReligiousCriticism
rc:CriticismOfIslamism,rdfs:subClassOf,owl:Thing
rc:Eavesdropping,rdfs:subClassOf,rc:Occupation_AnimalActivity
rc:Eavesdropping,rdfs:subClassOf,owl:Thing
rc:Gesture,rdfs:subClassOf,rc:InterAgentSituation
rc:Gesture,rdfs:subClassOf,owl:Thing
rc:NegativeAmortization,rdfs:subClassOf,rc:FinancialCondition
rc:NegativeAmortization,rdfs:subClassOf,owl:Thing
rc:Abstinence,rdfs:subClassOf,rc:Inaction
rc:Abstinence,rdfs:subClassOf,owl:Thing
rc:EmpireStateBuilding,rdfs:subClassOf,rc:Skyscraper
rc:EmpireStateBuilding,rdfs:subClassOf,owl:Thing
rc:POIAttributes,rdfs:subClassOf,rc:MappableAttributes
rc:POIAttributes,rdfs:subClassOf,owl:Thing
rc:Embarrassment,rdfs:subClassOf,rc:Displeasure
rc:Embarrassment,rdfs:subClassOf,owl:Thing
rc:WindowOffice,rdfs:subClassOf,rc:OfficeRoom
rc:WindowOffice,rdfs:subClassOf,owl:Thing
rc:DefeatedSituation,rdfs:subClassOf,rc:StaticSituation
rc:DefeatedSituation,rdfs:subClassOf,owl:Thing
rc:Shock,rdfs:subClassOf,rc:Distress
rc:Shock,rdfs:subClassOf,owl:Thing
rc:CarbonCycle_Terrestrial,rdfs:subClassOf,rc:CarbonCycle
rc:CarbonCycle_Terrestrial,rdfs:subClassOf,rc:TerrestrialEcoCycle
rc:CarbonCycle_Terrestrial,rdfs:subClassOf,owl:Thing
rc:IPhone5,rdfs:subClassOf,rc:IPhone_AppleCellphone
rc:IPhone5,rdfs:subClassOf,owl:Thing
rc:Townhouse,rdfs:subClassOf,rc:MultiFamilyHousing
rc:Townhouse,rdfs:subClassOf,owl:Thing
rc:AntiNationalism,rdfs:subClassOf,rc:Nationalism
rc:AntiNationalism,rdfs:subClassOf,owl:Thing
rc:Humor,rdfs:subClassOf,rc:FeelingAttribute
rc:Humor,rdfs:subClassOf,owl:Thing
rc:UniversalAlgebra,rdfs:subClassOf,rc:ModelTheory
rc:UniversalAlgebra,rdfs:subClassOf,owl:Thing
rc:Ethnocentrism,rdfs:subClassOf,rc:Nationalism
rc:Ethnocentrism,rdfs:subClassOf,owl:Thing
rc:AbnormalRespiration,rdfs:subClassOf,rc:Respiration
rc:AbnormalRespiration,rdfs:subClassOf,owl:Thing
rc:MassHysteria,rdfs:subClassOf,rc:Fear
rc:MassHysteria,rdfs:subClassOf,owl:Thing
rc:VoiceMailDevice,rdfs:subClassOf,rc:ContactLocation
rc:VoiceMailDevice,rdfs:subClassOf,owl:Thing
rc:Independence,rdfs:subClassOf,rc:Nationalism
rc:Independence,rdfs:subClassOf,owl:Thing
rc:IntelligenceAnalysisProcess,rdfs:subClassOf,rc:Evaluating
rc:IntelligenceAnalysisProcess,rdfs:subClassOf,owl:Thing
rc:InnerGermanBorder,rdfs:subClassOf,rc:CountryBorder
rc:InnerGermanBorder,rdfs:subClassOf,owl:Thing
rc:FrenchLiteraryCriticism,rdfs:subClassOf,rc:ReligiousCriticism
rc:FrenchLiteraryCriticism,rdfs:subClassOf,owl:Thing
rc:StratusCloud,rdfs:subClassOf,rc:Low_LevelCloud
rc:StratusCloud,rdfs:subClassOf,owl:Thing
rc:NationalistAssassin,rdfs:subClassOf,rc:Nationalism
rc:NationalistAssassin,rdfs:subClassOf,owl:Thing
rc:InvestmentOpportunity,rdfs:subClassOf,rc:Opportunity
rc:InvestmentOpportunity,rdfs:subClassOf,owl:Thing
rc:Love,rdfs:subClassOf,rc:Affection
rc:Love,rdfs:subClassOf,owl:Thing
rc:EmbassyBuilding,rdfs:subClassOf,rc:PhysicalContactLocation
rc:EmbassyBuilding,rdfs:subClassOf,owl:Thing
rc:RegressionWithTimeSeriesStructure,rdfs:subClassOf,rc:RegressionAnalysis
rc:RegressionWithTimeSeriesStructure,rdfs:subClassOf,owl:Thing
rc:Anguish,rdfs:subClassOf,rc:Distress
rc:Anguish,rdfs:subClassOf,owl:Thing
rc:Loyalty,rdfs:subClassOf,rc:FeelingAttribute
rc:Loyalty,rdfs:subClassOf,owl:Thing
rc:Hopeful,rdfs:subClassOf,rc:EmotionalQuantityType
rc:Hopeful,rdfs:subClassOf,owl:Thing
rc:Mistrust,rdfs:subClassOf,rc:FeelingAttribute
rc:Mistrust,rdfs:subClassOf,owl:Thing
rc:GothicPalace,rdfs:subClassOf,rc:PalaceBuilding
rc:GothicPalace,rdfs:subClassOf,owl:Thing
rc:ServingUtensil,rdfs:subClassOf,rc:FoodUtensil
rc:ServingUtensil,rdfs:subClassOf,owl:Thing
rc:RevenueHouse,rdfs:subClassOf,rc:MultiFamilyHousing
rc:RevenueHouse,rdfs:subClassOf,owl:Thing
rc:OceanicTrenchOfTheCaribbeanSea,rdfs:subClassOf,rc:OceanTrench
rc:OceanicTrenchOfTheCaribbeanSea,rdfs:subClassOf,owl:Thing
rc:Weightlessness,rdfs:subClassOf,rc:PhysicalSituation
rc:Weightlessness,rdfs:subClassOf,owl:Thing
rc:InspectingOfHome,rdfs:subClassOf,rc:Inspecting
