id,subclassof,parent
rc:PoliticalAndCulturalPurge,rdfs:subClassOf,rc:PoliticalCulture
rc:PoliticalAndCulturalPurge,rdfs:subClassOf,owl:Thing
rc:DayOfTheDead,rdfs:subClassOf,rc:Festival
rc:DayOfTheDead,rdfs:subClassOf,owl:Thing
rc:OnlineInvesting,rdfs:subClassOf,rc:Investing
rc:OnlineInvesting,rdfs:subClassOf,owl:Thing
rc:Reimbursement,rdfs:subClassOf,rc:LoanPayment
rc:Reimbursement,rdfs:subClassOf,owl:Thing
rc:TuaregCulture,rdfs:subClassOf,rc:EthnicCulture
rc:TuaregCulture,rdfs:subClassOf,rc:RegionalCulture
rc:TuaregCulture,rdfs:subClassOf,owl:Thing
rc:ChechenCulture,rdfs:subClassOf,rc:EthnicCulture
rc:ChechenCulture,rdfs:subClassOf,rc:RegionalCulture
rc:ChechenCulture,rdfs:subClassOf,owl:Thing
rc:PoliticalBeliefSystem,rdfs:subClassOf,rc:BeliefSystemType
rc:PoliticalBeliefSystem,rdfs:subClassOf,owl:Thing
rc:FilmFestival,rdfs:subClassOf,rc:Festival
rc:FilmFestival,rdfs:subClassOf,owl:Thing
rc:SeventhDayAdventistReligion,rdfs:subClassOf,rc:ProtestantDenominationalFamily
rc:SeventhDayAdventistReligion,rdfs:subClassOf,owl:Thing
rc:GenocideOfIndigenousPeoples,rdfs:subClassOf,rc:Genocide
rc:GenocideOfIndigenousPeoples,rdfs:subClassOf,owl:Thing
rc:TeamCombinedGymnasticsSportsEvent,rdfs:subClassOf,rc:Gymnastics
rc:TeamCombinedGymnasticsSportsEvent,rdfs:subClassOf,owl:Thing
rc:LawByType,rdfs:subClassOf,rc:Law
rc:LawByType,rdfs:subClassOf,owl:Thing
rc:PoliticalIssue,rdfs:subClassOf,rc:Issue
rc:PoliticalIssue,rdfs:subClassOf,owl:Thing
rc:Eos_TheTitaness,rdfs:subClassOf,rc:MythologicalGoddess
rc:Eos_TheTitaness,rdfs:subClassOf,owl:Thing
rc:BeliefSystemType,rdfs:subClassOf,rc:BeliefSystem
rc:BeliefSystemType,rdfs:subClassOf,owl:Thing
rc:Intersectionality,rdfs:subClassOf,rc:PoliticalCulture
rc:Intersectionality,rdfs:subClassOf,owl:Thing
rc:AwardPractice,rdfs:subClassOf,kko:Society
rc:AwardPractice,rdfs:subClassOf,owl:Thing
rc:RightToBuy,rdfs:subClassOf,rc:PurchaseDecision
rc:RightToBuy,rdfs:subClassOf,owl:Thing
rc:PoliticalSchism,rdfs:subClassOf,rc:Politics
rc:PoliticalSchism,rdfs:subClassOf,owl:Thing
rc:CrossCountrySkiingInSweden,rdfs:subClassOf,rc:CrossCountrySkiing
rc:CrossCountrySkiingInSweden,rdfs:subClassOf,owl:Thing
rc:LogicalPositivism,rdfs:subClassOf,rc:PhilosophyBeliefs
rc:LogicalPositivism,rdfs:subClassOf,owl:Thing
rc:NationalismStudies,rdfs:subClassOf,rc:Nationalism
rc:NationalismStudies,rdfs:subClassOf,owl:Thing
rc:BuddhistPractice,rdfs:subClassOf,rc:Buddhism
rc:BuddhistPractice,rdfs:subClassOf,owl:Thing
rc:WeddingAnniversaryCelebration,rdfs:subClassOf,rc:Celebration
rc:WeddingAnniversaryCelebration,rdfs:subClassOf,owl:Thing
rc:AustralianRulesFootballCulture,rdfs:subClassOf,rc:SportsCulture
rc:AustralianRulesFootballCulture,rdfs:subClassOf,owl:Thing
rc:ArabCulture,rdfs:subClassOf,rc:EthnicCulture
rc:ArabCulture,rdfs:subClassOf,owl:Thing
kko:Society,rdfs:subClassOf,owl:Thing
rc:CapitalMurderCase,rdfs:subClassOf,rc:Trial
rc:CapitalMurderCase,rdfs:subClassOf,owl:Thing
rc:ConservatismByIssue,rdfs:subClassOf,rc:Conservatism
rc:ConservatismByIssue,rdfs:subClassOf,owl:Thing
